time (04.08.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
08:23:58;-25;-25.03995;7.081512646521149e-11;1.9941045748819503e+20;6.380824299386278e-11;2000.0;372381.55;61.1362198291651;-1123735.5;89.60880258099647;-2.470574e-06
08:24:18;-50;-50.07384;7.010190253336635e-11;2.0348874374638407e+20;6.467481102936865e-11;2000.0;328833.7;24.926000481425014;-1135168.5;36.57372690880709;-3.49447e-06
08:24:37;-75;-75.09953;6.94185523407459e-11;2.0751471333580325e+20;6.499029826234607e-11;2000.0;299231.0;23.409186231050406;-1146343.0;37.04794191314816;-4.256291e-06
08:24:56;-100;-100.0761;6.882465203522439e-11;2.1111152904714004e+20;6.509639799180315e-11;2000.0;276707.15;16.511098540072975;-1156235.0;25.782746168707476;-4.920259e-06
08:25:15;-125;-125.0305;6.826225233641173e-11;2.14604474249846e+20;6.507038841790158e-11;2000.0;258190.35;18.234483129499445;-1165761.0;24.65664210714833;-5.530048e-06
08:25:34;-150;-150.0115;6.780078099127727e-11;2.175357337447647e+20;6.501190256251044e-11;2000.0;243093.75;10.732631317621973;-1173695.5;17.769003911305777;-6.137863e-06
08:25:53;-175;-175.0429;6.731471606333238e-11;2.2068863245869675e+20;6.486868896850648e-11;2000.0;229558.4;13.354287700959569;-1182170.5;26.31990691472901;-6.663307e-06
08:26:13;-200;-200.0665;6.688003027762034e-11;2.2356668020201334e+20;6.471742065817361e-11;2000.0;217506.45;10.267296382203059;-1189854.0;22.095248357961488;-8.734185e-06
08:26:32;-225;-225.0867;6.649801100949553e-11;2.2614276034759626e+20;6.455471235580568e-11;2000.0;207628.65;10.095116393583583;-1196689.5;10.688194421884363;-7.656895e-06
08:26:52;-250;-250.0574;6.611667791434858e-11;2.2875887498289005e+20;6.437733848796385e-11;2000.0;197835.75;27.133731313625113;-1203591.5;31.87691170737843;-4.64965e-05
08:27:12;-275;-275.0367;6.57714246775876e-11;2.3116682147855312e+20;6.419077824448934e-11;2000.0;189860.2;23.656880605861797;-1209909.5;33.55946215302027;-8.615122e-06
08:27:31;-300;-300.0064;6.542749904190452e-11;2.3360350812358394e+20;6.399805061494081e-11;2000.0;181773.55;43.44637355407238;-1216269.5;44.206758533056906;-0.0001262544
08:27:51;-325;-325.0528;6.514773651573602e-11;2.35614133024445e+20;6.383218375783541e-11;2000.0;175357.8;15.41470077555838;-1221492.5;23.258063117981255;-9.617812e-06
08:28:10;-350;-350.0508;6.480967887807417e-11;2.3807854559899048e+20;6.361774839633171e-11;2000.0;168068.6;13.232800157185174;-1227864.0;28.83920942050943;-0.0001831264
