time (01.04.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
10:35:01;-25;-25.03873;7.174897658522236e-11;1.942533774311312e+20;6.664487283065778e-11;2000.0;306938.1;11.773041238354685;-1109109.5;18.821198155271624;-1.027156e-06
10:35:20;-50;-50.07166;7.005074531057302e-11;2.0378606307035038e+20;6.675610199382611e-11;2000.0;252369.05;10.651871901219993;-1135997.5;19.948370860799635;-1.437125e-06
10:35:39;-75;-75.10063;6.874394188451262e-11;2.1160753917546024e+20;6.637369588656115e-11;2000.0;218753.2;10.353646700559182;-1157592.5;14.964541422977184;-1.729289e-06
10:35:58;-100;-100.0743;6.769131638270174e-11;2.182398629879034e+20;6.588224642847722e-11;2000.0;194805.25;10.399489170146772;-1175593.5;14.04056622789836;-1.984396e-06
10:36:18;-125;-125.029;6.68089738652987e-11;2.2404249335080354e+20;6.537469679410163e-11;2000.0;176427.8;9.239209922931723;-1191119.5;8.499264674076223;-2.210194e-06
10:36:38;-150;-150.0079;6.606291496802403e-11;2.2913136098575034e+20;6.489275006216642e-11;2000.0;161755.05;10.925995377996461;-1204571.0;18.410594775834916;-2.424119e-06
10:36:57;-175;-175.0438;6.538728616963e-11;2.3389092658603305e+20;6.441572852692377e-11;2000.0;149463.5;8.787917842128474;-1217017.5;8.481597726843686;-2.62003e-06
10:37:17;-200;-200.0732;6.478192719408957e-11;2.3828256841949915e+20;6.396409220627934e-11;2000.0;138899.6;8.62565939508395;-1228390.0;12.529964086141668;-2.801915e-06
10:37:36;-225;-225.0884;6.420220023037662e-11;2.4260523978830253e+20;6.351118723130801e-11;2000.0;129288.0;9.928494347080024;-1239482.0;9.396807968666808;-2.973879e-06
10:37:55;-250;-250.0625;6.363883815520491e-11;2.469195720555121e+20;6.305744205402761e-11;2000.0;120070.35;9.277465979457968;-1250454.5;8.702729456900288;-3.13698e-06
10:38:15;-275;-275.0367;6.307595118944721e-11;2.5134623440654877e+20;6.259434502998808e-11;2000.0;110663.6;9.595676109581857;-1261613.5;11.516835502862754;-3.295681e-06
10:38:34;-300;-300.0132;6.250424854353537e-11;2.559651994798351e+20;6.211607002440256e-11;2000.0;100645.5;9.299059092187768;-1273153.0;7.58617163001207;-3.448982e-06
10:38:53;-325;-325.0468;6.194932616558441e-11;2.6057144798166342e+20;6.164796148692006e-11;2000.0;89813.24;7.714558963414526;-1284557.5;10.62720565341614;-3.581932e-06
10:39:13;-350;-350.0589;6.143875446759379e-11;2.6492027333249457e+20;6.121379495962754e-11;2000.0;78519.09;10.292475163924363;-1295232.5;10.62720565341614;-3.694786e-06
10:39:33;-375;-375.0905;6.09922255404036e-11;2.6881347730544112e+20;6.083131024109582e-11;2000.0;67104.36000000002;5.707698310176961;-1304715.0;10.781929326423912;-3.807393e-06
10:39:52;-400;-400.0668;6.062403413729723e-11;2.7208859310656884e+20;6.051288029413881e-11;2000.0;56257.915;6.732392869552242;-1312639.0;7.774959806970065;-3.910445e-06
10:40:11;-425;-425.0381;6.033155475137286e-11;2.7473308660074122e+20;6.02566708412537e-11;2000.0;46498.32499999999;8.282906721073237;-1319002.5;8.120190884455857;-4.003347e-06
10:40:31;-450;-449.9927;6.010444332019071e-11;2.7681322924455395e+20;6.005504319253297e-11;2000.0;37972.81999999999;7.360202442868077;-1323986.5;7.558935110185825;-4.076206e-06
