time (13.03.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
13:58:23;-25;-25.03585;7.618192871043072e-11;1.723042829762306e+20;6.643323876879511e-11;2000.0;400146.1;14.651604007752873;-1044571.5;47.14485655933211;-1.163643e-06
13:58:43;-50;-50.06948;7.529955332258498e-11;1.7636613599564235e+20;6.78274227489927e-11;2000.0;350765.85;8.86489565646432;-1056812.0;25.80310058888272;-1.664357e-06
13:59:02;-75;-75.09679;7.451025278481103e-11;1.8012248353914824e+20;6.844335443991956e-11;2000.0;317974.15;6.459982585115844;-1068007.0;12.085114811204733;-2.063342e-06
13:59:21;-100;-100.0719;7.372912953312143e-11;1.8395931635322474e+20;6.866684645247206e-11;2000.0;293056.05;11.967137293438231;-1079322.0;20.044949488586894;-2.39854e-06
13:59:40;-125;-125.0271;7.304934388070462e-11;1.873990396551382e+20;6.872644578447824e-11;2000.0;273211.75;6.263734908183775;-1089366.0;15.238110119040352;-2.720704e-06
14:00:00;-150;-150.0081;7.242259036474794e-11;1.9065662081551152e+20;6.86750957316619e-11;2000.0;256677.0;9.572878355019455;-1098793.5;25.01274675040708;-3.018132e-06
14:00:19;-175;-175.0418;7.182633283776073e-11;1.9383518480130985e+20;6.854295953822439e-11;2000.0;242485.15;7.770223613255929;-1107915.0;16.785410331594516;-3.301797e-06
14:00:38;-200;-200.0711;7.126057820326626e-11;1.969252095471832e+20;6.83579654834506e-11;2000.0;230112.8;6.900579685794519;-1116711.0;16.969089545405787;-3.553013e-06
14:00:57;-225;-225.0826;7.07207889075101e-11;1.9994281700612565e+20;6.813534349044238e-11;2000.0;219191.9;5.9648554047856015;-1125234.5;9.499342082481292;-3.809326e-06
14:01:16;-250;-250.0616;7.024583871628023e-11;2.0265568698232223e+20;6.792278210478286e-11;2000.0;209503.7;8.117296347922748;-1132842.5;16.67145764472921;-4.057291e-06
14:01:36;-275;-275.0335;6.982433816651122e-11;2.0510976837317666e+20;6.772094531785614e-11;2000.0;200854.7;9.951406935705121;-1139681.0;45.78700689060162;-4.297158e-06
