time (12.08.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
08:08:21;-25;-25.04107;8.145011558847703e-11;1.507358624226456e+20;6.96685168929338e-11;2000.0;401774.4;18.448631385552698;-977008.7;35.5296425537888;-4.668459e-06
08:08:40;-50;-50.07218;7.943385513586206e-11;1.584852024479714e+20;7.069146725356375e-11;2000.0;352302.75;32.23653788793083;-1001808.0;65.95680404628472;-6.840897e-06
08:08:59;-75;-75.09234;7.786460594438313e-11;1.6493765658182566e+20;7.094323235700598e-11;2000.0;319220.45;9.288292361893008;-1021998.0;20.268201696253172;-3.605655e-05
08:09:19;-100;-100.069;7.657367760759572e-11;1.70545784473835e+20;7.088979629725782e-11;2000.0;294266.8;13.181350461921571;-1039227.5;22.459686106444142;-9.888498e-06
08:09:39;-125;-125.0223;7.552305414566474e-11;1.7532381452777633e+20;7.072626585617899e-11;2000.0;274407.2;20.96396908984556;-1053684.5;40.6415735423716;-1.119909e-05
08:09:58;-150;-150.0022;7.464854039638496e-11;1.7945574213957612e+20;7.051733806153952e-11;2000.0;258023.4;11.513340088783966;-1066028.5;27.588720521256505;-1.242054e-05
08:10:17;-175;-175.0374;7.387166135845155e-11;1.832501198496224e+20;7.02707102125207e-11;2000.0;243856.15;17.443376250026827;-1077239.5;23.65877215748949;-1.363264e-05
08:10:36;-200;-200.0683;7.314489044549915e-11;1.869097740393022e+20;6.998350143412699e-11;2000.0;231231.65;28.17341610454791;-1087943.0;46.941985471430584;-1.470707e-05
08:10:55;-225;-225.0816;7.253044935212033e-11;1.9008999700429885e+20;6.971723690978631e-11;2000.0;220394.6;15.358287664970986;-1097159.5;23.026886459093856;-1.580389e-05
08:11:14;-250;-250.0571;7.193941234891967e-11;1.932262957245519e+20;6.942892453548864e-11;2000.0;210344.95;15.871275153559658;-1106173.5;24.690838381877597;-1.683588e-05
08:11:33;-275;-275.0303;7.143627247183162e-11;1.959577435085113e+20;6.916835771803063e-11;2000.0;201711.65;18.63803570658667;-1113964.5;25.859959396719862;-1.788661e-05
08:11:52;-300;-300.0074;7.096397117115021e-11;1.985748203970723e+20;6.890724128186138e-11;2000.0;193735.15;17.927112846189143;-1121378.5;22.262917598553877;-1.892806e-05
08:12:11;-325;-325.0403;7.052039604154055e-11;2.0108075849077113e+20;6.864756892356499e-11;2000.0;186385.3;21.021429542255213;-1128432.0;28.465768916366898;-1.993137e-05
08:12:31;-350;-350.0531;7.008578828183315e-11;2.0358232750554618e+20;6.837778714862388e-11;2000.0;179451.35;24.667719290603248;-1135429.5;40.121534118226336;-2.092678e-05
08:12:50;-375;-375.0847;6.969060482117694e-11;2.058977177410978e+20;6.812584248274956e-11;2000.0;173055.0;8.676404785393544;-1141868.0;16.1802348561447;-2.187305e-05
08:13:09;-400;-400.0612;6.932807784536653e-11;2.080566882553407e+20;6.78860518211311e-11;2000.0;167292.8;34.76870719483253;-1147839.0;47.25410035118646;-2.289042e-05
08:13:28;-425;-425.0338;6.894647644928025e-11;2.1036614456720146e+20;6.762440849334522e-11;2000.0;161381.3;7.4746571827743375;-1154192.0;17.501428513124292;-2.382898e-05
08:13:48;-450;-449.9878;6.861093916767379e-11;2.1242873932161837e+20;6.739069142768118e-11;2000.0;156070.5;17.82449157760187;-1159836.5;16.587269214671835;-2.480892e-05
08:14:07;-475;-475.0204;6.828210858036632e-11;2.1447967964976877e+20;6.715414311107489e-11;2000.0;151040.95;14.245257982921897;-1165422.0;14.275853739794337;-2.586608e-05
08:14:26;-500;-500.0497;6.794884253260305e-11;2.1658873941079894e+20;6.691109039285476e-11;2000.0;145849.8;54.75274422346337;-1171138.0;69.7767869710264;-2.678779e-05
08:14:45;-525;-525.0831;6.760387825303895e-11;2.18804766258892e+20;6.665467773777585e-11;2000.0;140469.55;30.2476837956231;-1177114.0;34.84537272006141;-2.783585e-05
08:15:04;-550;-550.0663;6.726148928832047e-11;2.210380505900223e+20;6.63967236232638e-11;2000.0;135020.45;19.462717564615687;-1183106.0;19.867058161690675;-2.885266e-05
08:15:24;-575;-575.0211;6.691343486365276e-11;2.2334351759530892e+20;6.613469676225822e-11;2000.0;129049.95;23.290607012269987;-1189260.0;27.313000567495322;-2.967782e-05
08:15:44;-600;-599.9966;6.658481072214155e-11;2.2555354691666434e+20;6.588456140966378e-11;2000.0;123211.0;11.708116842601118;-1195129.5;15.580035301628813;-3.065104e-05
08:16:03;-625;-625.0236;6.62605020953303e-11;2.277668707120477e+20;6.56384862442912e-11;2000.0;116911.4;23.851247346837024;-1200979.0;16.430155203162265;-3.160135e-05
08:16:22;-650;-650.0508;6.594286169122352e-11;2.299664175794304e+20;6.539903444827121e-11;2000.0;110044.2;13.21487797900533;-1206764.0;11.454256850621082;-3.257267e-05
08:16:42;-675;-675.0639;6.56602010018059e-11;2.3195064485089296e+20;6.518480330074019e-11;2000.0;103500.7;19.411736140798943;-1211959.0;17.929026744360666;-3.354594e-05
08:17:01;-700;-700.0462;6.539631363282614e-11;2.338263573196584e+20;6.498791673542698e-11;2000.0;96463.225;17.384232618957046;-1216849.5;14.974561763203623;-3.455653e-05
08:17:20;-725;-725.0137;6.51641943768897e-11;2.3549513469881788e+20;6.481385796520536e-11;2000.0;89782.11000000002;25.406490214116587;-1221184.0;10.497618777608567;-3.549748e-05
08:17:39;-750;-749.9854;6.497111930225076e-11;2.368968590441369e+20;6.467051621946588e-11;2000.0;83505.165;27.69907875273109;-1224813.0;17.903910187442293;-3.639196e-05
08:17:58;-775;-775.0051;6.481440325234615e-11;2.3804383938844705e+20;6.45550390473852e-11;2000.0;77823.10499999998;19.09700693171566;-1227774.5;14.150530025408942;-3.750694e-05
08:18:18;-800;-800.011;6.46917929503766e-11;2.38947023065762e+20;6.446338585744984e-11;2000.0;73221.595;26.504954701904484;-1230101.5;10.031824360503926;-3.840917e-05
08:18:37;-825;-825.037;6.459228702837036e-11;2.396837970421055e+20;6.43908587012748e-11;2000.0;68906.095;14.333022142939472;-1231996.5;11.964008525573693;-3.929014e-05
08:18:57;-850;-850.0172;6.45168774768281e-11;2.4024442586895103e+20;6.433396020385557e-11;2000.0;65769.42000000001;17.238427422477066;-1233436.5;10.15566344460075;-4.034198e-05
08:19:16;-875;-874.981;6.445761626893537e-11;2.4068638200683105e+20;6.428978061389994e-11;2000.0;63079.325;17.49113900665134;-1234570.5;9.936674494014584;-4.142806e-05
08:19:35;-900;-899.9475;6.44088102736431e-11;2.410512820575698e+20;6.425422782662574e-11;2000.0;60600.204999999994;12.232831796031489;-1235506.0;12.577758146824099;-4.236267e-05
