time (05.05.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
11:05:23;-25;-25.03869;8.08351821025217e-11;1.5303795650016818e+20;7.286447805165695e-11;2000.0;325596.8;11.66717617935034;-984441.05;38.99823553700859;-1.685633e-06
11:05:42;-50;-50.07249;7.758274167474824e-11;1.6613829688130552e+20;7.264736841452049e-11;2000.0;267346.85;11.379208012862756;-1025711.0;32.12397858298377;-2.417828e-06
11:06:02;-75;-75.09863;7.530675042272453e-11;1.763324268240238e+20;7.185339235648922e-11;2000.0;231661.25;15.488201154427198;-1056711.0;31.383913076606618;-2.977614e-06
11:06:22;-100;-100.075;7.355225471992798e-11;1.8484513263299527e+20;7.097331720016574e-11;2000.0;206237.2;14.089286710121277;-1081917.5;28.441826593944345;-3.48524e-06
11:06:41;-125;-125.0306;7.210808359833097e-11;1.9232338440816882e+20;7.010062621341584e-11;2000.0;186753.35;10.437258979253127;-1103586.0;11.606032913963324;-3.923432e-06
11:07:00;-150;-150.0114;7.086314691697909e-11;1.9914028783991466e+20;6.925798642945289e-11;2000.0;170959.8;9.447909821754227;-1122974.0;12.814054783713075;-4.343842e-06
11:07:19;-175;-175.046;6.965046882604656e-11;2.0613508271422027e+20;6.83695895384895e-11;2000.0;156382.7;17.814474451973037;-1142526.0;24.345430782797827;-4.736937e-06
11:07:38;-200;-200.0765;6.839114268398445e-11;2.1379634677386782e+20;6.741416478879207e-11;2000.0;140073.85;11.232158074030119;-1163564.0;14.02497771834237;-5.084891e-06
11:07:58;-225;-225.0869;6.714353043424688e-11;2.2181537933843117e+20;6.646770500117803e-11;2000.0;119508.25;29.51312208154196;-1185184.5;30.327174283140852;-5.414586e-06
11:08:17;-250;-250.0639;6.606971626476521e-11;2.290841892933146e+20;6.565995940013512e-11;2000.0;95148.18499999998;22.752493572134355;-1204447.0;18.029143074478053;-5.711069e-06
11:08:36;-275;-275.039;6.530923283091256e-11;2.344503230479227e+20;6.508690562660758e-11;2000.0;71213.94500000002;15.075819173431114;-1218472.0;12.739701723352866;-5.904843e-06
11:08:56;-300;-300.0164;6.482675850283366e-11;2.379531110823856e+20;6.471279109937342e-11;2000.0;51514.689999999995;9.174608711002332;-1227540.5;11.52117615523693;-6.094512e-06
11:09:15;-325;-325.0489;6.453741435500086e-11;2.4009155065585962e+20;6.447852808234479e-11;2000.0;37263.02;9.511039901083302;-1233044.0;10.663020210053059;-6.290675e-06
11:09:34;-350;-350.0587;6.436192605499138e-11;2.4140259588475188e+20;6.433043881732264e-11;2000.0;27353.955000000005;9.848325936421896;-1236406.0;8.438009243891594;-6.444452e-06
11:09:53;-375;-375.0909;6.425349491090796e-11;2.4221804245331598e+20;6.423537232298833e-11;2000.0;20802.540000000005;8.703270649589184;-1238492.5;10.413332799829265;-6.661126e-06
11:10:13;-400;-400.0695;6.418878745314358e-11;2.4270663911806432e+20;6.417728979009779e-11;2000.0;16593.770000000004;12.139709840025036;-1239741.0;7.807048097712732;-6.993464e-06
11:10:32;-425;-425.0423;6.414762608431729e-11;2.4301821238325078e+20;6.413972026127949e-11;2000.0;13772.715;11.482339210718347;-1240536.5;14.199911971558134;-7.596809e-06
11:10:52;-450;-449.9969;6.411968922633139e-11;2.4323002389962382e+20;6.411373489429988e-11;2000.0;11960.234999999999;11.097083569569076;-1241077.0;10.273752965688828;-7.561829e-06
11:11:11;-475;-475.0203;6.409735209110174e-11;2.433995787544175e+20;6.409312725216311e-11;2000.0;10079.7415;12.06779417033206;-1241509.5;8.985404832282184;-1.281341e-05
11:11:31;-500;-500.0595;6.40903313755397e-11;2.4345290763477362e+20;6.408632915928282e-11;2000.0;9812.173;7.315020611727653;-1241645.5;6.872954241081487;-7.183118e-06
11:11:51;-525;-525.0848;6.407379231472331e-11;2.4357860651939162e+20;6.407074658119568e-11;2000.0;8562.996499999997;15.187959857647062;-1241966.0;8.613942186943213;-2.165556e-05
11:12:11;-550;-550.0728;6.407451459150409e-11;2.4357311509487387e+20;6.407140569560657e-11;2000.0;8651.188499999998;11.7472480878502;-1241952.0;9.787747442593725;-7.365666e-06
11:12:31;-575;-575.0236;6.405994322806819e-11;2.4368393617469502e+20;6.405752151448412e-11;2000.0;7638.0045;17.755323771688875;-1242234.5;13.646886091706047;-2.954612e-05
11:12:50;-600;-600.0074;6.406365636214881e-11;2.436556891167639e+20;6.406098825239163e-11;2000.0;8016.475;13.86799187878331;-1242162.5;10.194974252051841;-7.605935e-06
11:13:10;-625;-625.0279;6.405208002494205e-11;2.4374377041904615e+20;6.405001688881376e-11;2000.0;7051.1705;18.473210515162222;-1242387.0;7.5531450403126765;-3.897981e-05
11:13:30;-650;-650.0608;6.405576646668876e-11;2.4371571607189173e+20;6.405337555088113e-11;2000.0;7590.022;8.28227298511706;-1242315.5;10.403725294335677;-7.818247e-06
11:13:50;-675;-675.0648;6.404628053850136e-11;2.4378791514317206e+20;6.404440708988277e-11;2000.0;6720.111999999998;16.561338587203636;-1242499.5;11.257775091020427;-4.82059e-05
