time (11.03.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
14:34:37;-25;-25.03788;8.634265140900178e-11;1.3413720054369326e+20;7.510513918262874e-11;2000.0;356504.5;23.585959806630722;-921647.3;127.98199287399773;-1.540228e-06
14:34:56;-50;-50.06913;8.268004004877808e-11;1.4628461173845416e+20;7.542360159275764e-11;2000.0;298536.6;36.8540635479997;-962475.0;152.59053050566408;-2.14806e-06
14:35:17;-75;-75.09687;8.002760682745037e-11;1.5614221662517458e+20;7.476163889262559e-11;2000.0;263906.45;43.50479714927999;-994375.25;101.84102500957067;-2.624786e-06
14:35:36;-100;-100.0731;7.774426185148954e-11;1.6544868170485203e+20;7.365463773921733e-11;2000.0;241192.3;278.8252149645006;-1023580.0;478.7535900648683;-3.047266e-06
14:35:56;-125;-125.0275;7.629225092870665e-11;1.7180632292043312e+20;7.303083076581398e-11;2000.0;220424.55;43.37306047536881;-1043061.0;107.24714448413066;-3.414179e-06
14:36:15;-150;-150.0095;7.514795073766665e-11;1.7707845168400587e+20;7.247458504231118e-11;2000.0;203380.5;178.6403719767735;-1058944.0;227.21509632944725;-3.787486e-06
14:36:34;-175;-175.0436;7.391626199767661e-11;1.830290424717755e+20;7.166198091104059e-11;2000.0;190945.65;189.9313201528384;-1076589.5;248.75135678021937;-4.115589e-06
14:36:53;-200;-200.0734;7.294050553642964e-11;1.879587127246927e+20;7.106332625665593e-11;2000.0;177317.45;69.19495917333863;-1090991.5;85.347158710762;-4.40042e-06
14:37:12;-225;-225.0846;7.212543548855267e-11;1.9223085747081e+20;7.057039406749134e-11;2000.0;163780.2;19.392086014660727;-1103320.5;48.04932361646728;-4.734257e-06
14:37:31;-250;-250.0645;7.119468854102854e-11;1.972898811273972e+20;6.987970351211349e-11;2000.0;153330.1;17.555184419424364;-1117744.5;38.10167319160669;-5.03633e-06
14:37:50;-275;-275.0361;7.025861478589793e-11;2.025819904608687e+20;6.916052002528862e-11;2000.0;142718.85;35.47811120958949;-1132636.5;82.86819353648298;-5.295824e-06
14:38:09;-300;-300.0148;6.925486132787465e-11;2.0849683752877815e+20;6.836579315294076e-11;2000.0;131035.2;20.793460510458566;-1149052.5;40.285698454910765;-5.516171e-06
14:38:29;-325;-325.0482;6.837345529416872e-11;2.139069741635317e+20;6.766330537560647e-11;2000.0;119234.25;14.619144126794838;-1163865.0;23.78549978453259;-5.809949e-06
14:38:48;-350;-350.0607;6.752044666555035e-11;2.1934583221538066e+20;6.697478317666874e-11;2000.0;106380.4;20.491632438632116;-1178568.5;31.514084152962464;-5.993529e-06
14:39:07;-375;-375.0901;6.67709389896171e-11;2.2429780967706463e+20;6.636536105689659e-11;2000.0;93168.495;15.784649940686073;-1191798.0;17.41551032843999;-6.23531e-06
14:39:27;-400;-400.0676;6.613563517196824e-11;2.2862774992806543e+20;6.584368713152594e-11;2000.0;80121.73000000001;26.76067459912026;-1203246.5;26.03147133759442;-6.459698e-06
14:39:46;-425;-425.042;6.562511312069589e-11;2.3219874598220956e+20;6.541972794768911e-11;2000.0;67943.86500000002;19.96698183877595;-1212607.0;21.402102700435766;-6.758213e-06
14:40:05;-450;-449.993;6.521006415991451e-11;2.3516394926957484e+20;6.506957733546521e-11;2000.0;56702.775;14.373456221452146;-1220325.0;13.592277219068185;-7.366208e-06
14:40:24;-475;-475.0291;6.489230946733503e-11;2.3747261723411146e+20;6.479730025256051e-11;2000.0;46957.104999999996;23.56061594589592;-1226300.5;11.650643759037523;-9.700178e-06
14:40:43;-500;-500.0495;6.463493991427571e-11;2.3936756459901544e+20;6.457330656892845e-11;2000.0;38036.81500000001;28.728767181172362;-1231183.5;15.021234969202764;-1.595666e-05
14:41:03;-525;-525.0919;6.446087959409553e-11;2.4066201317880083e+20;6.441809865055008e-11;2000.0;31813.77;15.79886404144292;-1234508.0;10.039920318408907;-7.323586e-06
14:41:23;-550;-550.0663;6.43175012090811e-11;2.417361902132914e+20;6.428963190955903e-11;2000.0;25760.454999999998;14.75461872601253;-1237260.0;11.291589790636214;-2.176007e-05
14:41:42;-575;-575.028;6.42168882111685e-11;2.4249427291697493e+20;6.419724740665654e-11;2000.0;21675.16;10.58471634008202;-1239198.5;9.441265804964925;-7.594627e-06
14:42:01;-600;-599.9956;6.413229785631723e-11;2.4313439358529395e+20;6.411949894983804e-11;2000.0;17530.920000000002;16.867923108669842;-1240833.0;9.002777349240622;-3.979831e-05
14:42:21;-625;-625.0306;6.408496363070627e-11;2.4349369248480634e+20;6.407503033911701e-11;2000.0;15460.95;9.744368886695554;-1241749.5;7.1928784224397955;-7.894587e-06
14:42:41;-650;-650.0507;6.403965752095372e-11;2.4383834311841205e+20;6.403273914551072e-11;2000.0;12916.42;23.515784698793293;-1242628.0;8.619744775803978;-5.416719e-05
14:43:01;-675;-675.0723;6.401732460215981e-11;2.4400850242520475e+20;6.401143072101071e-11;2000.0;11927.915000000003;14.231855597567064;-1243061.5;8.639299740140979;-8.228467e-06
14:43:22;-700;-700.0439;6.398816329798597e-11;2.4423095692896928e+20;6.398391542367435e-11;2000.0;10133.067000000001;15.747875874225077;-1243628.0;11.588787684654507;-6.437369e-05
14:43:42;-725;-725.0181;6.398065206858133e-11;2.4428830496679444e+20;6.397657931634609e-11;2000.0;9923.730500000001;10.12685144738975;-1243774.0;11.77709641634983;-8.546475e-06
14:44:01;-750;-749.984;6.39546079408523e-11;2.4448730771176017e+20;6.395151717569736e-11;2000.0;8650.194500000003;18.67592468226138;-1244280.5;13.350561785932456;-0.0001058462
14:44:21;-775;-775.015;6.396452946110917e-11;2.4441146887818402e+20;6.396122791136277e-11;2000.0;8938.228500000001;11.511191234511704;-1244087.5;10.997158723961384;-8.832973e-06
14:44:40;-800;-800.01;6.394086169914514e-11;2.4459244057338954e+20;6.393828155107293e-11;2000.0;7905.9395;12.484860180935149;-1244548.0;7.987490219086342;-0.0001253628
14:45:00;-825;-825.0428;6.395499343467846e-11;2.4448436038713105e+20;6.395198586789392e-11;2000.0;8532.893;10.361044713251653;-1244273.0;11.621101496846157;-9.115794e-06
