time (14.05.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
07:59:50;-25;-25.0387;8.78106653910076e-11;1.2968969350214168e+20;8.213323433346777e-11;2000.0;238264.5;8.137413594011305;-906239.25;23.795259506884978;-2.040469e-06
08:00:09;-50;-50.07397;8.00123908985353e-11;1.5620160929546748e+20;7.77037797989666e-11;2000.0;171430.15;8.429790922674181;-994564.35;9.51348385188097;-2.827675e-06
08:00:29;-75;-75.10121;7.463159821635099e-11;1.7953722817666325e+20;7.423812065750668e-11;2000.0;77627.195;10.738895369170582;-1066270.5;8.350898155288448;-3.291678e-06
08:00:48;-100;-100.0746;7.349784043216004e-11;1.851189349513133e+20;7.344188815245515e-11;2000.0;29884.95;7.0227078110938965;-1082718.5;6.974059076319901;-3.536145e-06
08:01:07;-125;-125.0285;7.323077957271885e-11;1.864715948139517e+20;7.321552192768266e-11;2000.0;15686.954999999998;10.952359277799495;-1086667.0;8.369587803470372;-3.69039e-06
08:01:26;-150;-150.0078;7.312939668715298e-11;1.8698898272364148e+20;7.312266680220099e-11;2000.0;10439.41;7.0103099075576125;-1088173.5;10.278010507875539;-3.824107e-06
08:01:46;-175;-175.0437;7.30798003382713e-11;1.8724287279226526e+20;7.307576316256443e-11;2000.0;8093.6595;10.197124655386927;-1088912.0;9.838699100999074;-3.925079e-06
08:02:05;-200;-200.0746;7.304760044680673e-11;1.874079851026292e+20;7.304464754868196e-11;2000.0;6926.505999999999;7.961781283104927;-1089392.0;8.59069263796581;-4.02894e-06
08:02:25;-225;-225.0887;7.302759044512885e-11;1.8751070101697082e+20;7.302520264115023e-11;2000.0;6231.120000000001;10.204114929772203;-1089690.5;6.537392446534015;-4.105541e-06
08:02:44;-250;-250.0643;7.301030419872835e-11;1.87599503273997e+20;7.300827076852716e-11;2000.0;5752.2080000000005;5.732490279102087;-1089948.5;6.681130143920263;-4.189624e-06
08:03:04;-275;-275.0362;7.299757924882726e-11;1.8766491372659687e+20;7.299574504897484e-11;2000.0;5464.573;7.903842802713118;-1090138.5;8.668188968867717;-4.291137e-06
08:03:23;-300;-300.0127;7.298890873248383e-11;1.8770950264774436e+20;7.298723976614303e-11;2000.0;5213.550499999999;9.423146302456518;-1090268.0;5.813776741499453;-4.367938e-06
08:03:43;-325;-325.0471;7.297793126572557e-11;1.877659780716814e+20;7.297637627235104e-11;2000.0;5033.518999999998;9.401635839044202;-1090432.0;8.96102672688794;-4.431678e-06
08:04:02;-350;-350.0609;7.297207573633272e-11;1.8779611325161344e+20;7.297058199817328e-11;2000.0;4933.973;9.93987389507532;-1090519.5;8.816887205811357;-4.509162e-06
08:04:22;-375;-375.0918;7.296555211036291e-11;1.878296953004772e+20;7.296411655971599e-11;2000.0;4837.5655;10.113384657843294;-1090617.0;6.931810730249348;-4.582874e-06
08:04:41;-400;-400.0692;7.295949789099981e-11;1.8786086901719125e+20;7.295807673220607e-11;2000.0;4813.853999999999;7.233225262633522;-1090707.5;7.545694136393284;-4.692916e-06
08:05:00;-425;-425.0389;7.295628722105702e-11;1.8787740419299338e+20;7.295488208343623e-11;2000.0;4786.9585;7.622098538952406;-1090755.5;7.889074723945767;-4.782564e-06
08:05:20;-450;-449.9939;7.294966610666012e-11;1.8791151029120274e+20;7.294827733636693e-11;2000.0;4759.644499999999;7.128462859375783;-1090854.5;8.616118615710905;-4.851629e-06
08:05:39;-475;-475.0268;7.294695781532382e-11;1.8792546367809752e+20;7.294554770532794e-11;2000.0;4796.340999999999;8.236268933807338;-1090895.0;9.367496997597597;-4.924662e-06
08:05:58;-500;-500.058;7.294227729207414e-11;1.8794958186456318e+20;7.29408720016894e-11;2000.0;4788.598;8.870278056521126;-1090965.0;12.051970793193949;-5.004625e-06
08:06:17;-525;-525.0924;7.293656118204214e-11;1.87979042606105e+20;7.293513735446287e-11;2000.0;4820.6449999999995;7.9965666226200085;-1091050.5;7.364611327150945;-5.096019e-06
08:06:37;-550;-550.0737;7.293499024442675e-11;1.879871404073989e+20;7.29335254614817e-11;2000.0;4889.644000000001;8.44213069669026;-1091074.0;7.19027120489902;-5.175676e-06
08:06:56;-575;-575.0277;7.293144752714182e-11;1.880054041739823e+20;7.292996811651205e-11;2000.0;4914.3565;11.169376398774482;-1091127.0;6.328506932918696;-5.266324e-06
08:07:16;-600;-600.0023;7.292710315503384e-11;1.880278043441975e+20;7.292556016896664e-11;2000.0;5019.289999999999;10.158608246211692;-1091192.0;10.549881515922346;-5.371566e-06
08:07:36;-625;-625.0305;7.292456360799068e-11;1.880409004463975e+20;7.29229879994805e-11;2000.0;5072.3385;6.419700977265235;-1091230.0;10.44030650891055;-5.469094e-06
08:07:55;-650;-650.0604;7.292065438786139e-11;1.880610624425622e+20;7.291902490460849e-11;2000.0;5158.745500000001;9.457888994775724;-1091288.5;8.754284665236788;-5.580043e-06
08:08:14;-675;-675.0719;7.291804847394359e-11;1.8807450437380542e+20;7.291635793471948e-11;2000.0;5254.7885;9.345240105930953;-1091327.5;8.627716963368698;-5.666688e-06
08:08:33;-700;-700.0517;7.291504188161939e-11;1.880900148913844e+20;7.291330027659996e-11;2000.0;5333.8949999999995;9.725505552412177;-1091372.5;10.341058939973216;-5.778023e-06
08:08:52;-725;-725.0173;7.291079966754595e-11;1.881119030430647e+20;7.29089979298224e-11;2000.0;5425.6714999999995;7.986326855163169;-1091436.0;9.418067742376882;-5.853994e-06
08:09:12;-750;-749.9902;7.291046565590598e-11;1.881136265736604e+20;7.290858599015745e-11;2000.0;5541.805;7.725725742608258;-1091441.0;8.059156283383514;-5.952088e-06
08:09:32;-775;-775.0095;7.290692532065928e-11;1.8813189648340143e+20;7.290498560555863e-11;2000.0;5630.043;11.25345918151393;-1091494.0;9.602083107326242;-6.062516e-06
08:09:51;-800;-800.017;7.290351890755551e-11;1.881494778001603e+20;7.290146798102277e-11;2000.0;5789.600000000001;11.513357221071551;-1091545.0;10.688779163215974;-6.182715e-06
08:10:10;-825;-825.046;7.290261726325038e-11;1.8815413181562916e+20;7.290049528204946e-11;2000.0;5889.149;10.187311836299095;-1091558.5;11.119240081948046;-6.305505e-06
08:10:30;-850;-850.0253;7.28977420914912e-11;1.881792989704959e+20;7.28955144307756e-11;2000.0;6034.623499999999;9.959137218529513;-1091631.5;10.180250488077393;-6.435126e-06
08:10:49;-875;-874.9879;7.289677381307464e-11;1.8818429812626755e+20;7.289440791836078e-11;2000.0;6219.169999999999;8.648380831115173;-1091646.0;9.47100839404126;-6.646712e-06
08:11:09;-900;-899.9529;7.289520458888672e-11;1.8819240034732828e+20;7.289272802238256e-11;2000.0;6363.177999999998;9.006635820327125;-1091669.5;10.850691222221744;-7.052212e-06
