time (12.08.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
10:53:01;-25;-25.0375;1.0403439799970933e-10;9.23944922381288e+19;8.44199200563707e-11;2000.0;368705.05;7.184175318016675;-764915.0;27.966497814349225;-4.50387e-06
10:53:20;-50;-50.068;9.618620871722486e-11;1.0808722977555925e+20;8.461218885703467e-11;2000.0;305987.0;14.145670715805595;-827327.25;40.37640864415754;-6.604003e-06
10:53:40;-75;-75.08825;9.154564577329675e-11;1.1932312392363447e+20;8.367659025355914e-11;2000.0;266570.3;16.341985803445066;-869265.5;33.304841990317264;-2.768447e-05
10:54:00;-100;-100.0757;8.837372852083706e-11;1.2804235202301732e+20;8.253865742278757e-11;2000.0;239420.5;7.619875327064085;-900465.25;11.42013025319764;-9.659588e-06
10:54:20;-125;-125.0199;8.590861889674809e-11;1.3549601594273558e+20;8.136490541761986e-11;2000.0;218897.25;373.43604455783316;-926303.7;340.77422217650206;-0.0001922157
10:54:39;-150;-150.0016;8.381755877337214e-11;1.423409908622125e+20;8.019656293973722e-11;2000.0;201739.65;10.335442661057145;-949412.9;14.953243795243893;-1.217101e-05
10:54:58;-175;-175.0354;8.184675887484971e-11;1.4927841935768227e+20;7.89532413368311e-11;2000.0;186130.15;13.51115742636433;-972273.95;16.857116449737184;-1.329623e-05
10:55:17;-200;-200.0642;7.994715117031678e-11;1.5645664548662467e+20;7.769168752356994e-11;2000.0;169596.85;17.709217232842327;-995375.95;20.946774811411895;-1.435449e-05
10:55:36;-225;-225.0758;7.807189410409722e-11;1.6406296959304306e+20;7.642705397866555e-11;2000.0;149531.85;26.706111192009967;-1019284.5;27.735131151663946;-1.535592e-05
10:55:55;-250;-250.0542;7.641364114786162e-11;1.712608956554391e+20;7.531620764769628e-11;2000.0;125708.35;9.913444154278572;-1041404.0;8.497058314499201;-1.628223e-05
10:56:14;-275;-275.0283;7.514834104714078e-11;1.770766122497109e+20;7.44738454471423e-11;2000.0;100776.3;10.519767107688267;-1058938.5;9.334746916762125;-1.716017e-05
10:56:33;-300;-300.0074;7.428222592945361e-11;1.8123003798478248e+20;7.388844206149534e-11;2000.0;78207.055;14.995738519659541;-1071285.5;10.896673804423072;-1.801649e-05
10:56:53;-325;-325.0387;7.375113210931202e-11;1.8384956956045882e+20;7.35204716226553e-11;2000.0;60437.13999999999;12.745733403770762;-1079000.0;8.602325267042625;-1.866155e-05
10:57:12;-350;-350.0494;7.34609647028583e-11;1.853048325667072e+20;7.331213237832215e-11;2000.0;48808.36;10.551635892125768;-1083262.0;10.08959860450355;-1.931675e-05
10:57:32;-375;-375.0792;7.329978477838746e-11;1.8612066734577762e+20;7.31924424713643e-11;2000.0;41575.72;8.584545998479056;-1085644.0;12.19426094521517;-1.997508e-05
10:57:51;-400;-400.0585;7.320208256878454e-11;1.866178263089596e+20;7.311903237707857e-11;2000.0;36637.15999999999;10.969175903411978;-1087093.0;9.927235264664578;-2.047818e-05
10:58:10;-425;-425.0299;7.31364537673388e-11;1.8695289859563805e+20;7.306700005476069e-11;2000.0;33546.2;8.740786577877278;-1088068.5;7.977311577216976;-2.112256e-05
10:58:29;-450;-449.9866;7.309211759033376e-11;1.8717977095829363e+20;7.303238811433373e-11;2000.0;31135.525;8.938290874098927;-1088728.5;10.131016730812362;-2.157304e-05
