time (17.09.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
12:39:21;-25;-25.03986;9.985442542253947e-11;1.0029178614990268e+20;8.527080491963922e-11;2000.0;329575.8;5.248142528552363;-796934.85;15.134773701644828;-4.604456e-06
12:39:43;-50;-50.07108;9.345484283156698e-11;1.144975983243633e+20;8.486104652881911e-11;2000.0;270973.4;5.420516580548388;-851507.2;9.018758229379477;-6.430485e-06
12:40:05;-75;-75.09885;8.959390934126419e-11;1.2457847951055187e+20;8.355292916364602e-11;2000.0;238827.6;6.749962962861353;-888201.8;11.146434407468604;-7.84465e-06
12:40:26;-100;-100.0659;8.673448936411253e-11;1.3292796250630737e+20;8.215316771522056e-11;2000.0;216661.4;7.426102611733831;-917483.6;11.689824635126053;-9.05704e-06
12:40:46;-125;-125.0215;8.439487445089111e-11;1.4040024224168264e+20;8.078105774405553e-11;2000.0;199435.45;7.156980857875755;-942918.3;9.624733762551568;-1.011514e-05
12:41:06;-150;-150.002;8.22835597755315e-11;1.4769774203848884e+20;7.940506256328795e-11;2000.0;184134.8;8.71079789686341;-967112.65;12.781485633524765;-1.113473e-05
12:41:26;-175;-175.0366;8.019829052279919e-11;1.5547829797656484e+20;7.798003000668373e-11;2000.0;167355.35;8.155757169018706;-992258.95;10.759757199862827;-1.204971e-05
12:41:46;-200;-200.066;7.812922909090413e-11;1.6382226334730784e+20;7.65609199684878e-11;2000.0;145776.95;5.638029354304568;-1018536.5;7.323762694134757;-1.292647e-05
12:42:07;-225;-225.0791;7.629934642609685e-11;1.7177436996959296e+20;7.53229464957254e-11;2000.0;118746.15;12.75152441867246;-1042964.0;11.840608092492547;-1.370685e-05
12:42:28;-250;-250.0568;7.494454939165438e-11;1.7804094655726214e+20;7.441457428049759e-11;2000.0;89608.42;7.873749424512012;-1061818.0;6.730527468185535;-1.442382e-05
12:42:48;-275;-275.03;7.410258715078016e-11;1.821097752473341e+20;7.383399322531307e-11;2000.0;64770.415000000015;7.464078225072176;-1073882.5;7.644442425710328;-1.50046e-05
12:43:08;-300;-300.0089;7.367053149538219e-11;1.8425207770157918e+20;7.352442121396081e-11;2000.0;48152.73;6.708517347372688;-1080180.5;8.528628260160012;-1.557439e-05
12:43:29;-325;-325.0402;7.346021874998054e-11;1.8530859594714058e+20;7.336723587535822e-11;2000.0;38564.55499999999;7.666643577863699;-1083273.0;8.034301463101817;-1.608951e-05
12:43:50;-350;-350.0505;7.334663797652305e-11;1.8588295874717883e+20;7.327874148134068e-11;2000.0;33025.134999999995;10.100285330128026;-1084950.5;9.65595671075632;-1.660189e-05
12:44:11;-375;-375.0818;7.328226821807617e-11;1.8620965431667432e+20;7.322848353428833e-11;2000.0;29429.340000000004;6.084707881238085;-1085903.5;10.350724612315796;-1.705056e-05
12:44:30;-400;-400.0599;7.323387965624416e-11;1.864558079872437e+20;7.318866630417795e-11;2000.0;27007.82;8.37560326185523;-1086621.0;8.657366805212773;-1.750967e-05
12:44:50;-425;-425.0319;7.320315998401922e-11;1.8661233301032272e+20;7.31633921345506e-11;2000.0;25344.250000000004;9.521666083202073;-1087077.0;7.749193506423749;-1.79518e-05
12:45:12;-450;-449.9875;7.317747899892058e-11;1.867433358689041e+20;7.314154853958104e-11;2000.0;24102.495000000003;9.599256416514837;-1087458.5;8.639299740140979;-1.843397e-05
12:45:32;-475;-475.0197;7.315403517898642e-11;1.8686304706839832e+20;7.312060681068877e-11;2000.0;23258.92;8.14982085692688;-1087807.0;6.859300255857006;-1.888927e-05
12:45:52;-500;-500.049;7.313994920660456e-11;1.869350296500246e+20;7.310833231593548e-11;2000.0;22626.199999999997;11.463871510096402;-1088016.5;8.434304950616855;-1.935364e-05
12:46:13;-525;-525.0818;7.312119874238906e-11;1.8703091341705884e+20;7.309085306637655e-11;2000.0;22175.005;9.61093251198863;-1088295.5;9.068489400115103;-1.984126e-05
12:46:34;-550;-550.0651;7.311011428154506e-11;1.870876304394368e+20;7.308036170007397e-11;2000.0;21962.140000000003;7.725446265427038;-1088460.5;8.499264674076223;-2.03443e-05
12:46:55;-575;-575.0206;7.30974216641331e-11;1.8715260777589627e+20;7.306829649071935e-11;2000.0;21734.909999999996;7.048790321750252;-1088649.5;8.90154480975072;-2.083007e-05
12:47:15;-600;-599.9974;7.308741842126681e-11;1.872038412479639e+20;7.305834924790169e-11;2000.0;21718.455000000005;8.970045916827969;-1088798.5;8.923984536069074;-2.130774e-05
12:47:37;-625;-625.0247;7.307906210627168e-11;1.872466558013678e+20;7.305013278280004e-11;2000.0;21669.845;8.204158930079357;-1088923.0;7.971825386948713;-2.17681e-05
12:47:57;-650;-650.0515;7.3067554326964e-11;1.8730564129487615e+20;7.303824521263647e-11;2000.0;21816.835;5.457711402227135;-1089094.5;8.957538724448808;-2.231239e-05
12:48:18;-675;-675.063;7.306185210605568e-11;1.8733487953048997e+20;7.303192974064739e-11;2000.0;22046.57;9.62629238076627;-1089179.5;7.1928784224397955;-2.28786e-05
