time (03.04.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
13:48:48;-25;-25.03783;8.92293426145574e-11;1.2559854641306652e+20;8.27214572303485e-11;2000.0;250145.85;8.2653720424431;-891830.75;9.12219134857409;-2.380301e-06
13:49:07;-50;-50.06976;8.108975079898581e-11;1.5207858690397464e+20;7.839693846430163e-11;2000.0;181876.95;9.387351863012272;-981350.55;10.849302973002459;-3.271058e-06
13:49:27;-75;-75.09856;7.522534672390927e-11;1.7671426297118687e+20;7.46750486156352e-11;2000.0;90810.735;8.783377126708999;-1057854.5;7.952200953195286;-3.814371e-06
13:49:46;-100;-100.0743;7.379702442014235e-11;1.8362097882245716e+20;7.370666319374322e-11;2000.0;37756.259999999995;6.417777652739127;-1078329.0;6.553624951124377;-4.131536e-06
13:50:05;-125;-125.0283;7.343252749626867e-11;1.8544838127240872e+20;7.340761113222565e-11;2000.0;19965.190000000006;8.141685636279549;-1083681.5;7.85095535587867;-4.35273e-06
13:50:24;-150;-150.0071;7.328908484365036e-11;1.861750171680561e+20;7.327885794864282e-11;2000.0;12827.244999999999;7.40952250485817;-1085802.5;8.452070752188483;-4.501181e-06
13:50:44;-175;-175.0431;7.322117771877012e-11;1.8652050389931613e+20;7.321544700024522e-11;2000.0;9615.162;10.572257743736705;-1086809.5;6.725882841679596;-4.629377e-06
13:51:03;-200;-200.0735;7.318229070785992e-11;1.8671878006366618e+20;7.317831324143034e-11;2000.0;8016.710500000001;8.324633519711234;-1087387.0;8.691950298983537;-4.745937e-06
13:51:21;-225;-225.0861;7.315494305302218e-11;1.8685840904808405e+20;7.315180407975361e-11;2000.0;7125.703499999999;11.809217676776921;-1087793.5;8.951955093721146;-4.868795e-06
13:51:41;-250;-250.0641;7.313564717495413e-11;1.8695702231974963e+20;7.31329672903495e-11;2000.0;6586.618;7.647561134113267;-1088080.5;8.076973443066406;-4.963239e-06
13:52:01;-275;-275.0372;7.31195526554209e-11;1.8703933449195484e+20;7.311719227862364e-11;2000.0;6183.545;7.794449034409034;-1088320.0;8.093207028119323;-5.064583e-06
