time (16.10.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
08:30:09;-25;-25.03927;1.0095650580682982e-10;9.811408958067786e+19;8.128338484871581e-11;2000.0;387785.5;8.611474902709757;-788235.2;19.42171465138956;-6.308429e-06
08:30:30;-50;-50.07686;9.592682176608442e-11;1.086725576708897e+20;8.250225345737196e-11;2000.0;334631.9;5.962759428318401;-829564.35;9.94994346717608;-9.630376e-06
08:30:51;-75;-75.09228;9.28051414911672e-11;1.1610633746201e+20;8.254209129696577e-11;2000.0;302356.0;6.43117407632541;-857468.35;13.914071115241576;-1.210436e-05
08:31:11;-100;-100.0684;9.055671222710097e-11;1.2194351432710796e+20;8.222314939960603e-11;2000.0;279761.4;9.205541809149528;-878758.4;15.021884036298507;-1.421504e-05
08:31:31;-125;-125.0221;8.881982741411817e-11;1.2675939277181564e+20;8.179451396716817e-11;2000.0;262573.55;7.490485631786498;-895942.65;5.431056527048856;-1.614366e-05
08:31:52;-150;-150.0027;8.734697635832287e-11;1.3107028637011432e+20;8.130820780616315e-11;2000.0;248284.3;7.428021270836534;-911050.1;10.857923374200057;-1.796668e-05
08:32:13;-175;-175.0369;8.606509731050752e-11;1.350037623342517e+20;8.080351811354769e-11;2000.0;235942.4;8.015734526542158;-924619.55;7.291939042531828;-1.966863e-05
08:32:34;-200;-200.066;8.496015622782395e-11;1.3853815364905746e+20;8.03173976750266e-11;2000.0;225194.65;6.786853099927831;-936644.6;7.313822529977056;-2.134069e-05
08:32:55;-225;-225.0793;8.397065233325134e-11;1.4182243768901639e+20;7.984520843982811e-11;2000.0;215413.8;7.499533318813911;-947681.95;7.827986650474053;-2.300897e-05
08:33:16;-250;-250.0563;8.307337355941221e-11;1.44902642492539e+20;7.937985858341002e-11;2000.0;206629.85;4.440875476750051;-957917.9;5.741471936707519;-2.467914e-05
08:33:37;-275;-275.0291;8.226165707712573e-11;1.4777640346791045e+20;7.893542805152526e-11;2000.0;198578.75;5.971128452813588;-967370.15;8.440756778867637;-2.636571e-05
08:33:58;-300;-300.0068;8.149776257666023e-11;1.505596610117535e+20;7.849005128170969e-11;2000.0;191141.6;7.430814221873671;-976437.5;8.95949217310892;-2.804638e-05
08:34:19;-325;-325.0406;8.077310329145392e-11;1.5327328397453807e+20;7.804558495648673e-11;2000.0;184176.0;9.48525170989152;-985197.65;7.6639660098411175;-2.97339e-05
08:34:40;-350;-350.0527;8.008846800722096e-11;1.5590499423918968e+20;7.760780969825834e-11;2000.0;177644.15;7.799126553659712;-993619.6;10.263625090580812;-3.145176e-05
08:35:01;-375;-375.0819;7.941027321569205e-11;1.585793449354267e+20;7.715270356180594e-11;2000.0;171418.8;8.295360148902517;-1002105.5;8.138642392930162;-3.324628e-05
08:35:22;-400;-400.0595;7.874252518019943e-11;1.6128030052510902e+20;7.66921039820467e-11;2000.0;165244.5;8.312791348277663;-1010603.5;5.885363200347112;-3.504747e-05
08:35:44;-425;-425.032;7.806611162488981e-11;1.6408727529563626e+20;7.621038624506357e-11;2000.0;159066.0;8.212794895770866;-1019360.0;6.244997998398397;-3.690136e-05
08:36:04;-450;-449.9877;7.740265057151455e-11;1.6691229715395173e+20;7.57312275779426e-11;2000.0;152735.5;13.82506781176859;-1028097.5;18.109044701474453;-3.88659e-05
08:36:24;-475;-475.0206;7.672809693805602e-11;1.6986001052542488e+20;7.524240983770745e-11;2000.0;145736.4;9.83092060795936;-1037136.0;6.260990336999411;-4.097336e-05
08:36:44;-500;-500.0509;7.60663623589998e-11;1.7282823872024753e+20;7.47659918263864e-11;2000.0;137968.2;9.066587009453997;-1046158.5;9.414749067287985;-4.304767e-05
08:37:04;-525;-525.0842;7.547080325749437e-11;1.7556666330635813e+20;7.434616874972459e-11;2000.0;129684.35;6.697863465314892;-1054414.0;9.093954035511725;-4.512678e-05
08:37:25;-550;-550.0663;7.499568515696788e-11;1.7779823509531538e+20;7.401452600579828e-11;2000.0;122170.15;13.099670797390292;-1061094.0;8.757853618324527;-4.72863e-05
08:37:46;-575;-575.0217;7.464412908830779e-11;1.7947695366595917e+20;7.377282970460548e-11;2000.0;115859.05;7.961304855361336;-1066091.5;9.0905170370007;-4.946645e-05
08:38:06;-600;-599.9987;7.437921946627865e-11;1.8075768344323922e+20;7.359102865413714e-11;2000.0;110724.0;10.922453936730518;-1069888.5;10.42293144945317;-5.165665e-05
08:38:28;-625;-625.0256;7.418579624635507e-11;1.8170148437992748e+20;7.345432510170996e-11;2000.0;107043.25;11.477559627377241;-1072678.0;8.706319543871565;-5.386405e-05
08:38:48;-650;-650.0537;7.404983638444018e-11;1.823693261749351e+20;7.335484665661471e-11;2000.0;104602.2;5.992328428916426;-1074647.5;7.275816105427624;-5.631835e-05
08:39:10;-675;-675.0654;7.39437009691111e-11;1.8289323112345387e+20;7.326977598904117e-11;2000.0;103212.5;9.974342083566214;-1076190.0;9.433981132056603;-5.885533e-05
08:39:30;-700;-700.0467;7.387488452244856e-11;1.8323412977917755e+20;7.32069151646789e-11;2000.0;102895.3;11.48022212328664;-1077192.5;10.997158723961384;-6.149518e-05
08:39:52;-725;-725.0181;7.381403480161982e-11;1.8353635797749865e+20;7.314457143972216e-11;2000.0;103139.15;12.15941507639245;-1078080.5;10.570596009686493;-6.405848e-05
08:40:12;-750;-749.9866;7.378522101818836e-11;1.8367973111853194e+20;7.309492949540284e-11;2000.0;104807.75;8.692777174183172;-1078501.5;9.676647146610234;-6.699283e-05
08:40:34;-775;-775.0084;7.37801928896439e-11;1.8370476756079218e+20;7.305280752537729e-11;2000.0;107625.25;8.019000872926751;-1078575.0;8.440971508067065;-7.034075e-05
08:40:55;-800;-800.0134;7.379486873447948e-11;1.8363170680123644e+20;7.301265429789074e-11;2000.0;111616.35;9.00757320258903;-1078360.5;10.688194421884363;-7.392609e-05
08:41:15;-825;-825.0402;7.383937666557732e-11;1.834103992957975e+20;7.29817026874305e-11;2000.0;116830.5;10.715292809811592;-1077710.5;9.681812846776165;-7.781285e-05
