time (12.05.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
14:47:15;-25;-25.04036;9.580394930674487e-11;1.0895149037285306e+20;8.487118326158658e-11;2000.0;298120.35;12.788525129974916;-830628.3;36.352379564479676;-3.685751e-06
14:47:35;-50;-50.07341;8.93777910202091e-11;1.2518167730034383e+20;8.333923875909891e-11;2000.0;239663.65;12.414160261572265;-890349.5;25.47327030437984;-5.110348e-06
14:47:55;-75;-75.10103;8.541809158128765e-11;1.3705670027380218e+20;8.136931635913386e-11;2000.0;207812.55;8.848015314182044;-931623.15;17.186517244631034;-6.228685e-06
14:48:14;-100;-100.0766;8.212434880711075e-11;1.4827096775646603e+20;7.927056683152479e-11;2000.0;183853.8;25.3653898057964;-968987.55;36.68456589630031;-7.622072e-06
14:48:34;-125;-125.0249;7.878442749874531e-11;1.6110878893123204e+20;7.69877299684363e-11;2000.0;154303.75;104.22736864662755;-1010066.0;126.8905039788242;-3.263137e-05
14:48:53;-150;-150.0125;7.592886194300068e-11;1.7345475863154347e+20;7.508177555473747e-11;2000.0;111321.7;19.698362876137697;-1048053.0;13.135828866120324;-8.583096e-06
14:49:12;-175;-175.0365;7.436017571719031e-11;1.808502799097108e+20;7.404366751867284e-11;2000.0;69967.80500000001;280.2634675153899;-1070162.5;125.8170795242045;-0.0001271386
14:49:32;-200;-200.0766;7.368250290132701e-11;1.8419221064647836e+20;7.356351328087624e-11;2000.0;43435.924999999996;10.262742993469054;-1080005.0;13.64734406395618;-9.589627e-06
14:49:52;-225;-225.0781;7.338783173561805e-11;1.856743391822651e+20;7.333357347457044e-11;2000.0;29494.944999999996;21.04677466382921;-1084341.5;14.667566260290084;-0.0001812597
14:50:12;-250;-250.057;7.32689086111636e-11;1.862775661944538e+20;7.32365852491732e-11;2000.0;22817.32;11.90004117639943;-1086101.5;7.2551705700141875;-1.021014e-05
14:50:31;-275;-275.0304;7.320315998401922e-11;1.8661233301032272e+20;7.318067951884215e-11;2000.0;19053.059999999998;11.203346375079189;-1087077.0;11.447707194019246;-1.048347e-05
14:50:50;-300;-300.008;7.316257681114635e-11;1.868194175979848e+20;7.314509287731458e-11;2000.0;16816.21;10.807133986399943;-1087680.0;9.974968671630002;-1.077433e-05
14:51:10;-325;-325.0407;7.313416846845555e-11;1.8696458259874038e+20;7.311979568628118e-11;2000.0;15255.37;8.005045596372382;-1088102.5;9.243240773668076;-1.09931e-05
14:51:29;-350;-350.052;7.311340567969713e-11;1.8707078630490692e+20;7.310101564344888e-11;2000.0;14169.929999999998;9.976329735929925;-1088411.5;11.231095227091613;-1.120719e-05
14:51:48;-375;-375.0829;7.309624664470191e-11;1.8715862476659923e+20;7.3085275552864e-11;2000.0;13338.440000000002;9.890923617135037;-1088667.0;10.151354589413177;-1.14536e-05
14:52:08;-400;-400.0606;7.308198156540525e-11;1.8723169594316718e+20;7.307189708047942e-11;2000.0;12791.795000000002;11.153323439674807;-1088879.5;11.714841014712917;-1.167037e-05
14:52:27;-425;-425.0334;7.307255288786953e-11;1.8728001671775748e+20;7.306306441475778e-11;2000.0;12410.380000000001;12.329727490905858;-1089020.0;13.397761006974262;-1.195734e-05
14:52:46;-450;-449.988;7.306124839359548e-11;1.873379754772676e+20;7.305214579380009e-11;2000.0;12158.2;8.909710994190542;-1089188.5;7.116003091623837;-1.225497e-05
14:53:06;-475;-475.018;7.305142269912164e-11;1.87388374208317e+20;7.304257400455106e-11;2000.0;11989.83;8.784902105316819;-1089335.0;11.01135777277262;-1.251697e-05
14:53:25;-500;-500.0505;7.30438121177345e-11;1.8742742498421365e+20;7.303517626911234e-11;2000.0;11846.585000000003;8.923850836382222;-1089448.5;5.209366564180332;-1.273898e-05
14:53:44;-525;-525.082;7.303637070389242e-11;1.874656195459912e+20;7.302776129777832e-11;2000.0;11830.24;8.918905201873152;-1089559.5;6.836483013948034;-1.300929e-05
14:54:04;-550;-550.0655;7.303251651355262e-11;1.8748540654716833e+20;7.302393195389815e-11;2000.0;11814.09;9.874535178933707;-1089617.0;12.310564568694645;-1.326507e-05
14:54:23;-575;-575.0211;7.302423975794942e-11;1.8752790911440244e+20;7.301562386606868e-11;2000.0;11837.645;8.797051992002801;-1089740.5;8.199847559558652;-1.356225e-05
14:54:43;-600;-599.9962;7.301904680042693e-11;1.875545832258058e+20;7.301027331948575e-11;2000.0;11946.699999999999;10.444010245111764;-1089818.0;6.348228099241551;-1.385356e-05
