time (03.10.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
14:27:02;-25;-25.03992;1.0136007629371011e-10;9.733435212064498e+19;8.249860191582586e-11;2000.0;375394.35;5.886541854093962;-785096.8;10.122400900972062;-6.351069e-06
14:27:24;-50;-50.06223;9.638311597807736e-11;1.0764604420556484e+20;8.357235838834576e-11;2000.0;323255.0;3.975550276376844;-825637.05;7.9882648303620964;-9.312887e-06
14:27:44;-75;-75.09058;9.34107542059918e-11;1.1460570649860432e+20;8.352007266514163e-11;2000.0;293164.2;4.356374639536869;-851909.1;9.120005482454491;-1.153559e-05
14:28:04;-100;-100.0669;9.126661168010928e-11;1.2005386469855592e+20;8.315840328466909e-11;2000.0;272262.35;11.380086774713098;-871923.15;25.598366647112467;-1.349792e-05
14:28:25;-125;-125.0227;8.951649214458562e-11;1.2479405290686454e+20;8.266504469617205e-11;2000.0;255927.7;4.874987179470321;-888969.95;6.659007058113092;-1.529665e-05
14:28:46;-150;-150.0038;8.802587846815912e-11;1.2905631615862209e+20;8.212260628176288e-11;2000.0;242378.9;8.093485034272938;-904023.6;13.023901105275637;-1.697087e-05
14:29:06;-175;-175.0365;8.67235813748137e-11;1.3296140365248071e+20;8.157492772260606e-11;2000.0;230526.8;6.327163661546933;-917599.0;5.684628395946387;-1.858585e-05
14:29:26;-200;-200.0666;8.554348367927535e-11;1.3665519145718271e+20;8.101474208562782e-11;2000.0;219942.9;7.827803012340053;-930257.55;12.45059737522662;-2.010937e-05
14:29:46;-225;-225.0777;8.45167037798771e-11;1.3999576505892543e+20;8.049258728640988e-11;2000.0;210525.6;8.749685708641199;-941559.1;12.041158582129876;-2.164617e-05
14:30:06;-250;-250.0571;8.354803334714752e-11;1.432608544792255e+20;7.996234872586922e-11;2000.0;201695.95;6.862388432608577;-952475.7;8.072824784423357;-2.317193e-05
14:30:26;-275;-275.0299;8.266540896493989e-11;1.463363986189201e+20;7.945258170535395e-11;2000.0;193578.0;8.79744281027163;-962645.35;10.606902233922964;-2.46814e-05
14:30:48;-300;-300.0092;8.183990292638647e-11;1.493034313135025e+20;7.8953625771594e-11;2000.0;185912.25;9.127670842005642;-972355.4;8.503352280130466;-2.624914e-05
14:31:08;-325;-325.0403;8.105737659920771e-11;1.522000911017406e+20;7.845853738789092e-11;2000.0;178676.4;7.537705221086854;-981742.5;7.702434680021636;-2.779183e-05
14:31:28;-350;-350.0509;8.031370324793634e-11;1.55031766930456e+20;7.797019478238172e-11;2000.0;171778.75;12.724165002073809;-990833.05;17.121839124346423;-2.935529e-05
14:31:49;-375;-375.0826;7.957461879586385e-11;1.5792499303055285e+20;7.746701359214671e-11;2000.0;164949.8;7.0255248914227035;-1000035.85;8.03625379141301;-3.100338e-05
14:32:10;-400;-400.0599;7.883797137445529e-11;1.6089002481400414e+20;7.694904073999459e-11;2000.0;158147.05;6.419297079899012;-1009380.0;9.40744386111339;-3.266218e-05
14:32:32;-425;-425.0329;7.809334654159787e-11;1.6397284495778192e+20;7.641541901630729e-11;2000.0;150998.35;7.112409929130915;-1019004.5;5.677807675502931;-3.439491e-05
14:32:52;-450;-449.9869;7.733025435440857e-11;1.6722496844697403e+20;7.585961613705644e-11;2000.0;143280.9;6.7586611100128415;-1029060.0;7.810249675906653;-3.614153e-05
14:33:13;-475;-475.0207;7.655338324752087e-11;1.7063622009365905e+20;7.529583685417074e-11;2000.0;134339.05;7.877332987756705;-1039503.0;10.933892262136114;-3.791406e-05
14:33:34;-500;-500.0502;7.581059471571331e-11;1.739963719703071e+20;7.476102190573007e-11;2000.0;124373.8;8.551783439727647;-1049688.0;8.820430828479978;-3.972967e-05
