time (12.11.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
08:01:46;-25;-25.04009;1.0007054272633951e-10;9.985906369531583e+19;8.223742667365171e-11;2000.0;370307.7;9.80079078442143;-795213.75;22.277665384864726;-6.199579e-06
08:02:07;-50;-50.07343;9.559541546188772e-11;1.0942734696289205e+20;8.331103117122771e-11;2000.0;319652.8;9.195814265196963;-832440.25;23.85234527253033;-9.101519e-06
08:02:28;-75;-75.09383;9.282288403605941e-11;1.1606195562566472e+20;8.327477270361473e-11;2000.0;290293.35;17.169780866394305;-857304.45;50.71747603144304;-1.124797e-05
08:02:50;-100;-100.07;9.064697666944894e-11;1.2170077742916354e+20;8.28471732155723e-11;2000.0;269364.15;6.2258633939398305;-877883.35;13.643180530946585;-1.310203e-05
08:03:10;-125;-125.0232;8.890940242441421e-11;1.2650410471758533e+20;8.232717412887885e-11;2000.0;253079.7;6.764281188714732;-895040.0;13.008458786497345;-1.476835e-05
08:03:32;-150;-150.003;8.750036730424517e-11;1.3061114834641756e+20;8.181364337490606e-11;2000.0;239772.0;11.42037652619212;-909453.0;21.947551116240735;-1.644305e-05
08:03:52;-175;-175.0384;8.624251285802352e-11;1.3444888216702368e+20;8.12783876521991e-11;2000.0;228035.55;7.6378907428687395;-922717.45;7.694632869734593;-1.79715e-05
08:04:12;-200;-200.0692;8.510303729637482e-11;1.3807335560195257e+20;8.073423894085625e-11;2000.0;217519.0;7.681471213250752;-935072.05;15.34624954182617;-1.943675e-05
08:04:32;-225;-225.0816;8.410244818078573e-11;1.4137828979341997e+20;8.022326575176909e-11;2000.0;208066.15;6.109531487765653;-946196.85;10.373349266268825;-2.092138e-05
08:04:52;-250;-250.058;8.317820183766919e-11;1.4453763525770097e+20;7.971684799046297e-11;2000.0;199355.65;8.56395790508104;-956710.65;11.943675104422422;-2.241575e-05
08:05:12;-275;-275.0307;8.228931169850636e-11;1.4767709497443847e+20;7.919850263519208e-11;2000.0;191040.0;8.837703321564941;-967045.05;14.177706972567881;-2.380603e-05
08:05:34;-300;-300.0075;8.147045383489216e-11;1.5066061255453003e+20;7.870190814136107e-11;2000.0;183199.05;6.974408577076625;-976764.8;9.732831037267625;-2.528812e-05
