time (13.03.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
10:40:52;-25;-24.99028;9.685764499999998e-07;4.569601208803654e-10;-9.725654e-07
10:41:12;-50;-50.06797;1.3365643500000001e-06;3.3339493303737874e-10;-1.344214e-06
10:41:32;-75;-75.09707;1.6232351e-06;1.7293489960097593e-10;-1.623921e-06
10:41:52;-100;-100.072;1.8690321e-06;3.3972547667197276e-10;-1.870115e-06
10:42:12;-125;-125.0239;2.0953708500000002e-06;3.3386311023382894e-10;-2.101167e-06
10:42:32;-150;-150.0042;2.2888445e-06;2.5781208757543846e-10;-2.288878e-06
10:42:52;-175;-175.0395;2.4811216e-06;9.696970052547399e-10;-2.47984e-06
10:43:12;-200;-200.0698;2.6603432e-06;5.250611516766287e-10;-2.662661e-06
10:43:31;-225;-225.0828;2.82871265e-06;2.973848960102075e-10;-2.832162e-06
10:43:51;-250;-250.0602;3.0049835500000003e-06;7.213494107400412e-10;-2.998846e-06
10:44:11;-275;-275.0322;3.15626785e-06;3.4780020324174263e-10;-3.154734e-06
10:44:31;-300;-300.0098;3.32398705e-06;7.787472904447349e-10;-3.323763e-06
10:44:51;-325;-325.0424;3.4584573499999997e-06;5.999405065295947e-10;-3.46035e-06
10:45:10;-350;-350.0551;3.5981134e-06;2.958388023907617e-10;-3.599811e-06
10:45:30;-375;-375.0877;3.7475757500000007e-06;2.5697770209689765e-10;-3.747556e-06
10:45:50;-400;-400.0632;3.90206365e-06;4.112994120771566e-10;-3.898406e-06
10:46:10;-425;-425.0354;4.0554695e-06;6.707078220059743e-10;-4.063597e-06
10:46:30;-450;-449.9911;4.20822795e-06;1.0175933359525107e-09;-4.203747e-06
10:46:50;-475;-475.0235;4.326184700000001e-06;1.7473651736256113e-10;-4.328328e-06
10:47:09;-500;-500.054;4.464557099999999e-06;9.095034219287136e-10;-4.465807e-06
10:47:29;-525;-525.0869;4.5935329e-06;3.79582091911618e-10;-4.593836e-06
10:47:49;-550;-550.0697;4.7072834e-06;7.120835112541291e-10;-4.709887e-06
10:48:09;-575;-575.0248;4.83462725e-06;1.880304743751689e-09;-4.829201e-06
10:48:29;-600;-599.9993;4.946931050000001e-06;1.3087861064264727e-09;-4.94541e-06
10:48:49;-625;-625.0272;5.04204375e-06;5.418778777316656e-10;-5.043944e-06
10:49:09;-650;-650.0565;5.145443e-06;5.890603152479383e-10;-5.155049e-06
10:49:28;-675;-675.0698;5.2794993e-06;3.4120335674638364e-09;-5.263513e-06
10:49:48;-700;-700.0493;5.353035600000001e-06;5.495733090316444e-10;-5.358442e-06
10:50:08;-725;-725.0184;5.453995500000002e-06;2.48810345494313e-09;-5.440296e-06
10:50:28;-750;-749.9876;5.56635445e-06;2.2367707990258705e-09;-5.557795e-06
10:50:48;-775;-775.0104;5.6604073e-06;5.378636170071369e-10;-5.665849e-06
10:51:08;-800;-800.0163;5.802863349999999e-06;2.2902711381788447e-09;-5.791852e-06
10:51:27;-825;-825.0426;5.88965575e-06;2.482522396550529e-09;-5.885718e-06
10:51:47;-850;-850.0213;6.0158957499999995e-06;5.555829005423007e-10;-6.017749e-06
10:52:07;-875;-874.9848;6.1347321e-06;7.64152592418532e-10;-6.136425e-06
10:52:27;-900;-899.9497;6.27690525e-06;1.1056307608668587e-09;-6.278362e-06
