time (13.03.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:40:30;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.71;14.50;3.80
10:40:32;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.73;14.50;3.90
10:40:34;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.74;14.50;3.90
10:40:36;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.74;14.40;3.90
10:40:38;-18.10;-30.00;-30.04;18.00;-17.70;-18.00;-18.74;14.40;3.80
10:40:40;-18.10;-30.00;-30.04;18.00;-17.70;-18.00;-18.72;14.40;3.80
10:40:42;-18.10;-30.00;-30.04;18.00;-17.70;-18.00;-18.72;14.40;3.80
10:40:44;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.72;14.40;3.80
10:40:46;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.71;14.40;3.80
10:40:48;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.72;14.40;3.80
10:40:50;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.71;14.30;3.90
10:40:52;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.71;14.30;3.90
10:40:54;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.71;14.30;3.80
10:40:56;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.70;14.30;3.80
10:40:58;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.70;14.30;3.80
10:41:00;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.70;14.30;3.90
10:41:02;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.69;14.30;3.90
10:41:04;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.70;14.30;3.90
10:41:06;-18.10;-30.00;-30.04;18.00;-17.70;-18.00;-18.69;14.20;3.90
10:41:08;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.71;14.20;3.80
10:41:10;-18.10;-30.00;-30.04;18.00;-17.70;-18.00;-18.71;14.20;3.80
10:41:12;-18.10;-30.00;-30.04;18.00;-17.70;-18.00;-18.70;14.10;3.90
10:41:14;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.70;14.20;3.80
10:41:16;-18.10;-30.00;-30.07;18.00;-17.70;-18.00;-18.69;14.10;3.80
10:41:18;-18.10;-30.00;-30.08;18.00;-17.70;-18.00;-18.69;14.10;3.80
10:41:20;-18.10;-30.00;-30.07;18.00;-17.70;-18.00;-18.69;14.10;3.80
10:41:22;-18.10;-30.00;-30.07;18.00;-17.70;-18.00;-18.68;14.10;3.80
10:41:24;-18.10;-30.00;-30.06;18.00;-17.70;-18.00;-18.69;14.10;3.80
10:41:26;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.68;14.10;3.80
10:41:28;-18.10;-30.00;-30.05;18.00;-17.70;-18.00;-18.69;14.10;3.80
10:41:30;-18.10;-30.00;-30.06;18.00;-17.60;-18.00;-18.68;14.00;3.80
10:41:32;-18.10;-30.00;-30.06;18.00;-17.60;-18.00;-18.68;14.00;3.80
10:41:34;-18.10;-30.00;-30.07;18.00;-17.60;-18.00;-18.68;14.00;3.80
10:41:36;-18.10;-30.00;-30.06;18.00;-17.60;-18.00;-18.69;14.00;3.90
10:41:38;-18.10;-30.00;-30.06;18.00;-17.60;-18.00;-18.68;14.00;3.80
10:41:40;-18.10;-30.00;-30.07;18.00;-17.60;-18.00;-18.69;13.90;3.80
10:41:42;-18.10;-30.00;-30.07;18.00;-17.60;-18.00;-18.68;13.90;3.80
10:41:44;-18.10;-30.00;-30.06;18.00;-17.60;-18.00;-18.69;13.90;3.80
10:41:46;-18.10;-30.00;-30.06;18.00;-17.60;-18.00;-18.68;13.90;3.80
10:41:48;-18.10;-30.00;-30.06;18.00;-17.60;-18.00;-18.69;13.80;3.80
10:41:50;-18.10;-30.00;-30.05;18.00;-17.60;-18.00;-18.70;13.80;3.80
10:41:52;-18.10;-30.00;-30.04;18.00;-17.60;-18.00;-18.71;13.80;3.80
10:41:54;-18.10;-30.00;-30.04;18.00;-17.60;-18.00;-18.71;13.80;3.80
10:41:56;-18.10;-30.00;-30.04;18.00;-17.60;-18.00;-18.71;13.80;3.70
10:41:58;-18.10;-30.00;-30.05;18.00;-17.60;-18.00;-18.72;13.70;3.80
10:42:00;-18.10;-30.00;-30.05;18.00;-17.60;-18.00;-18.72;13.70;3.80
10:42:02;-18.10;-30.00;-30.05;18.00;-17.60;-18.00;-18.72;13.70;3.80
10:42:04;-18.10;-30.00;-30.06;18.00;-17.60;-18.00;-18.72;13.70;3.80
10:42:06;-18.10;-30.00;-30.05;18.00;-17.60;-18.00;-18.74;13.70;3.80
10:42:08;-18.10;-30.00;-30.05;18.00;-17.60;-18.00;-18.74;13.70;3.80
10:42:10;-18.10;-30.00;-30.05;18.00;-17.60;-18.00;-18.75;13.70;3.80
10:42:12;-18.10;-30.00;-30.04;18.00;-17.60;-18.00;-18.75;13.70;3.70
10:42:14;-18.10;-30.00;-30.05;18.00;-17.60;-18.00;-18.75;13.60;3.80
