time (10.03.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
13:34:04;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-13.22;7.10;3.90
13:34:06;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-13.26;7.10;4.00
13:34:08;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-13.23;7.10;4.00
13:34:10;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-13.26;7.10;4.00
13:34:12;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-13.27;7.10;3.90
13:34:14;-18.10;-30.00;-30.02;17.00;-17.70;-18.20;-13.25;7.10;4.00
13:34:16;-18.10;-30.00;-30.03;17.00;-17.70;-18.10;-13.26;7.10;4.00
13:34:18;-18.10;-30.00;-30.02;17.00;-17.70;-18.20;-13.25;7.10;3.90
13:34:20;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-13.31;7.10;3.90
13:34:22;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-13.27;7.10;3.90
13:34:25;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-13.28;7.10;3.90
13:34:27;-18.10;-30.00;-30.01;16.90;-17.70;-18.20;-13.30;7.10;3.90
13:34:29;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.33;7.10;4.00
13:34:31;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-13.42;7.10;3.90
13:34:33;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-13.34;7.10;3.90
13:34:35;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.35;7.10;3.90
13:34:37;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.37;7.10;3.90
13:34:39;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-13.34;7.10;3.90
13:34:41;-18.10;-30.00;-29.98;17.00;-17.70;-18.10;-13.31;7.10;4.00
13:34:43;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-13.32;7.10;3.90
13:34:45;-18.10;-30.00;-29.99;16.90;-17.70;-18.10;-13.31;7.00;4.00
13:34:47;-18.10;-30.00;-29.98;17.00;-17.70;-18.20;-13.36;7.10;3.90
13:34:49;-18.10;-30.00;-29.98;17.00;-17.70;-18.20;-13.31;7.10;3.90
13:34:51;-18.10;-30.00;-29.98;17.00;-17.70;-18.10;-13.34;7.10;3.90
13:34:53;-18.10;-30.00;-29.97;17.00;-17.70;-18.20;-13.38;7.10;3.90
13:34:55;-18.10;-30.00;-29.98;16.90;-17.70;-18.20;-13.40;7.10;3.90
13:34:57;-18.10;-30.00;-29.99;17.00;-17.70;-18.20;-13.34;7.00;4.00
13:34:59;-18.10;-30.00;-29.99;17.00;-17.70;-18.20;-13.33;7.00;3.90
13:35:01;-18.10;-30.00;-30.01;16.90;-17.70;-18.20;-13.28;7.00;3.90
13:35:03;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.29;7.00;3.90
13:35:05;-18.10;-30.00;-29.99;17.00;-17.70;-18.20;-13.27;7.00;4.00
13:35:07;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.28;7.00;3.90
13:35:09;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-13.23;7.00;4.00
13:35:11;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-13.22;7.10;4.00
13:35:13;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-13.20;7.00;3.90
13:35:15;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.22;7.00;3.90
13:35:17;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.27;7.00;3.90
13:35:19;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.22;7.00;3.90
13:35:21;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.21;7.00;3.90
13:35:23;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-13.20;7.00;3.90
13:35:25;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.24;7.00;4.00
13:35:27;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.17;7.00;3.90
13:35:29;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-13.21;7.00;4.00
13:35:31;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-13.21;7.00;3.90
13:35:33;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-13.30;7.00;4.00
13:35:35;-18.10;-30.00;-29.99;16.90;-17.70;-18.10;-13.31;7.00;3.90
13:35:37;-18.10;-30.00;-29.99;16.90;-17.70;-18.10;-13.29;7.00;3.90
13:35:39;-18.10;-30.00;-29.99;16.90;-17.70;-18.10;-13.32;7.00;3.90
13:35:41;-18.10;-30.00;-29.99;16.90;-17.70;-18.10;-13.32;7.00;3.90
13:35:43;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.31;7.00;3.90
13:35:45;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.28;7.00;3.90
13:35:47;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.30;7.00;3.90
13:35:49;-18.10;-30.00;-30.01;16.90;-17.70;-18.20;-13.39;7.00;3.90
13:35:51;-18.10;-30.00;-30.03;16.90;-17.70;-18.20;-13.39;7.00;3.90
13:35:53;-18.10;-30.00;-30.03;16.90;-17.70;-18.10;-13.35;7.00;3.90
13:35:55;-18.10;-30.00;-30.03;16.90;-17.70;-18.10;-13.44;7.00;4.00
13:35:57;-18.10;-30.00;-30.02;16.90;-17.70;-18.20;-13.44;7.00;3.90
13:35:59;-18.10;-30.00;-30.01;16.90;-17.70;-18.10;-13.39;7.00;3.90
13:36:01;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.42;7.00;3.90
13:36:03;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.38;7.00;3.90
13:36:05;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.42;7.00;3.90
13:36:07;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.48;7.00;3.90
13:36:09;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.49;7.00;3.90
13:36:11;-18.10;-30.00;-30.01;16.90;-17.70;-18.10;-13.42;7.00;3.90
13:36:13;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.46;7.00;3.90
13:36:15;-18.10;-30.00;-29.99;16.90;-17.70;-18.20;-13.39;7.00;3.90
13:36:17;-18.10;-30.00;-29.98;16.90;-17.70;-18.20;-13.39;7.00;3.90
13:36:19;-18.10;-30.00;-29.99;16.90;-17.70;-18.20;-13.40;7.00;3.90
13:36:21;-18.10;-30.00;-29.99;16.90;-17.70;-18.20;-13.42;6.90;3.90
13:36:23;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.46;7.00;3.90
13:36:25;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.37;7.00;3.90
13:36:27;-18.10;-30.00;-30.00;16.90;-17.70;-18.20;-13.45;7.00;3.90
13:36:29;-18.10;-30.00;-29.99;16.90;-17.70;-18.10;-13.47;7.00;4.00
13:36:31;-18.10;-30.00;-30.00;16.90;-17.70;-18.10;-13.48;6.90;3.90
13:36:33;-18.10;-30.00;-29.99;16.90;-17.70;-18.10;-13.53;7.00;3.90
13:36:35;-18.10;-30.00;-29.99;16.90;-17.70;-18.10;-13.54;6.90;3.90
13:36:37;-18.10;-30.00;-29.98;16.90;-17.70;-18.10;-13.56;7.00;3.90
13:36:39;-18.10;-30.00;-29.98;16.90;-17.70;-18.10;-13.48;6.90;3.90
