time (10.03.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
13:20:35;-25;-25.0384;1.2791743499999999e-06;5.456596891607482e-10;-1.2806e-06
13:20:54;-50;-50.07233;1.78936055e-06;4.073321523953128e-10;-1.793331e-06
13:21:14;-75;-75.10014;2.1866022e-06;4.754596228913653e-10;-2.189619e-06
13:21:34;-100;-100.0734;2.5383006500000004e-06;6.953891438432194e-10;-2.539328e-06
13:21:54;-125;-125.0286;2.86570825e-06;4.246337944335099e-10;-2.869733e-06
13:22:15;-150;-150.0084;3.17481525e-06;1.1338292174639915e-09;-3.175084e-06
13:22:35;-175;-175.043;3.4685112999999994e-06;1.2687736718973862e-09;-3.481538e-06
13:22:55;-200;-200.0744;3.7361281499999995e-06;7.679242419503342e-10;-3.745448e-06
13:23:15;-225;-225.0879;4.00215385e-06;3.6551154752621297e-10;-4.008067e-06
13:23:35;-250;-250.0642;4.292697299999999e-06;1.242861466737137e-09;-4.303145e-06
13:23:55;-275;-275.0364;4.5466032499999995e-06;1.5546883495977671e-09;-4.56389e-06
13:24:15;-300;-300.0139;4.80127635e-06;1.2710571924091233e-09;-4.820186e-06
13:24:34;-325;-325.0476;5.032471350000001e-06;6.31734245054857e-10;-5.045809e-06
13:24:55;-350;-350.0585;5.2873225e-06;1.1685850343470928e-09;-5.290691e-06
13:25:14;-375;-375.0913;5.5276374499999995e-06;1.1072153821072798e-09;-5.536303e-06
13:25:34;-400;-400.0695;5.78472235e-06;1.5002296362140834e-09;-5.786455e-06
13:25:53;-425;-425.04;6.0297537500000004e-06;1.0103484296890053e-09;-6.0298e-06
13:26:13;-450;-449.9939;6.25391425e-06;1.1143714032471632e-09;-6.252907e-06
13:26:33;-475;-475.028;6.4932619000000004e-06;1.9869335329849413e-09;-6.505919e-06
13:26:53;-500;-500.0588;6.723530800000001e-06;1.1789939410361821e-09;-6.725865e-06
13:27:13;-525;-525.0932;6.989876599999999e-06;2.7070300823965782e-09;-6.993557e-06
13:27:33;-550;-550.075;7.242221900000001e-06;2.353656760128799e-09;-7.269442e-06
13:27:52;-575;-575.0294;7.5137126000000006e-06;1.6054439080827509e-09;-7.492929e-06
13:28:12;-600;-600.0046;7.738638049999999e-06;3.0992791205979965e-09;-7.739912e-06
13:28:31;-625;-625.0343;8.00226015e-06;1.974564256076496e-09;-8.004577e-06
13:28:52;-650;-650.0624;8.2560615e-06;5.367203930586208e-09;-8.23449e-06
13:29:11;-675;-675.0758;8.571653850000001e-06;2.879570765127116e-09;-8.577594e-06
13:29:31;-700;-700.0562;8.76673205e-06;1.2219750661838787e-09;-8.787861e-06
13:29:51;-725;-725.0245;9.105952650000001e-06;3.989073423913771e-09;-9.119283e-06
13:30:10;-750;-749.9952;9.37243805e-06;1.4687269172228704e-09;-9.359979e-06
13:30:30;-775;-775.0161;9.76001325e-06;4.344232898841326e-09;-9.723553e-06
13:30:50;-800;-800.0217;1.0015028e-05;2.093547897708609e-09;-1.000401e-05
13:31:10;-825;-825.005;1.0350728e-05;1.572837499553001e-09;-1.033627e-05
13:31:30;-850;-850.0183;1.0754512000000001e-05;5.437771721946439e-09;-1.072921e-05
13:31:50;-875;-874.9828;1.1144349499999998e-05;1.2350658838701616e-09;-1.114921e-05
13:32:10;-900;-899.9476;1.1602511999999999e-05;1.289965038285971e-09;-1.161526e-05
