time (12.03.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:13:18;-18.10;-30.00;-30.04;21.70;-17.50;-18.10;-18.79;9.40;3.00
08:13:20;-18.10;-30.00;-30.05;21.70;-17.50;-18.20;-18.80;9.40;2.90
08:13:22;-18.10;-30.00;-30.03;21.70;-17.50;-18.10;-18.78;9.40;3.00
08:13:24;-18.10;-30.00;-30.03;21.70;-17.50;-18.10;-18.77;9.40;2.90
08:13:26;-18.10;-30.00;-30.03;21.70;-17.50;-18.10;-18.78;9.40;2.90
08:13:28;-18.10;-30.00;-30.04;21.70;-17.50;-18.10;-18.79;9.40;2.90
08:13:30;-18.10;-30.00;-30.04;21.70;-17.50;-18.10;-18.80;9.30;2.90
08:13:32;-18.10;-30.00;-30.04;21.70;-17.50;-18.10;-18.80;9.30;2.90
08:13:34;-18.10;-30.00;-30.03;21.70;-17.50;-18.10;-18.79;9.30;3.00
08:13:36;-18.10;-30.00;-30.04;21.70;-17.50;-18.20;-18.79;9.30;2.90
08:13:38;-18.10;-30.00;-30.04;21.70;-17.50;-18.10;-18.78;9.30;3.00
08:13:40;-18.10;-30.00;-30.03;21.70;-17.50;-18.10;-18.79;9.30;3.00
08:13:42;-18.10;-30.00;-30.01;21.70;-17.50;-18.10;-18.79;9.30;3.00
08:13:44;-18.10;-30.00;-30.02;21.70;-17.50;-18.10;-18.78;9.30;3.00
08:13:46;-18.10;-30.00;-30.03;21.70;-17.50;-18.10;-18.78;9.20;2.90
08:13:48;-18.10;-30.00;-30.03;21.70;-17.50;-18.10;-18.79;9.20;3.00
08:13:50;-18.10;-30.00;-30.02;21.70;-17.50;-18.10;-18.79;9.20;2.90
08:13:52;-18.10;-30.00;-30.02;21.70;-17.50;-18.10;-18.79;9.20;2.90
08:13:54;-18.10;-30.00;-30.02;21.70;-17.50;-18.10;-18.78;9.20;3.00
08:13:56;-18.10;-30.00;-30.00;21.70;-17.50;-18.10;-18.78;9.20;3.00
08:13:58;-18.10;-30.00;-30.00;21.70;-17.50;-18.10;-18.75;9.20;2.90
08:14:00;-18.10;-30.00;-30.00;21.70;-17.50;-18.10;-18.75;9.20;2.90
08:14:02;-18.10;-30.00;-30.00;21.70;-17.50;-18.10;-18.76;9.20;3.00
08:14:04;-18.10;-30.00;-30.01;21.70;-17.50;-18.10;-18.77;9.20;3.00
08:14:06;-18.10;-30.00;-30.00;21.70;-17.50;-18.20;-18.77;9.10;3.00
08:14:08;-18.10;-30.00;-30.00;21.70;-17.50;-18.10;-18.77;9.10;2.90
08:14:10;-18.10;-30.00;-30.01;21.70;-17.50;-18.10;-18.77;9.10;3.00
08:14:12;-18.10;-30.00;-30.01;21.70;-17.50;-18.10;-18.75;9.10;3.00
08:14:14;-18.10;-30.00;-29.99;21.70;-17.50;-18.10;-18.75;9.10;3.00
08:14:16;-18.10;-30.00;-30.00;21.70;-17.50;-18.20;-18.76;9.10;3.00
08:14:18;-18.10;-30.00;-30.01;21.60;-17.50;-18.10;-18.74;9.10;3.00
08:14:20;-18.10;-30.00;-30.02;21.60;-17.50;-18.10;-18.75;9.10;3.00
08:14:22;-18.10;-30.00;-30.03;21.60;-17.50;-18.10;-18.75;9.10;3.00
08:14:24;-18.10;-30.00;-30.02;21.60;-17.50;-18.10;-18.77;9.10;2.90
08:14:26;-18.10;-30.00;-30.01;21.70;-17.50;-18.10;-18.77;9.10;3.00
08:14:28;-18.10;-30.00;-30.00;21.60;-17.50;-18.10;-18.76;9.00;3.00
08:14:30;-18.10;-30.00;-30.01;21.60;-17.50;-18.10;-18.74;9.00;3.00
08:14:32;-18.10;-30.00;-30.01;21.60;-17.50;-18.10;-18.74;9.10;3.00
08:14:34;-18.10;-30.00;-30.02;21.60;-17.50;-18.10;-18.74;9.00;3.00
08:14:36;-18.10;-30.00;-30.00;21.60;-17.50;-18.10;-18.74;9.00;3.00
08:14:38;-18.10;-30.00;-30.00;21.60;-17.50;-18.10;-18.74;9.00;3.00
08:14:40;-18.10;-30.00;-30.01;21.60;-17.50;-18.10;-18.72;9.00;3.00
08:14:42;-18.10;-30.00;-30.01;21.60;-17.50;-18.10;-18.72;9.00;3.00
08:14:44;-18.10;-30.00;-30.02;21.60;-17.50;-18.10;-18.73;9.00;2.90
08:14:46;-18.10;-30.00;-30.02;21.60;-17.50;-18.10;-18.74;9.00;3.00
08:14:48;-18.10;-30.00;-30.02;21.60;-17.50;-18.10;-18.73;9.00;3.00
08:14:50;-18.10;-30.00;-30.03;21.60;-17.50;-18.10;-18.73;9.00;2.90
08:14:52;-18.10;-30.00;-30.02;21.50;-17.50;-18.10;-18.72;9.00;2.90
08:14:54;-18.10;-30.00;-30.00;21.50;-17.50;-18.20;-18.73;9.00;3.00
08:14:56;-18.10;-30.00;-30.02;21.60;-17.50;-18.10;-18.73;9.00;3.00
08:14:58;-18.10;-30.00;-30.03;21.50;-17.50;-18.10;-18.73;8.90;3.00
08:15:00;-18.10;-30.00;-30.04;21.50;-17.50;-18.10;-18.72;8.90;3.00
08:15:02;-18.10;-30.00;-30.03;21.50;-17.50;-18.10;-18.72;8.90;3.00
08:15:04;-18.10;-30.00;-30.03;21.50;-17.50;-18.20;-18.71;8.90;3.00
08:15:06;-18.10;-30.00;-30.03;21.50;-17.50;-18.10;-18.71;8.90;2.90
08:15:08;-18.10;-30.00;-30.02;21.50;-17.50;-18.20;-18.71;8.90;3.10
08:15:10;-18.10;-30.00;-29.99;21.50;-17.50;-18.20;-18.70;8.90;3.00
08:15:12;-18.10;-30.00;-29.99;21.50;-17.50;-18.20;-18.70;8.80;3.00
08:15:14;-18.10;-30.00;-30.00;21.50;-17.50;-18.10;-18.69;8.80;3.00
08:15:16;-18.10;-30.00;-30.00;21.50;-17.50;-18.20;-18.69;8.90;3.00
08:15:18;-18.10;-30.00;-30.00;21.50;-17.50;-18.10;-18.68;8.90;3.00
08:15:20;-18.10;-30.00;-29.98;21.50;-17.50;-18.10;-18.68;8.80;3.00
08:15:22;-18.10;-30.00;-29.99;21.50;-17.50;-18.10;-18.67;8.80;3.00
08:15:24;-18.10;-30.00;-30.00;21.50;-17.50;-18.20;-18.68;8.80;3.00
08:15:26;-18.10;-30.00;-30.01;21.50;-17.50;-18.20;-18.68;8.80;3.00
08:15:28;-18.10;-30.00;-29.97;21.50;-17.50;-18.20;-18.67;8.80;3.00
08:15:30;-18.10;-30.00;-29.98;21.50;-17.50;-18.20;-18.67;8.80;3.00
08:15:32;-18.10;-30.00;-30.00;21.50;-17.50;-18.20;-18.64;8.80;3.00
08:15:34;-18.10;-30.00;-29.99;21.50;-17.50;-18.20;-18.64;8.80;3.00
08:15:36;-18.10;-30.00;-30.00;21.50;-17.50;-18.10;-18.62;8.80;3.00
08:15:38;-18.10;-30.00;-30.01;21.50;-17.50;-18.10;-18.63;8.80;3.00
08:15:40;-18.10;-30.00;-30.03;21.50;-17.50;-18.10;-18.62;8.80;3.00
08:15:42;-18.10;-30.00;-30.04;21.50;-17.50;-18.10;-18.60;8.80;3.00
08:15:44;-18.10;-30.00;-30.03;21.50;-17.50;-18.10;-18.59;8.70;3.00
08:15:46;-18.10;-30.00;-30.05;21.50;-17.50;-18.10;-18.60;8.70;3.00
08:15:48;-18.10;-30.00;-30.05;21.50;-17.50;-18.10;-18.58;8.70;3.00
08:15:50;-18.10;-30.00;-30.04;21.50;-17.50;-18.10;-18.56;8.70;3.10
08:15:52;-18.10;-30.00;-30.04;21.50;-17.50;-18.10;-18.56;8.70;3.00
08:15:54;-18.10;-30.00;-30.05;21.50;-17.50;-18.10;-18.57;8.70;3.00
08:15:56;-18.10;-30.00;-30.03;21.50;-17.50;-18.10;-18.54;8.70;3.00
08:15:58;-18.10;-30.00;-30.00;21.50;-17.50;-18.10;-18.53;8.70;3.00
08:16:00;-18.10;-30.00;-30.01;21.50;-17.50;-18.10;-18.52;8.60;3.00
08:16:02;-18.10;-30.00;-30.01;21.50;-17.50;-18.10;-18.52;8.70;3.00
08:16:04;-18.10;-30.00;-30.01;21.50;-17.50;-18.10;-18.51;8.60;3.00
08:16:06;-18.10;-30.00;-30.01;21.50;-17.50;-18.10;-18.49;8.60;3.00
08:16:08;-18.10;-30.00;-30.01;21.50;-17.50;-18.10;-18.49;8.60;3.00
08:16:10;-18.10;-30.00;-30.02;21.50;-17.50;-18.10;-18.48;8.60;3.00
08:16:12;-18.10;-30.00;-30.03;21.50;-17.50;-18.10;-18.48;8.60;3.00
08:16:15;-18.10;-30.00;-30.02;21.50;-17.50;-18.10;-18.47;8.60;3.00
08:16:16;-18.10;-30.00;-30.01;21.50;-17.50;-18.10;-18.44;8.60;3.00
08:16:18;-18.10;-30.00;-30.01;21.50;-17.50;-18.10;-18.44;8.60;3.00
08:16:20;-18.10;-30.00;-30.00;21.50;-17.50;-18.10;-18.43;8.60;3.00
08:16:22;-18.10;-30.00;-29.99;21.50;-17.50;-18.10;-18.43;8.50;3.00
08:16:24;-18.10;-30.00;-29.98;21.50;-17.50;-18.10;-18.42;8.50;3.00
08:16:26;-18.10;-30.00;-29.99;21.50;-17.50;-18.10;-18.40;8.50;3.00
08:16:28;-18.10;-30.00;-30.01;21.40;-17.50;-18.10;-18.40;8.50;3.00
08:16:30;-18.10;-30.00;-30.01;21.40;-17.50;-18.10;-18.39;8.50;3.00
08:16:33;-18.10;-30.00;-30.01;21.40;-17.50;-18.10;-18.38;8.50;3.00
08:16:35;-18.10;-30.00;-30.00;21.40;-17.50;-18.10;-18.39;8.50;3.00
08:16:37;-18.10;-30.00;-30.01;21.40;-17.50;-18.10;-18.39;8.50;3.00
08:16:38;-18.10;-30.00;-30.01;21.40;-17.50;-18.10;-18.39;8.50;3.00
08:16:40;-18.10;-30.00;-30.00;21.40;-17.50;-18.10;-18.38;8.50;3.00
08:16:43;-18.10;-30.00;-30.02;21.40;-17.50;-18.10;-18.35;8.50;3.00
08:16:44;-18.10;-30.00;-30.02;21.40;-17.50;-18.10;-18.35;8.50;3.00
08:16:47;-18.10;-30.00;-30.01;21.40;-17.50;-18.10;-18.35;8.40;3.00
08:16:48;-18.10;-30.00;-29.99;21.40;-17.50;-18.10;-18.35;8.50;3.00
08:16:51;-18.10;-30.00;-29.99;21.40;-17.50;-18.10;-18.34;8.40;3.00
08:16:53;-18.10;-30.00;-30.00;21.40;-17.50;-18.10;-18.34;8.50;3.00
08:16:55;-18.10;-30.00;-30.02;21.40;-17.50;-18.10;-18.32;8.40;3.00
08:16:57;-18.10;-30.00;-30.02;21.40;-17.50;-18.10;-18.32;8.40;3.10
08:16:59;-18.10;-30.00;-30.02;21.40;-17.50;-18.10;-18.32;8.40;3.00
08:17:01;-18.10;-30.00;-30.00;21.40;-17.50;-18.10;-18.31;8.40;3.00
08:17:03;-18.10;-30.00;-30.00;21.40;-17.50;-18.10;-18.30;8.40;3.00
08:17:05;-18.10;-30.00;-30.00;21.40;-17.50;-18.10;-18.30;8.40;3.00
08:17:07;-18.10;-30.00;-30.00;21.40;-17.50;-18.10;-18.29;8.40;3.00
