time (20.03.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:35:31;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.60;8.70;3.80
10:35:33;-18.10;-30.00;-30.00;17.60;-17.30;-18.10;-11.41;8.70;3.80
10:35:35;-18.10;-30.00;-30.00;17.60;-17.30;-18.10;-11.35;8.70;3.80
10:35:37;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.55;8.70;3.70
10:35:39;-18.10;-30.00;-30.00;17.60;-17.30;-18.10;-11.50;8.70;3.80
10:35:41;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.76;8.70;3.70
10:35:43;-18.10;-30.00;-29.99;17.60;-17.30;-18.20;-11.87;8.70;3.70
10:35:45;-18.10;-30.00;-30.00;17.60;-17.30;-18.20;-11.85;8.70;3.80
10:35:47;-18.10;-30.00;-30.00;17.60;-17.30;-18.20;-11.80;8.70;3.80
10:35:49;-18.10;-30.00;-29.99;17.50;-17.30;-18.20;-11.90;8.70;3.80
10:35:51;-18.10;-30.00;-29.97;17.50;-17.30;-18.10;-11.74;8.70;3.70
10:35:53;-18.10;-30.00;-29.97;17.50;-17.30;-18.10;-11.48;8.70;3.70
10:35:55;-18.10;-30.00;-29.96;17.50;-17.30;-18.20;-11.51;8.70;3.80
10:35:57;-18.10;-30.00;-29.98;17.50;-17.30;-18.20;-11.52;8.70;3.70
10:35:59;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.44;8.70;3.70
10:36:01;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.65;8.70;3.80
10:36:03;-18.10;-30.00;-30.02;17.50;-17.30;-18.10;-11.52;8.70;3.80
10:36:05;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.40;8.70;3.80
10:36:07;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.45;8.70;3.70
10:36:09;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.43;8.70;3.70
10:36:11;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.32;8.70;3.70
10:36:13;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.47;8.70;3.70
10:36:15;-18.10;-30.00;-30.00;17.50;-17.20;-18.10;-11.65;8.70;3.80
10:36:17;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.62;8.70;3.80
10:36:19;-18.10;-30.00;-30.02;17.50;-17.30;-18.10;-11.66;8.70;3.80
10:36:21;-18.10;-30.00;-30.02;17.50;-17.30;-18.10;-11.77;8.70;3.80
10:36:23;-18.10;-30.00;-30.02;17.50;-17.30;-18.10;-11.56;8.70;3.70
10:36:25;-18.10;-30.00;-30.01;17.50;-17.30;-18.20;-11.51;8.70;3.80
10:36:27;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.61;8.70;3.70
10:36:29;-18.10;-30.00;-29.97;17.50;-17.30;-18.10;-11.60;8.70;3.80
10:36:31;-18.10;-30.00;-29.98;17.50;-17.30;-18.10;-11.57;8.70;3.70
10:36:33;-18.10;-30.00;-29.99;17.50;-17.30;-18.10;-11.46;8.70;3.80
10:36:35;-18.10;-30.00;-29.99;17.50;-17.20;-18.10;-11.43;8.70;3.70
10:36:37;-18.10;-30.00;-29.99;17.50;-17.30;-18.10;-11.33;8.70;3.80
10:36:39;-18.10;-30.00;-29.99;17.50;-17.30;-18.10;-11.36;8.70;3.80
10:36:41;-18.10;-30.00;-29.99;17.50;-17.30;-18.10;-11.16;8.70;3.80
10:36:43;-18.10;-30.00;-29.99;17.50;-17.30;-18.10;-11.15;8.70;3.90
10:36:45;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.25;8.70;3.70
10:36:47;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.35;8.70;3.80
10:36:49;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.31;8.70;3.80
10:36:51;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-11.39;8.70;3.80
10:36:53;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.32;8.70;3.80
10:36:55;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.43;8.70;3.80
10:36:57;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.47;8.70;3.80
10:36:59;-18.10;-30.00;-30.01;17.50;-17.30;-18.10;-11.49;8.70;3.80
10:37:01;-18.10;-30.00;-30.01;17.50;-17.30;-18.20;-11.33;8.70;3.80
10:37:03;-18.10;-30.00;-29.99;17.50;-17.30;-18.20;-11.06;8.70;3.80
10:37:05;-18.10;-30.00;-29.99;17.50;-17.30;-18.20;-11.04;8.70;3.80
10:37:07;-18.10;-30.00;-29.97;17.50;-17.30;-18.20;-11.07;8.70;3.70
10:37:09;-18.10;-30.00;-29.98;17.50;-17.30;-18.20;-11.10;8.70;3.80
10:37:11;-18.10;-30.00;-30.00;17.50;-17.30;-18.20;-10.88;8.70;3.80
10:37:13;-18.10;-30.00;-30.00;17.50;-17.30;-18.10;-10.79;8.70;3.70
