time (20.03.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:00:56;-25;-25.04052;2.1205782e-06;8.667639817159101e-11;-2.125008e-06
08:01:16;-50;-50.0767;3.00646295e-06;5.081191911107138e-10;-3.012984e-06
08:01:35;-75;-75.10594;3.7030312499999996e-06;5.000436074733927e-10;-3.702002e-06
08:01:55;-100;-100.0784;4.255296649999999e-06;3.2281262579864273e-10;-4.25954e-06
08:02:15;-125;-125.0315;4.6538159e-06;6.517646197055904e-10;-4.650625e-06
08:02:35;-150;-150.0085;4.9512690500000005e-06;3.779519114583373e-10;-4.954281e-06
08:02:55;-175;-175.0459;5.1989360500000004e-06;6.273965630882988e-10;-5.19673e-06
08:03:15;-200;-200.0789;5.417106849999999e-06;6.179902963437204e-10;-5.420783e-06
08:03:35;-225;-225.0933;5.6070783e-06;2.988417315235723e-10;-5.604897e-06
08:03:55;-250;-250.0667;5.7956328999999995e-06;6.446083729676676e-10;-5.795143e-06
08:04:14;-275;-275.038;5.9547312499999996e-06;8.375994205913615e-10;-5.960351e-06
08:04:34;-300;-300.0131;6.118510749999999e-06;5.569008882871222e-10;-6.117577e-06
08:04:54;-325;-325.0477;6.29169215e-06;8.319742402112134e-10;-6.288117e-06
08:05:13;-350;-350.0624;6.427698000000001e-06;8.885861381993145e-10;-6.425275e-06
08:05:33;-375;-375.0987;6.57956685e-06;7.439767613138149e-10;-6.577262e-06
08:05:53;-400;-400.0723;6.71034205e-06;8.674532393016923e-10;-6.720526e-06
08:06:13;-425;-425.0423;6.851733450000002e-06;5.522779665847582e-10;-6.855475e-06
08:06:33;-450;-449.9939;6.972066050000001e-06;6.984060046813646e-10;-6.975053e-06
08:06:53;-475;-475.0293;7.1166728499999995e-06;5.425727198956705e-10;-7.114903e-06
08:07:13;-500;-500.0624;7.2682065000000004e-06;6.233625650454183e-10;-7.259902e-06
08:07:32;-525;-525.0991;7.39542485e-06;7.011851441488119e-10;-7.388325e-06
08:07:52;-550;-550.0778;7.540509699999999e-06;7.72467138783263e-10;-7.545202e-06
08:08:12;-575;-575.0304;7.682056199999998e-06;9.935293166283817e-10;-7.674228e-06
08:08:32;-600;-600.0035;7.81950975e-06;8.495063739460784e-10;-7.821126e-06
08:08:51;-625;-625.0347;7.981978899999998e-06;8.29952567620563e-10;-7.989081e-06
08:09:11;-650;-650.0655;8.1299072e-06;3.63317709450013e-10;-8.134516e-06
08:09:32;-675;-675.0809;8.28890505e-06;1.339852992822368e-09;-8.283312e-06
08:09:52;-700;-700.0598;8.4679007e-06;8.160076503930429e-10;-8.472599e-06
08:10:12;-725;-725.0238;8.62267105e-06;9.944077973221235e-10;-8.623231e-06
08:10:32;-750;-749.9926;8.810814850000002e-06;1.226464219361928e-09;-8.816593e-06
08:10:52;-775;-775.0146;9.009156549999999e-06;6.983851175211052e-10;-9.005354e-06
08:11:12;-800;-800.0231;9.251264600000002e-06;4.508397575635951e-10;-9.252331e-06
08:11:32;-825;-825.0534;9.4696811e-06;1.7479764527875967e-09;-9.469439e-06
08:11:51;-850;-850.0309;9.70170165e-06;5.712716441194774e-10;-9.704865e-06
08:12:11;-875;-874.9911;9.947728349999999e-06;6.868622579345937e-10;-9.950907e-06
08:12:31;-900;-899.954;1.0203980999999999e-05;7.796546992098496e-10;-1.019634e-05
