time (12.03.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
14:05:13;-25;-25.03728;9.737443666792357e-11;1.0546541929384239e+20;8.545763523934248e-11;2000.0;305175.45;11.530714418456478;-817231.65;57.76020580815135;-2.295669e-06
14:05:32;-50;-50.06937;8.867327950175097e-11;1.2717872258076434e+20;8.26722899851993e-11;2000.0;241784.7;13.90307519939384;-897423.35;34.41128267007785;-3.244033e-06
14:05:52;-75;-75.09888;8.285480581831188e-11;1.4566814586734741e+20;7.951149511469776e-11;2000.0;196945.4;22.058377093521635;-960444.85;32.686639090001286;-3.932669e-06
14:06:11;-100;-100.0748;7.798150212348837e-11;1.6444353604584047e+20;7.651601156476594e-11;2000.0;141225.75;22.454495652318712;-1020466.0;22.742031571519725;-4.471641e-06
14:06:30;-125;-125.0303;7.538690212412298e-11;1.7595767125494124e+20;7.48773605330325e-11;2000.0;87078.07;10.76935258035501;-1055587.5;10.836858400846621;-4.850184e-06
14:06:49;-150;-150.0109;7.430282542338005e-11;1.811295645627197e+20;7.411702393206637e-11;2000.0;53622.915;10.560805544559422;-1070988.5;7.591936511852559;-5.159054e-06
14:07:09;-175;-175.0434;7.37741737187126e-11;1.837347454093999e+20;7.369952330037609e-11;2000.0;34329.66499999999;8.800588829731765;-1078663.0;8.72066511224918;-5.391479e-06
14:07:28;-200;-200.0753;7.34836217605858e-11;1.851905808481243e+20;7.34510066377456e-11;2000.0;22819.715000000004;10.568063386921901;-1082928.0;7.3348483283569;-5.554943e-06
14:07:47;-225;-225.0869;7.332440311085546e-11;1.859957100032274e+20;7.330849794353801e-11;2000.0;15985.77;7.624287179795854;-1085279.5;7.296403223506771;-5.759829e-06
14:08:05;-250;-250.0651;7.323681149844137e-11;1.8644087975504567e+20;7.322782398443299e-11;2000.0;12037.67;7.174448062394747;-1086577.5;6.437196594791867;-5.974312e-06
14:08:25;-275;-275.0372;7.318622803131498e-11;1.8669869015122316e+20;7.318028667682265e-11;2000.0;9797.301;7.857540547143183;-1087328.5;8.070780631388763;-6.106378e-06
14:08:45;-300;-300.0141;7.315706151340797e-11;1.8684758722452665e+20;7.315253152756054e-11;2000.0;8559.879;6.835715321017995;-1087762.0;6.841052550594828;-6.268345e-06
14:09:04;-325;-325.0453;7.313504224234096e-11;1.869601151426791e+20;7.313126034715703e-11;2000.0;7824.702499999999;7.57586618397524;-1088089.5;8.440231039491751;-6.429783e-06
14:09:23;-350;-350.0596;7.311931750618974e-11;1.8704053751812974e+20;7.311590247762315e-11;2000.0;7437.8815;5.753272732758274;-1088323.5;8.132496541653122;-6.653686e-06
14:09:42;-375;-375.0933;7.310631946579398e-11;1.8710705369910726e+20;7.310318558219706e-11;2000.0;7127.0285;7.303155902587592;-1088517.0;8.096295449154509;-7.068088e-06
14:10:02;-400;-400.0672;7.309500452237829e-11;1.8716498569051308e+20;7.309200485717821e-11;2000.0;6974.352500000001;7.815771327098818;-1088685.5;4.442690626185892;-7.632467e-06
14:10:21;-425;-424.9897;7.308772049253364e-11;1.8720229382565436e+20;7.308482884243317e-11;2000.0;6848.65;9.458424868866922;-1088794.0;7.628892449104259;-1.030721e-05
14:10:41;-450;-449.9853;7.307131157066318e-11;1.8728637970418172e+20;7.306885489295304e-11;2000.0;6314.6775;11.96864327889757;-1089038.5;9.06297412552855;-1.557956e-05
14:11:00;-475;-475.0255;7.307094253854541e-11;1.8728827142369306e+20;7.306810166986533e-11;2000.0;6790.583499999999;8.012700458490885;-1089044.0;5.805170109479997;-7.309182e-06
14:11:20;-500;-500.0493;7.306004099860559e-11;1.873441674475687e+20;7.305758829367981e-11;2000.0;6311.0295;17.234832701175247;-1089206.5;5.668994619859856;-2.749299e-05
14:11:41;-525;-525.0907;7.306114777582209e-11;1.8733849147088434e+20;7.30582808995233e-11;2000.0;6822.968999999999;8.470950150366852;-1089190.0;7.84219357067906;-7.553875e-06
14:12:01;-550;-550.0663;7.30495450515096e-11;1.8739800750185864e+20;7.3047028447187e-11;2000.0;6394.090999999999;11.249060780794116;-1089363.0;8.065358020571683;-3.672165e-05
14:12:20;-575;-575.0302;7.30519256568366e-11;1.873857939038772e+20;7.304892161798256e-11;2000.0;6985.609999999999;8.798446482192189;-1089327.5;9.509863300805117;-7.875722e-06
14:12:41;-600;-599.9963;7.30388845254595e-11;1.874527155425735e+20;7.303621155299677e-11;2000.0;6591.1945;15.949796479500913;-1089522.0;8.35463942968217;-4.925714e-05
14:13:00;-625;-625.0315;7.304297404491549e-11;1.8743172597917178e+20;7.303978722487437e-11;2000.0;7196.3240000000005;5.850105144354253;-1089461.0;7.412826721298697;-8.124726e-06
14:13:19;-650;-650.0558;7.30321478731833e-11;1.874872992715632e+20;7.302928770224996e-11;2000.0;6819.044500000001;11.510361147136113;-1089622.5;7.709571972554637;-6.291007e-05
14:13:39;-675;-675.074;7.303600202461319e-11;1.8746751217050567e+20;7.303253569318542e-11;2000.0;7506.370499999999;7.986689472960596;-1089565.0;5.8949130612757985;-8.529461e-06
14:13:58;-700;-700.0444;7.301569689719092e-11;1.8757179333663667e+20;7.301259421619495e-11;2000.0;7104.664500000001;16.114043913229853;-1089868.0;8.59069263796581;-0.0001143767
