time (16.12.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
13:19:17;-25;-25.03356;1.69747015e-06;1.1206329182653971e-10;-1.697713e-06
13:19:37;-50;-50.0657;2.27407255e-06;2.290455028482426e-10;-2.275938e-06
13:19:57;-75;-75.09138;2.7248926999999997e-06;7.115258603874095e-11;-2.724982e-06
13:20:17;-100;-100.0677;3.1149795000000004e-06;1.7229743904075347e-10;-3.11457e-06
13:20:36;-125;-125.0237;3.4592258500000002e-06;2.61531071528783e-10;-3.461247e-06
13:20:56;-150;-150.0053;3.7777430499999995e-06;1.403508901824343e-10;-3.78033e-06
13:21:16;-175;-175.0378;4.074456899999999e-06;2.2668249711877993e-10;-4.075662e-06
13:21:36;-200;-200.0665;4.3675622000000004e-06;2.560635624215132e-10;-4.370281e-06
13:21:55;-225;-225.0791;4.65043305e-06;2.0627671311855902e-10;-4.652889e-06
13:22:15;-250;-250.0581;4.919071899999999e-06;9.38940599825066e-11;-4.91961e-06
13:22:35;-275;-275.0315;5.1819838e-06;3.0175289228108373e-10;-5.183651e-06
13:22:55;-300;-300.0103;5.444483900000001e-06;2.1098027040457925e-10;-5.445012e-06
13:23:14;-325;-325.0414;5.69651205e-06;2.6223866491229483e-10;-5.694932e-06
13:23:34;-350;-350.0524;5.9582285999999995e-06;2.1048167853759234e-10;-5.96001e-06
13:23:54;-375;-375.0855;6.211081650000001e-06;3.356073544709584e-10;-6.214393e-06
13:24:13;-400;-400.0626;6.44810015e-06;3.784851402301148e-10;-6.446517e-06
13:24:33;-425;-425.0346;6.67376255e-06;7.406155563954849e-10;-6.682049e-06
13:24:53;-450;-449.9919;6.91240475e-06;4.885993290775082e-10;-6.908492e-06
13:25:12;-475;-475.0223;7.1504792e-06;4.5447973332153543e-10;-7.154041e-06
13:25:32;-500;-500.0524;7.383610650000003e-06;1.826818583631139e-10;-7.383594e-06
13:25:52;-525;-525.0854;7.616108199999999e-06;2.6765777216437125e-10;-7.618288e-06
13:26:12;-550;-550.0676;7.80620075e-06;2.3914846722276395e-10;-7.809231e-06
13:26:32;-575;-575.025;7.99717835e-06;2.412087817119851e-10;-8.002996e-06
13:26:51;-600;-600.0021;8.18754845e-06;2.4303002360816206e-10;-8.190091e-06
13:27:11;-625;-625.0276;8.37771695e-06;6.981991316057508e-10;-8.388399e-06
13:27:31;-650;-650.0561;8.55687135e-06;8.361779125132475e-10;-8.561543e-06
13:27:51;-675;-675.0667;8.75750625e-06;5.957394223777733e-10;-8.762791e-06
13:28:10;-700;-700.049;8.9368281e-06;5.934321229087702e-10;-8.936972e-06
13:28:30;-725;-725.0183;9.0998755e-06;3.990669649319399e-10;-9.104999e-06
13:28:50;-750;-749.9907;9.268353950000001e-06;4.021362858223653e-10;-9.272905e-06
13:29:10;-775;-775.0091;9.441561949999998e-06;4.660093694068533e-10;-9.439906e-06
13:29:30;-800;-800.0151;9.598514400000001e-06;3.6913323069052563e-10;-9.600726e-06
13:29:50;-825;-825.0402;9.775064599999998e-06;4.4593080965552215e-10;-9.777965e-06
13:30:10;-850;-850.0207;9.94898495e-06;5.581915149614874e-10;-9.948263e-06
13:30:30;-875;-874.9935;1.0115732500000003e-05;4.559187838859214e-10;-1.011555e-05
13:30:50;-900;-899.925;1.0284811e-05;1.7096914926383187e-10;-1.028476e-05
