time (29.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
09:34:33;-25;-25.03622;2.4787492e-06;4.835794898462911e-10;-2.482305e-06
09:34:53;-50;-50.0734;3.4696589999999995e-06;3.4092802026234043e-10;-3.470827e-06
09:35:12;-75;-75.1005;4.2418852500000005e-06;4.024036460756674e-10;-4.239256e-06
09:35:32;-100;-100.0761;4.909915e-06;4.50263350718232e-10;-4.911044e-06
09:35:52;-125;-125.0291;5.520214e-06;6.9197380730774e-10;-5.521055e-06
09:36:12;-150;-150.0082;6.082847949999999e-06;1.239771445670541e-10;-6.084454e-06
09:36:32;-175;-175.0444;6.6186738e-06;7.855988562873613e-10;-6.624688e-06
09:36:51;-200;-200.0764;7.132785349999999e-06;5.283562210999451e-10;-7.126241e-06
09:37:11;-225;-225.0915;7.602898750000001e-06;4.683447228004059e-10;-7.605091e-06
09:37:31;-250;-250.0669;8.099807449999998e-06;3.433876633995382e-10;-8.102767e-06
09:37:50;-275;-275.0386;8.58415955e-06;4.6411761696254077e-10;-8.584108e-06
09:38:10;-300;-300.0156;9.02848925e-06;9.1442776881226e-10;-9.03053e-06
09:38:30;-325;-325.0502;9.45994615e-06;1.2206162793339174e-09;-9.465321e-06
09:38:50;-350;-350.0648;9.8952847e-06;5.388814948576282e-10;-9.895212e-06
09:39:10;-375;-375.0764;1.03480435e-05;5.816473480555038e-10;-1.034706e-05
09:39:30;-400;-400.0605;1.07890725e-05;1.444108700029197e-09;-1.07847e-05
09:39:50;-425;-425.0321;1.12072435e-05;7.987966809520578e-10;-1.120992e-05
09:40:10;-450;-449.9875;1.16093145e-05;2.9268122996700584e-09;-1.160407e-05
09:40:30;-475;-475.0199;1.2033523499999997e-05;1.475127837680511e-09;-1.204009e-05
09:40:50;-500;-500.0518;1.2429952499999998e-05;1.2442802889622329e-09;-1.243415e-05
09:41:10;-525;-525.0851;1.28249335e-05;1.7376284520863355e-09;-1.283363e-05
09:41:30;-550;-550.0669;1.32139105e-05;1.3169395344889805e-09;-1.321729e-05
09:41:49;-575;-575.0206;1.3652175999999999e-05;2.355844477040028e-09;-1.364305e-05
09:42:09;-600;-599.996;1.40286895e-05;7.733125095975348e-10;-1.403906e-05
09:42:29;-625;-625.0244;1.44109205e-05;1.3213573466326067e-09;-1.441583e-05
09:42:49;-650;-650.0524;1.4770816000000001e-05;1.9667183835007816e-09;-1.476108e-05
09:43:09;-675;-675.0655;1.5122530000000002e-05;6.687219152981101e-10;-1.512869e-05
09:43:28;-700;-700.0466;1.54465e-05;7.954445298069729e-10;-1.546729e-05
09:43:48;-725;-725.0139;1.5840887999999997e-05;3.160610668842308e-09;-1.584e-05
09:44:08;-750;-749.9832;1.62057035e-05;8.889202087363822e-10;-1.619457e-05
09:44:27;-775;-775.0044;1.6525664e-05;1.276994792471847e-09;-1.654025e-05
09:44:47;-800;-800.0112;1.6878983e-05;7.177883044463219e-10;-1.689368e-05
09:45:07;-825;-825.0389;1.72302415e-05;1.0138713614162964e-09;-1.723085e-05
09:45:27;-850;-850.0174;1.7555756500000007e-05;1.1482733287419263e-09;-1.756087e-05
09:45:46;-875;-874.9797;1.7906415e-05;3.6503083773839373e-09;-1.788375e-05
09:46:06;-900;-899.9452;1.8233816000000002e-05;9.923765414397314e-10;-1.822937e-05
