time (13.05.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
10:05:27;-25;-25.04657;8.989681550000002e-07;2.8566111115051973e-10;-8.935813e-07
10:05:47;-50;-50.06876;1.24100175e-06;2.758892338874435e-10;-1.244646e-06
10:06:07;-75;-75.0967;1.5151919500000001e-06;3.2187878522046503e-10;-1.515053e-06
10:06:27;-100;-100.0717;1.7450974499999999e-06;4.0062745459466364e-10;-1.745023e-06
10:06:47;-125;-125.026;1.951798e-06;4.6395568215078065e-10;-1.95741e-06
10:07:07;-150;-150.0049;2.1495431e-06;3.3896052793799075e-10;-2.156743e-06
10:07:26;-175;-175.0402;2.3351494499999995e-06;8.637414817959106e-10;-2.329529e-06
10:07:46;-200;-200.0716;2.5026876999999996e-06;6.883594704077275e-10;-2.49864e-06
10:08:06;-225;-225.0842;2.6628243e-06;7.61681977927789e-10;-2.668001e-06
10:08:26;-250;-250.0611;2.80160245e-06;4.274360155333198e-10;-2.803905e-06
10:08:45;-275;-275.0327;2.95207495e-06;5.340931588917803e-10;-2.952547e-06
10:09:05;-300;-300.0106;3.07277255e-06;6.070046765676487e-10;-3.067206e-06
10:09:25;-325;-325.0432;3.1898839500000006e-06;1.4891346908103924e-09;-3.188353e-06
10:09:45;-350;-350.0563;3.2961210499999996e-06;7.662280876964717e-10;-3.293085e-06
10:10:06;-375;-375.0883;3.3811143500000003e-06;7.327069751100956e-10;-3.384573e-06
10:10:26;-400;-400.0637;3.4621902999999996e-06;5.840839199121981e-10;-3.467175e-06
10:10:46;-425;-425.037;3.5505804499999995e-06;8.978860770582245e-10;-3.550171e-06
10:11:06;-450;-449.9895;3.6237161500000005e-06;6.390151182679572e-10;-3.628708e-06
10:11:26;-475;-475.024;3.6830390499999997e-06;5.672676681911336e-10;-3.6858e-06
10:11:46;-500;-500.0554;3.7419083999999997e-06;6.458567348878528e-10;-3.746961e-06
10:12:06;-525;-525.089;3.8164096500000005e-06;1.1465750788217017e-09;-3.829597e-06
10:12:25;-550;-550.0703;3.86614245e-06;5.075635747125502e-10;-3.874122e-06
10:12:45;-575;-575.0247;3.929663050000001e-06;1.2329584329469776e-09;-3.928439e-06
10:13:05;-600;-599.9999;3.9764838500000005e-06;5.841019785748073e-10;-3.98533e-06
10:13:25;-625;-625.0289;4.04186145e-06;2.4542447784145253e-09;-4.029175e-06
10:13:44;-650;-650.0568;4.068372e-06;5.917694356757693e-10;-4.071459e-06
10:14:04;-675;-675.0688;4.120366849999999e-06;3.8823332723375026e-10;-4.121725e-06
10:14:24;-700;-700.0495;4.166420600000001e-06;1.2483916240507329e-09;-4.163836e-06
10:14:44;-725;-725.018;4.22103055e-06;8.935383329074374e-10;-4.225727e-06
10:15:04;-750;-749.9885;4.2645349499999995e-06;1.5365941111350697e-09;-4.275596e-06
10:15:24;-775;-775.0074;4.29588025e-06;1.0913731027357132e-09;-4.297818e-06
10:15:44;-800;-800.0165;4.37736775e-06;1.335486347506031e-09;-4.385315e-06
10:16:04;-825;-825.0414;4.434223249999999e-06;1.7310234615322472e-09;-4.452624e-06
10:16:24;-850;-850.0212;4.4620277e-06;4.903666592459049e-10;-4.456675e-06
10:16:44;-875;-874.9854;4.51199135e-06;7.244912500334294e-10;-4.52348e-06
10:17:04;-900;-899.9516;4.56778275e-06;1.7321772367096162e-09;-4.575226e-06
