time (11.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:00:48;-25;-25.03811;2.7331233000000004e-06;3.8171556229736643e-10;-2.737243e-06
11:01:08;-50;-50.07072;4.08222325e-06;4.0751063713109784e-10;-4.080015e-06
11:01:28;-75;-75.09953;5.1702257e-06;5.48057324100306e-10;-5.166473e-06
11:01:47;-100;-100.0749;6.1244569999999994e-06;1.2268480590521379e-09;-6.115192e-06
11:02:07;-125;-125.0301;6.99925335e-06;5.644319235966453e-10;-6.99824e-06
11:02:28;-150;-150.0115;7.813639249999998e-06;7.202150368987153e-10;-7.816256e-06
11:02:47;-175;-175.0465;8.62175245e-06;7.768247533227914e-10;-8.623613e-06
11:03:07;-200;-200.0766;9.4152087e-06;1.5111880427332279e-09;-9.400451e-06
11:03:26;-225;-225.0912;1.0149663e-05;6.171365732154052e-10;-1.015287e-05
11:03:46;-250;-250.0565;1.0884319499999998e-05;4.876968705045848e-10;-1.089426e-05
11:04:06;-275;-275.0312;1.16231805e-05;1.2217420912369164e-09;-1.16265e-05
11:04:26;-300;-300.0087;1.2314691500000001e-05;5.851710326905191e-10;-1.232101e-05
11:04:46;-325;-325.0404;1.30632505e-05;2.086052908605124e-09;-1.304967e-05
11:05:06;-350;-350.0522;1.3767235999999998e-05;2.103596967101808e-09;-1.378853e-05
11:05:26;-375;-375.0837;1.44795675e-05;9.861645083352044e-10;-1.447389e-05
11:05:46;-400;-400.0616;1.5224395999999997e-05;1.4103271606262243e-09;-1.523095e-05
11:06:06;-425;-425.0326;1.5918338500000002e-05;1.1361562997668763e-09;-1.59417e-05
11:06:26;-450;-449.9872;1.6658481499999996e-05;1.428188936205547e-09;-1.666096e-05
11:06:46;-475;-475.0199;1.7397531e-05;2.6022205805811575e-09;-1.739098e-05
11:07:06;-500;-500.05;1.8115621e-05;2.1897164085789377e-09;-1.814284e-05
11:07:27;-525;-525.084;1.8878891000000002e-05;2.193024612265012e-09;-1.886683e-05
11:07:46;-550;-550.0663;1.9588008e-05;7.29598040019319e-10;-1.960148e-05
11:08:06;-575;-575.0211;2.0368905e-05;2.2581987844297497e-09;-2.034142e-05
11:08:26;-600;-599.9973;2.1184751e-05;1.9359298670148346e-09;-2.119945e-05
11:08:46;-625;-625.0252;2.1956733e-05;1.0167349949716485e-09;-2.196842e-05
11:09:06;-650;-650.0527;2.2788742000000002e-05;1.5996538062969371e-09;-2.279046e-05
11:09:27;-675;-675.0642;2.3622474000000002e-05;6.15138358420188e-10;-2.363226e-05
11:09:47;-700;-700.0448;2.44587935e-05;2.105282317766487e-09;-2.449301e-05
11:10:07;-725;-725.0145;2.53501135e-05;1.4910171486271213e-09;-2.534816e-05
11:10:26;-750;-749.9846;2.63423435e-05;3.250140325816739e-09;-2.634373e-05
11:10:46;-775;-775.0056;2.7283638999999994e-05;2.2552466494821033e-09;-2.728291e-05
11:11:05;-800;-800.0098;2.8227505499999995e-05;2.2571935533975824e-09;-2.825218e-05
11:11:25;-825;-825.0369;2.9228096999999997e-05;1.8046829499942725e-09;-2.924815e-05
11:11:45;-850;-850.0176;3.02600425e-05;1.933231734040128e-09;-3.025972e-05
11:12:05;-875;-874.9827;3.1320231e-05;2.2012758686724397e-09;-3.131621e-05
11:12:25;-900;-899.9487;3.24559235e-05;1.5041280322831138e-09;-3.246421e-05
