time (07.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:11:14;-25;-25.0407;2.8113226000000003e-06;1.4225406415986867e-09;-2.805403e-06
08:11:34;-50;-50.07586;4.16335765e-06;6.372668604085775e-10;-4.165026e-06
08:11:54;-75;-75.10645;5.262905899999999e-06;6.649617466441257e-10;-5.25709e-06
08:12:14;-100;-100.0803;6.24763055e-06;7.960465673407657e-10;-6.243394e-06
08:12:34;-125;-125.0325;7.1235658e-06;2.0981195051760095e-09;-7.118781e-06
08:12:54;-150;-150.0108;7.97732795e-06;1.3131466092462703e-09;-7.993675e-06
08:13:14;-175;-175.0484;8.810669100000002e-06;2.836695063714085e-09;-8.794907e-06
08:13:34;-200;-200.0805;9.589746950000002e-06;2.1420546473829795e-09;-9.610754e-06
08:13:54;-225;-225.1022;1.0315933499999999e-05;2.8592525487441794e-09;-1.030211e-05
08:14:13;-250;-250.0602;1.1057852e-05;3.2244577528632753e-09;-1.106989e-05
08:14:33;-275;-275.0321;1.1827614e-05;3.0320344984844874e-09;-1.183667e-05
08:14:53;-300;-300.0074;1.2608199e-05;2.0146111163199454e-09;-1.262686e-05
08:15:13;-325;-325.0432;1.33960095e-05;3.855901481819756e-09;-1.336433e-05
08:15:33;-350;-350.0561;1.4120030499999999e-05;3.2847539843190944e-09;-1.411386e-05
08:15:53;-375;-375.0898;1.4805967e-05;4.618505932658304e-09;-1.478312e-05
08:16:13;-400;-400.0636;1.5583046999999998e-05;2.3872483218131997e-09;-1.556925e-05
08:16:33;-425;-425.035;1.63084815e-05;4.786201639870585e-09;-1.63007e-05
08:16:53;-450;-449.9879;1.70320255e-05;2.1599294519728425e-09;-1.708775e-05
08:17:12;-475;-475.0225;1.7794545499999998e-05;3.3275000732531848e-09;-1.779809e-05
08:17:32;-500;-500.0555;1.8555839e-05;4.364812475926121e-09;-1.856131e-05
08:17:51;-525;-525.0891;1.9319949e-05;4.477623638717268e-09;-1.936547e-05
08:18:11;-550;-550.0693;2.0122584e-05;4.436293295083242e-09;-2.017009e-05
08:18:31;-575;-575.0241;2.0919778e-05;5.267303133483034e-09;-2.089793e-05
08:18:51;-600;-599.9977;2.1754509e-05;5.0812971227826656e-09;-2.179247e-05
08:19:11;-625;-625.027;2.25329155e-05;4.423883897380255e-09;-2.251072e-05
08:19:31;-650;-650.0547;2.3357822e-05;5.485229329754578e-09;-2.336153e-05
08:19:51;-675;-675.0677;2.41901965e-05;5.129472403425067e-09;-2.422726e-05
08:20:11;-700;-700.0493;2.51521905e-05;9.476320870332553e-09;-2.513512e-05
08:20:30;-725;-725.0164;2.5992060000000002e-05;4.773913698424019e-09;-2.601642e-05
08:20:50;-750;-749.9854;2.6922410000000002e-05;3.580885016305265e-09;-2.69154e-05
08:21:10;-775;-775.0064;2.7954544500000003e-05;8.724390422115474e-09;-2.798532e-05
08:21:30;-800;-800.0142;2.9070611e-05;7.508265042604771e-09;-2.912532e-05
08:21:49;-825;-825.0414;3.0227548499999997e-05;5.0541939157001e-09;-3.025256e-05
08:22:09;-850;-850.0215;3.1292506e-05;9.538061527375636e-09;-3.127991e-05
08:22:29;-875;-874.9854;3.23952415e-05;1.0393746588093257e-08;-3.23674e-05
08:22:49;-900;-899.9485;3.3555731999999995e-05;5.373633342534611e-09;-3.357261e-05
