time (15.04.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
07:37:55;-25;-25.04294;2.3201395999999997e-06;5.659505826483415e-10;-2.320169e-06
07:38:15;-50;-50.08057;3.2470249e-06;2.703760889945806e-10;-3.248906e-06
07:38:35;-75;-75.10883;3.98860575e-06;1.098035183577921e-09;-3.983414e-06
07:38:55;-100;-100.08;4.609033600000001e-06;6.822562912864998e-10;-4.613819e-06
07:39:15;-125;-125.0318;5.181384650000001e-06;9.809646381878459e-10;-5.174551e-06
07:39:35;-150;-150.009;5.71045005e-06;1.333979749612037e-09;-5.713914e-06
07:39:55;-175;-175.046;6.1842992e-06;1.3559900545358056e-09;-6.203002e-06
07:40:14;-200;-200.08;6.64985085e-06;1.0831896816232335e-09;-6.65426e-06
07:40:34;-225;-225.0966;7.0742632000000005e-06;5.814705650331705e-10;-7.074117e-06
07:40:54;-250;-250.0705;7.45154585e-06;1.220120670825215e-09;-7.445031e-06
07:41:14;-275;-275.0409;7.79687955e-06;2.1492962225749625e-09;-7.809084e-06
07:41:34;-300;-300.0159;8.060135199999998e-06;1.316784009623432e-09;-8.073403e-06
07:41:53;-325;-325.0514;8.305952150000001e-06;7.681079164902661e-10;-8.306894e-06
07:42:13;-350;-350.067;8.53691815e-06;1.1152583518516765e-09;-8.532222e-06
07:42:33;-375;-375.101;8.78603545e-06;1.4316196709932593e-09;-8.779893e-06
07:42:53;-400;-400.0762;9.023956100000002e-06;9.071605698551812e-10;-9.027443e-06
07:43:12;-425;-425.0439;9.221179549999999e-06;1.3663091789105118e-09;-9.241441e-06
07:43:32;-450;-449.9957;9.38282705e-06;1.9783231680832336e-09;-9.376002e-06
07:43:51;-475;-475.0312;9.5571848e-06;4.116538327041318e-09;-9.538951e-06
07:44:11;-500;-500.0641;9.69414755e-06;1.022853957011967e-09;-9.700574e-06
07:44:31;-525;-525.1007;9.92626535e-06;7.103615226866866e-09;-9.867373e-06
07:44:50;-550;-550.0811;1.0017086000000001e-05;1.3335614721488626e-09;-1.002045e-05
07:45:10;-575;-575.035;1.0160129e-05;1.2635151166488082e-09;-1.015565e-05
07:45:30;-600;-600.0082;1.0323746e-05;1.4046046418832347e-09;-1.031484e-05
07:45:50;-625;-625.0266;1.0488074e-05;1.8261955536032114e-09;-1.051782e-05
07:46:10;-650;-650.0556;1.06295065e-05;9.147169712539539e-10;-1.064601e-05
07:46:30;-675;-675.0715;1.0756463e-05;1.3866517407048864e-09;-1.075749e-05
07:46:50;-700;-700.0486;1.09067805e-05;2.078688225179482e-09;-1.090352e-05
07:47:09;-725;-725.0142;1.10559385e-05;1.3376070564631267e-09;-1.105407e-05
07:47:29;-750;-749.9828;1.12195e-05;2.2149581260150207e-09;-1.121647e-05
07:47:49;-775;-775.0048;1.1365846999999999e-05;1.0207894249060244e-09;-1.136734e-05
07:48:09;-800;-800.0143;1.1522549499999999e-05;3.60099545091354e-09;-1.151399e-05
07:48:29;-825;-825.0436;1.1705189499999999e-05;2.481948274541595e-09;-1.172863e-05
07:48:49;-850;-850.02;1.1887826499999999e-05;1.7741859083815968e-09;-1.189209e-05
07:49:09;-875;-874.9811;1.2079328500000001e-05;2.0515323876312355e-09;-1.206575e-05
07:49:29;-900;-899.9446;1.221444e-05;1.682096311154641e-09;-1.221747e-05
