time (02.04.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:10:14;-25;-25.04198;1.8486789499999999e-06;2.0876010724034444e-10;-1.851223e-06
08:10:34;-50;-50.07853;2.6350573e-06;2.2356814509227297e-10;-2.636993e-06
08:10:54;-75;-75.10591;3.2539172499999996e-06;2.135910329929664e-10;-3.255515e-06
08:11:15;-100;-100.0773;3.7952572000000005e-06;1.1178055734339362e-10;-3.795355e-06
08:11:35;-125;-125.0297;4.28038875e-06;3.0806522746814713e-10;-4.284306e-06
08:11:55;-150;-150.0083;4.744241100000001e-06;4.47462690623475e-10;-4.745109e-06
08:12:15;-175;-175.0444;5.167047400000001e-06;2.8219596382654177e-10;-5.168812e-06
08:12:34;-200;-200.0784;5.561336550000001e-06;2.5637121986487185e-10;-5.566118e-06
08:12:54;-225;-225.0939;5.95812945e-06;8.576681452491001e-10;-5.953462e-06
08:13:13;-250;-250.0686;6.3232395000000004e-06;2.5476557361622013e-10;-6.325964e-06
08:13:33;-275;-275.0396;6.644516199999999e-06;4.18645115820079e-10;-6.648816e-06
08:13:53;-300;-300.0138;6.924886649999999e-06;2.676037581481199e-10;-6.92766e-06
08:14:13;-325;-325.0496;7.1773629e-06;8.092725032397864e-10;-7.177769e-06
08:14:33;-350;-350.0639;7.377799300000001e-06;5.803048039608174e-10;-7.38184e-06
08:14:53;-375;-375.0989;7.572871650000001e-06;3.490538087100631e-10;-7.568713e-06
08:15:13;-400;-400.0728;7.762061150000002e-06;6.600877073351706e-10;-7.777901e-06
08:15:32;-425;-425.0427;7.91616495e-06;4.436240495904278e-10;-7.92241e-06
08:15:52;-450;-449.994;8.0821601e-06;6.389619037939747e-10;-8.08512e-06
08:16:12;-475;-475.029;8.227082299999998e-06;7.226529080409462e-10;-8.223096e-06
08:16:32;-500;-500.0628;8.3857727e-06;6.226477218298988e-10;-8.389536e-06
08:16:52;-525;-525.098;8.51923425e-06;5.334656965306944e-10;-8.525089e-06
08:17:11;-550;-550.0777;8.679705700000001e-06;7.877442291124876e-10;-8.678604e-06
08:17:32;-575;-575.0313;8.81560695e-06;5.834439196486905e-10;-8.816188e-06
08:17:52;-600;-600.0053;8.9563753e-06;2.878738708184592e-10;-8.956326e-06
08:18:12;-625;-625.0353;9.12524465e-06;6.148797739192384e-10;-9.123625e-06
08:18:31;-650;-650.0645;9.25955695e-06;1.7067869631271322e-10;-9.262008e-06
08:18:51;-675;-675.0798;9.40209775e-06;3.0407018001609667e-10;-9.403265e-06
08:19:11;-700;-700.0581;9.5520986e-06;5.191594234915054e-10;-9.549874e-06
08:19:30;-725;-725.0248;9.713067349999999e-06;3.180726746751803e-10;-9.717543e-06
08:19:50;-750;-749.9938;9.8346334e-06;8.798821097169866e-10;-9.841204e-06
08:20:09;-775;-775.0154;9.9818648e-06;2.9348150313095042e-09;-9.979496e-06
08:20:29;-800;-800.0247;1.0101988500000001e-05;3.4219897355187724e-10;-1.010807e-05
08:20:49;-825;-825.0522;1.0229161e-05;3.1329451000617495e-10;-1.022743e-05
08:21:09;-850;-849.9951;1.0390820500000002e-05;7.914077567852908e-10;-1.040472e-05
08:21:29;-875;-874.9811;1.0557489e-05;9.84613350508682e-10;-1.055997e-05
08:21:49;-900;-899.9452;1.07360525e-05;1.2427225907257203e-09;-1.073062e-05
