time (04.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
13:26:10;-25;-25.03979;3.4357007000000004e-06;8.872124494730668e-10;-3.435337e-06
13:26:30;-50;-50.07237;4.936992499999999e-06;1.1237816391541552e-09;-4.945332e-06
13:26:50;-75;-75.10224;6.109027400000001e-06;7.409445910457668e-10;-6.104861e-06
13:27:10;-100;-100.0764;7.159744900000001e-06;1.1381620466787732e-09;-7.158069e-06
13:27:30;-125;-125.0333;8.10163355e-06;2.868515191240071e-09;-8.110796e-06
13:27:50;-150;-150.0155;8.966903050000001e-06;2.4020775419155313e-09;-9.0011e-06
13:28:10;-175;-175.0491;9.797625900000002e-06;1.2040421398355988e-09;-9.788332e-06
13:28:29;-200;-200.0676;1.05999125e-05;2.6782424157458404e-09;-1.060816e-05
13:28:49;-225;-225.0814;1.13863915e-05;3.6419718748913723e-09;-1.140376e-05
13:29:09;-250;-250.0582;1.2161782e-05;2.0781669326596986e-09;-1.215404e-05
13:29:29;-275;-275.0313;1.2903198500000001e-05;2.055024729169941e-09;-1.292406e-05
13:29:49;-300;-300.0097;1.3697765999999998e-05;2.983123396710229e-09;-1.369851e-05
13:30:09;-325;-325.0419;1.4444368000000001e-05;2.0990766541505747e-09;-1.443928e-05
13:30:29;-350;-350.0528;1.5173039999999998e-05;3.45068239628053e-09;-1.515708e-05
13:30:49;-375;-375.0847;1.58516195e-05;4.406987092958253e-09;-1.581241e-05
13:31:09;-400;-400.062;1.66025005e-05;3.2981740004886996e-09;-1.66431e-05
13:31:29;-425;-425.0337;1.7273593e-05;4.097203259541754e-09;-1.729748e-05
13:31:49;-450;-449.9878;1.79490155e-05;1.647428826231949e-09;-1.794779e-05
13:32:09;-475;-475.0208;1.86222125e-05;3.6357711613219384e-09;-1.860041e-05
13:32:29;-500;-500.0524;1.93044205e-05;4.074232963086468e-09;-1.926489e-05
13:32:49;-525;-525.0853;1.9923424999999998e-05;3.212139746337231e-09;-1.99469e-05
13:33:09;-550;-550.0671;2.0516946e-05;8.616458187677846e-09;-2.048334e-05
13:33:29;-575;-575.0236;2.1227933e-05;6.535501973834893e-09;-2.125839e-05
13:33:48;-600;-599.9984;2.1819643999999997e-05;4.610307224036219e-09;-2.179828e-05
13:34:08;-625;-625.0259;2.2420798000000002e-05;5.069801159808859e-09;-2.241067e-05
13:34:28;-650;-650.0538;2.2995620999999998e-05;4.61526455904754e-09;-2.300143e-05
13:34:48;-675;-675.0657;2.3652858e-05;5.294058065416347e-09;-2.365324e-05
13:35:08;-700;-700.0474;2.4213491e-05;5.968825885381548e-09;-2.419767e-05
13:35:27;-725;-725.014;2.47337705e-05;3.776908754193003e-09;-2.474014e-05
13:35:47;-750;-749.9861;2.5277082e-05;7.389285912725264e-09;-2.526982e-05
13:36:07;-775;-775.007;2.5839973000000003e-05;2.5967935131620424e-09;-2.58464e-05
13:36:27;-800;-800.0126;2.6378018499999998e-05;1.1536741010246428e-08;-2.647875e-05
13:36:47;-825;-825.0381;2.7024190000000004e-05;4.498232930829587e-09;-2.706597e-05
13:37:07;-850;-850.0186;2.7620391e-05;3.5186630202394454e-09;-2.766344e-05
13:37:27;-875;-874.9824;2.8206797999999997e-05;7.203662179752726e-09;-2.818254e-05
13:37:47;-900;-899.9476;2.8865283499999994e-05;6.02895439835959e-09;-2.887172e-05
