time (01.04.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
14:40:05;-25;-25.03632;1.5138597e-06;1.578879365246151e-10;-1.513599e-06
14:40:25;-50;-50.06803;2.08137075e-06;1.5198647760574786e-10;-2.081317e-06
14:40:45;-75;-75.09652;2.53048465e-06;2.3148989475785928e-10;-2.531491e-06
14:41:05;-100;-100.0723;2.9204141999999994e-06;5.550157006788169e-10;-2.91652e-06
14:41:25;-125;-125.0268;3.2628619500000004e-06;3.3578262667237594e-10;-3.266994e-06
14:41:45;-150;-150.0059;3.57801735e-06;4.403626532472953e-10;-3.580839e-06
14:42:05;-175;-175.0414;3.8594553e-06;2.869551193131092e-10;-3.85981e-06
14:42:26;-200;-200.071;4.120436650000001e-06;4.1843889801857364e-10;-4.121928e-06
14:42:45;-225;-225.0847;4.3478244000000005e-06;4.82854493610646e-10;-4.342146e-06
14:43:05;-250;-250.0613;4.5280316e-06;5.696604532526389e-10;-4.533633e-06
14:43:25;-275;-275.0332;4.68674355e-06;1.0555729948113506e-09;-4.683929e-06
14:43:45;-300;-300.0108;4.8392738e-06;8.373200660440649e-10;-4.844184e-06
14:44:05;-325;-325.0436;4.96481005e-06;7.571314234496866e-10;-4.959136e-06
14:44:25;-350;-350.0576;5.07836145e-06;7.449503321530987e-10;-5.077024e-06
14:44:45;-375;-375.0893;5.20519435e-06;7.353260918633399e-10;-5.211528e-06
14:45:05;-400;-400.0663;5.3019118500000004e-06;7.47066644533798e-10;-5.306048e-06
14:45:25;-425;-425.0371;5.382131450000001e-06;4.5416841300887506e-10;-5.382421e-06
14:45:45;-450;-449.9918;5.4954995500000004e-06;4.080756760393658e-10;-5.497823e-06
14:46:05;-475;-475.0242;5.6002540499999995e-06;1.1844318479232944e-09;-5.595974e-06
14:46:25;-500;-500.0547;5.677320199999999e-06;5.709392813601162e-10;-5.677673e-06
14:46:45;-525;-525.0889;5.75361715e-06;3.4289454847662654e-10;-5.758822e-06
14:47:05;-550;-550.0716;5.8559765e-06;5.659699263211764e-10;-5.856105e-06
14:47:25;-575;-575.027;5.942141199999999e-06;8.172752155791847e-10;-5.943291e-06
14:47:45;-600;-600.0019;6.0450505499999995e-06;9.274034652593306e-10;-6.047504e-06
14:48:05;-625;-625.0299;6.125631699999999e-06;5.333842147083031e-10;-6.121668e-06
14:48:25;-650;-650.0578;6.20943675e-06;7.020432425249807e-10;-6.214091e-06
14:48:45;-675;-675.071;6.2955293e-06;1.019997500242012e-09;-6.293773e-06
14:49:05;-700;-700.0515;6.3728773e-06;3.9856310102667085e-10;-6.374538e-06
14:49:25;-725;-725.0193;6.46457945e-06;1.0586093270772783e-09;-6.463543e-06
14:49:45;-750;-749.9896;6.5556500000000005e-06;6.220806458972858e-10;-6.564069e-06
14:50:05;-775;-775.0101;6.638047249999999e-06;3.733221656625643e-10;-6.640558e-06
14:50:25;-800;-800.0165;6.7305664500000005e-06;6.902531436907808e-10;-6.728291e-06
14:50:45;-825;-825.0455;6.8202207000000005e-06;6.110880137099779e-10;-6.822059e-06
14:51:05;-850;-850.022;6.92049965e-06;1.7277787232093653e-09;-6.915599e-06
14:51:26;-875;-874.9865;6.98621255e-06;5.198304169390209e-10;-6.995022e-06
14:51:45;-900;-899.9524;7.079023399999999e-06;4.231732233967458e-10;-7.081776e-06
