time (24.04.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:05:04;-25;-25.04007;2.1624289e-06;2.1794109181151253e-10;-2.162185e-06
08:05:24;-50;-50.07565;2.9759559e-06;4.670218993794519e-10;-2.982621e-06
08:05:44;-75;-75.10387;3.4842907500000004e-06;8.325637239124761e-10;-3.486423e-06
08:06:04;-100;-100.0778;3.7410507000000004e-06;3.602229663694295e-10;-3.747964e-06
08:06:24;-125;-125.0297;3.941785899999999e-06;6.440660637698618e-10;-3.941291e-06
08:06:44;-150;-150.0087;4.09955505e-06;5.272904013681894e-10;-4.096966e-06
08:07:04;-175;-175.0435;4.232018850000001e-06;3.09135280055512e-10;-4.231289e-06
08:07:24;-200;-200.0761;4.3474794e-06;5.195357995364934e-10;-4.351744e-06
08:07:43;-225;-225.0912;4.45146645e-06;4.436558490260111e-10;-4.449533e-06
08:08:03;-250;-250.0658;4.55210555e-06;3.611531148626764e-10;-4.557296e-06
08:08:22;-275;-275.0362;4.641145299999999e-06;4.4664809470098294e-10;-4.643769e-06
08:08:42;-300;-300.0126;4.744729799999999e-06;7.814937159056379e-10;-4.752082e-06
08:09:02;-325;-325.0475;4.83232345e-06;7.376926205236179e-10;-4.838524e-06
08:09:22;-350;-350.0608;4.9117332e-06;3.599370264365716e-10;-4.909762e-06
08:09:42;-375;-375.0943;5.00601615e-06;5.146510093014443e-10;-5.011032e-06
08:10:02;-400;-400.069;5.09664475e-06;1.2992410917050923e-09;-5.107489e-06
08:10:22;-425;-425.0384;5.181427e-06;3.815114349531509e-10;-5.186741e-06
08:10:42;-450;-449.9926;5.26596625e-06;8.783271112603717e-10;-5.269494e-06
08:11:02;-475;-475.0269;5.3624055e-06;7.583095096990393e-10;-5.365523e-06
08:11:22;-500;-500.0583;5.4685972000000005e-06;7.596588662024547e-10;-5.470203e-06
08:11:42;-525;-525.0944;5.5720874e-06;1.9790862669423932e-09;-5.564705e-06
08:12:02;-550;-550.0747;5.6739392e-06;9.227821644353653e-10;-5.677106e-06
08:12:22;-575;-575.0272;5.7760783e-06;7.342973924099241e-10;-5.768419e-06
08:12:42;-600;-600.0029;5.8836961e-06;5.714816265637945e-10;-5.884392e-06
08:13:02;-625;-625.0299;6.0060385e-06;5.657297477594784e-10;-6.000066e-06
08:13:22;-650;-650.061;6.09452155e-06;9.52654133132803e-10;-6.085889e-06
08:13:42;-675;-675.0751;6.2055003e-06;8.880483801572773e-10;-6.203264e-06
08:14:02;-700;-700.0551;6.3259841e-06;8.764495875405539e-10;-6.334978e-06
08:14:22;-725;-725.0209;6.43383825e-06;1.0766490070468704e-09;-6.433492e-06
08:14:41;-750;-749.9888;6.5246347e-06;6.313099678446558e-10;-6.534781e-06
08:15:01;-775;-775.0112;6.6829299500000004e-06;2.0185281884023785e-09;-6.679553e-06
08:15:21;-800;-800.019;6.809292950000001e-06;2.3356884600423587e-09;-6.799671e-06
08:15:41;-825;-825.0455;6.960383099999999e-06;6.315215392209645e-10;-6.969243e-06
08:16:01;-850;-850.0253;7.1012029e-06;7.081189832930648e-10;-7.096335e-06
08:16:21;-875;-874.9886;7.2709751e-06;6.764258159621206e-10;-7.277729e-06
08:16:41;-900;-899.9528;7.418623100000001e-06;4.104788660820208e-10;-7.413727e-06
