time (15.10.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:02:36;-25;-25.03834;4.1982934e-06;3.233086713962163e-10;-4.200515e-06
11:02:56;-50;-50.07241;5.9272031999999995e-06;2.5121680477229374e-10;-5.927883e-06
11:03:16;-75;-75.1013;7.2405665e-06;3.112102062915109e-10;-7.243812e-06
11:03:36;-100;-100.077;8.3825595e-06;2.6463466798588326e-10;-8.38002e-06
11:03:56;-125;-125.0329;9.40456305e-06;1.0337745026721751e-09;-9.40942e-06
11:04:16;-150;-150.0038;1.0321532499999998e-05;3.7732139814752956e-10;-1.033197e-05
11:04:36;-175;-175.0378;1.12188215e-05;5.994911488087124e-10;-1.122046e-05
11:04:56;-200;-200.0678;1.2054010499999999e-05;6.2449438548314e-10;-1.205533e-05
11:05:16;-225;-225.0803;1.28233225e-05;1.1140354291942059e-09;-1.281939e-05
11:05:36;-250;-250.0562;1.3531970499999998e-05;1.5954793127771898e-09;-1.352744e-05
11:05:56;-275;-275.0302;1.4154350499999999e-05;1.3918001787253832e-09;-1.414661e-05
11:06:15;-300;-300.0083;1.4712401499999999e-05;8.161109835677587e-10;-1.471882e-05
11:06:35;-325;-325.04;1.5200489000000005e-05;1.7888777068318973e-09;-1.519477e-05
11:06:54;-350;-350.052;1.5643008e-05;3.847594053432182e-10;-1.564738e-05
11:07:14;-375;-375.0824;1.6070760499999997e-05;6.177756368618056e-10;-1.606207e-05
11:07:34;-400;-400.0593;1.64779865e-05;5.921567676721686e-10;-1.647302e-05
11:07:54;-425;-425.0329;1.6876742000000002e-05;3.1432674082875297e-10;-1.68818e-05
11:08:13;-450;-449.9871;1.73036325e-05;7.16854892917599e-10;-1.730502e-05
11:08:33;-475;-475.0199;1.7761311499999997e-05;4.1340009373494223e-10;-1.776523e-05
11:08:53;-500;-500.0504;1.8171774e-05;1.0560164297963893e-09;-1.817178e-05
11:09:12;-525;-525.0829;1.8607362e-05;9.332560206074223e-10;-1.860564e-05
11:09:32;-550;-550.0647;1.9018266e-05;4.818943867695551e-10;-1.902835e-05
11:09:52;-575;-575.0205;1.94671765e-05;4.945731872028169e-10;-1.947144e-05
11:10:12;-600;-599.9971;1.9930140999999996e-05;8.373995163601186e-10;-1.994902e-05
11:10:31;-625;-625.0238;2.0416853000000002e-05;7.230180149899392e-10;-2.041575e-05
11:10:51;-650;-650.0522;2.0902500499999997e-05;4.691601405704529e-10;-2.090533e-05
11:11:11;-675;-675.0638;2.1418456000000005e-05;4.6283009841625955e-10;-2.142129e-05
11:11:31;-700;-700.0447;2.1966263999999998e-05;8.591671548656789e-10;-2.197364e-05
11:11:51;-725;-725.0134;2.25361895e-05;8.686231849887385e-10;-2.255198e-05
11:12:11;-750;-749.9847;2.3129503e-05;1.197175028974439e-09;-2.313056e-05
11:12:31;-775;-775.0062;2.3744439000000003e-05;5.224571274276336e-10;-2.375905e-05
11:12:51;-800;-800.0098;2.4405010999999998e-05;1.7479939788226031e-09;-2.441867e-05
11:13:11;-825;-825.0373;2.5101756e-05;8.450962667056952e-10;-2.510493e-05
11:13:30;-850;-850.0164;2.5843705000000005e-05;2.118548500742883e-09;-2.586491e-05
11:13:50;-875;-874.9821;2.6612031e-05;1.316539384143108e-09;-2.661714e-05
11:14:10;-900;-899.9489;2.7458328000000004e-05;1.7277380588502877e-09;-2.745276e-05
