time (27.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:46:08;-25;-25.04065;5.02251935e-06;6.26069466093817e-10;-5.022854e-06
11:46:28;-50;-50.07576;7.0779292500000005e-06;2.1570165593941317e-10;-7.080842e-06
11:46:48;-75;-75.10323;8.67089905e-06;6.130116046006124e-10;-8.66759e-06
11:47:07;-100;-100.0807;1.0035287999999999e-05;8.91890576248044e-10;-1.004288e-05
11:47:27;-125;-125.0234;1.12302395e-05;5.292336322457593e-10;-1.124116e-05
11:47:47;-150;-150.0054;1.2336680999999998e-05;4.6357032907642783e-10;-1.234485e-05
11:48:07;-175;-175.0396;1.3392180499999999e-05;3.7896403193444056e-10;-1.33918e-05
11:48:27;-200;-200.0687;1.4359144000000002e-05;3.5785080690137046e-10;-1.436605e-05
11:48:46;-225;-225.0816;1.5257808e-05;1.0265494630070176e-09;-1.525163e-05
11:49:06;-250;-250.0598;1.60722785e-05;5.852389576061803e-10;-1.607623e-05
11:49:26;-275;-275.0309;1.67933955e-05;1.0920756555752146e-09;-1.67967e-05
11:49:45;-300;-300.0077;1.7434062499999997e-05;1.2333991395732894e-09;-1.743971e-05
11:50:06;-325;-325.0424;1.8005861e-05;1.978745296899016e-09;-1.801728e-05
11:50:25;-350;-350.0529;1.85463625e-05;8.315848949446181e-10;-1.854955e-05
11:50:45;-375;-375.0858;1.9069031999999997e-05;4.0225464571590294e-10;-1.907318e-05
11:51:05;-400;-400.062;1.9564108499999998e-05;1.3782532922144142e-09;-1.956842e-05
11:51:25;-425;-425.0344;2.0058016999999997e-05;5.063452873287782e-10;-2.005099e-05
11:51:44;-450;-449.9889;2.0521244499999998e-05;1.0987377928787438e-09;-2.052266e-05
11:52:04;-475;-475.0209;2.1002053499999996e-05;1.7287594215217109e-09;-2.10163e-05
11:52:24;-500;-500.0513;2.15003665e-05;1.6505690344545112e-09;-2.149785e-05
11:52:43;-525;-525.0846;2.1982565e-05;9.581105103275487e-10;-2.198481e-05
11:53:03;-550;-550.0663;2.2489107e-05;6.439771346872594e-10;-2.249194e-05
11:53:23;-575;-575.0219;2.3038340499999997e-05;2.2726172659513517e-09;-2.301953e-05
11:53:43;-600;-599.9973;2.3607437e-05;4.6550247045537284e-10;-2.360628e-05
11:54:03;-625;-625.0257;2.4153683e-05;1.3280724942562106e-09;-2.417684e-05
11:54:22;-650;-650.0536;2.47077515e-05;8.79344151910939e-10;-2.470815e-05
11:54:42;-675;-675.0659;2.54113995e-05;2.5035667032256057e-09;-2.539793e-05
11:55:01;-700;-700.0459;2.6158923e-05;1.2925084332413723e-09;-2.615824e-05
11:55:21;-725;-725.015;2.6863153000000002e-05;3.099244190121207e-09;-2.686672e-05
11:55:41;-750;-749.9846;2.7603795999999997e-05;1.9316775610851195e-09;-2.760503e-05
11:56:01;-775;-775.0057;2.8449836499999996e-05;1.9962316091826527e-09;-2.843438e-05
11:56:21;-800;-800.0119;2.9342999999999997e-05;8.05995347381072e-10;-2.934539e-05
11:56:41;-825;-825.0385;3.0257967e-05;2.194279278031885e-09;-3.026377e-05
11:57:01;-850;-850.0173;3.1215090499999996e-05;2.2762130255095102e-09;-3.121321e-05
11:57:20;-875;-874.9822;3.2239165000000006e-05;2.7464674128778306e-09;-3.226644e-05
11:57:40;-900;-899.9493;3.3365778000000005e-05;1.8968920106320534e-09;-3.336053e-05
