time (15.04.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
10:06:17;-25;-25.03734;2.2262107499999994e-06;5.719274555177484e-10;-2.231092e-06
10:06:37;-50;-50.07051;2.979071e-06;7.565935335436131e-10;-2.977056e-06
10:06:56;-75;-75.10006;3.4260015000000003e-06;5.592766779510949e-10;-3.427763e-06
10:07:16;-100;-100.0746;3.6787180000000005e-06;4.399356032421025e-10;-3.681364e-06
10:07:36;-125;-125.0271;3.84273385e-06;3.6465501007801245e-10;-3.843664e-06
10:07:56;-150;-150.0063;3.975032349999999e-06;6.382482599858805e-10;-3.978846e-06
10:08:16;-175;-175.0412;4.08672505e-06;6.598562702399787e-10;-4.086329e-06
10:08:35;-200;-200.0724;4.1730324e-06;1.637673760857153e-09;-4.167639e-06
10:08:55;-225;-225.0854;4.2754071e-06;5.587859111502511e-10;-4.280394e-06
10:09:14;-250;-250.061;4.3560849499999995e-06;5.754096126890596e-10;-4.358359e-06
10:09:34;-275;-275.0337;4.4401718000000005e-06;4.948873639526494e-10;-4.44546e-06
10:09:54;-300;-300.0107;4.518750599999999e-06;9.422227852265118e-10;-4.522099e-06
10:10:14;-325;-325.0421;4.5935121499999995e-06;1.3660579440034583e-09;-4.584092e-06
10:10:34;-350;-350.0562;4.68669525e-06;3.817206562068618e-10;-4.691399e-06
10:10:53;-375;-375.0903;4.78629185e-06;7.775248107777723e-10;-4.788859e-06
10:11:13;-400;-400.0651;4.87555355e-06;9.18086369779552e-10;-4.884685e-06
10:11:33;-425;-425.0355;4.95173795e-06;2.366193493223875e-09;-4.933063e-06
10:11:53;-450;-449.9895;5.03309365e-06;3.6754054385196213e-10;-5.035043e-06
10:12:13;-475;-475.0233;5.1153859e-06;7.406150312409102e-10;-5.117317e-06
10:12:33;-500;-500.055;5.1836102e-06;8.039933009671203e-10;-5.177032e-06
10:12:53;-525;-525.0899;5.283447949999999e-06;1.0039504506573002e-09;-5.276428e-06
10:13:12;-550;-550.0696;5.38268805e-06;4.4664404437427457e-10;-5.387209e-06
10:13:32;-575;-575.0248;5.469650549999999e-06;9.167286007183222e-10;-5.472409e-06
10:13:52;-600;-599.9998;5.5498347e-06;8.668399480296196e-10;-5.546413e-06
10:14:12;-625;-625.0294;5.6428066e-06;8.884727103293681e-10;-5.648614e-06
10:14:31;-650;-650.0566;5.767628499999999e-06;8.809472926912183e-10;-5.757231e-06
10:14:51;-675;-675.07;5.8586622e-06;1.018314756349922e-09;-5.855789e-06
10:15:11;-700;-700.051;5.961937e-06;4.6047084598265764e-10;-5.964847e-06
10:15:31;-725;-725.019;6.0933497e-06;1.1670269386350937e-09;-6.10801e-06
10:15:50;-750;-749.9887;6.19367825e-06;1.3954559109391455e-09;-6.19605e-06
10:16:10;-775;-775.0081;6.3105031e-06;5.548749043703417e-10;-6.312999e-06
10:16:30;-800;-800.0162;6.45600855e-06;9.023219976122604e-10;-6.465585e-06
10:16:50;-825;-825.0441;6.5867422500000006e-06;1.2575711627478611e-09;-6.581956e-06
10:17:09;-850;-850.0225;6.7029392500000005e-06;9.803784036661484e-10;-6.72171e-06
10:17:29;-875;-874.9847;6.8616906500000005e-06;5.953207298381245e-10;-6.855351e-06
10:17:49;-900;-899.9507;7.013921350000001e-06;9.580678819243512e-10;-7.011896e-06
