time (12.03.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
13:50:54;-25;-25.03745;2.36715895e-06;6.419171109847444e-10;-2.370118e-06
13:51:13;-50;-50.07007;3.29481925e-06;8.536840746874706e-10;-3.287817e-06
13:51:33;-75;-75.09856;3.992238899999999e-06;6.47978270854823e-10;-3.999905e-06
13:51:53;-100;-100.0744;4.532408399999999e-06;2.5582933133243288e-09;-4.513947e-06
13:52:13;-125;-125.0281;4.8773018e-06;1.6548593197006136e-09;-4.869915e-06
13:52:32;-150;-150.0085;5.1548881e-06;1.2083728933983947e-09;-5.144548e-06
13:52:52;-175;-175.0417;5.3728238999999995e-06;5.349948686669787e-10;-5.369244e-06
13:53:12;-200;-200.0739;5.598020250000001e-06;7.13194594325397e-10;-5.590573e-06
13:53:32;-225;-225.0867;5.7852416e-06;1.7760377901384978e-09;-5.78332e-06
13:53:52;-250;-250.0631;5.95433065e-06;1.1973593200769046e-09;-5.952202e-06
13:54:12;-275;-275.0359;6.1004142e-06;2.8140458112831192e-09;-6.09989e-06
13:54:32;-300;-300.0129;6.2843315e-06;1.7034112341123027e-09;-6.289903e-06
13:54:52;-325;-325.0471;6.3969576e-06;1.4567552615315897e-09;-6.391699e-06
13:55:12;-350;-350.058;6.559158749999999e-06;5.364493150277563e-09;-6.529951e-06
13:55:32;-375;-375.09;6.656873949999999e-06;9.03090971262025e-10;-6.656796e-06
13:55:52;-400;-400.067;6.808489700000001e-06;2.4901926332113674e-09;-6.813108e-06
13:56:12;-425;-425.0398;6.976590899999999e-06;2.2122991320117636e-09;-6.973689e-06
13:56:31;-450;-449.993;7.08591505e-06;2.5929092294900952e-09;-7.081948e-06
13:56:51;-475;-475.0254;7.228444699999999e-06;1.5515364032145615e-09;-7.253257e-06
13:57:11;-500;-500.0573;7.347717850000002e-06;1.496229713772252e-09;-7.364237e-06
13:57:30;-525;-525.0916;7.527905199999999e-06;1.7595236295656925e-09;-7.534059e-06
13:57:50;-550;-550.0727;7.654712750000001e-06;1.5438198824263892e-09;-7.651534e-06
13:58:10;-575;-575.0287;7.80553895e-06;1.66243962367812e-09;-7.810157e-06
13:58:30;-600;-600.0039;8.030371899999999e-06;8.430453418381478e-09;-7.996658e-06
13:58:51;-625;-625.0321;8.144671899999999e-06;2.2902346712728053e-09;-8.171666e-06
13:59:11;-650;-650.0605;8.321213900000001e-06;2.238825851758e-09;-8.319389e-06
13:59:31;-675;-675.072;8.520979850000001e-06;1.7940167255003518e-09;-8.514136e-06
13:59:51;-700;-700.0543;8.706482449999998e-06;2.544555620805913e-09;-8.703126e-06
14:00:11;-725;-725.0219;8.8858938e-06;2.928718419035906e-09;-8.891602e-06
14:00:31;-750;-749.9929;9.085310399999998e-06;1.7278283051275786e-09;-9.082238e-06
14:00:51;-775;-775.0142;9.226342149999999e-06;1.0239494452242121e-09;-9.244279e-06
14:01:11;-800;-800.0196;9.447815399999999e-06;2.458466687185294e-09;-9.444052e-06
14:01:31;-825;-825.047;9.669130299999999e-06;5.249000131501222e-09;-9.641571e-06
14:01:51;-850;-850.0256;9.8870677e-06;2.3137778243600066e-09;-9.870183e-06
14:02:11;-875;-875.0015;1.0178124500000002e-05;1.5003623687296307e-09;-1.017264e-05
14:02:31;-900;-899.9451;1.04047445e-05;1.700193588242236e-09;-1.039664e-05
