time (05.12.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:30:56;-25;-25.03887;4.681774599999999e-06;2.989995016718164e-10;-4.683874e-06
11:31:16;-50;-50.07283;6.83767765e-06;6.151238748211661e-10;-6.832705e-06
11:31:36;-75;-75.10246;8.5240981e-06;9.907453277709315e-10;-8.519912e-06
11:31:56;-100;-100.078;9.9729683e-06;8.687018018284356e-10;-9.974144e-06
11:32:16;-125;-125.0219;1.1291612000000002e-05;4.980921601470385e-10;-1.128543e-05
11:32:36;-150;-150.0024;1.2572062e-05;6.241452555295137e-10;-1.257387e-05
11:32:56;-175;-175.0375;1.3822546499999999e-05;7.190414713352389e-10;-1.3828e-05
11:33:15;-200;-200.0678;1.501382e-05;6.531091026773519e-10;-1.501705e-05
11:33:35;-225;-225.0802;1.6183223500000002e-05;1.096180248636053e-09;-1.618084e-05
11:33:54;-250;-250.0575;1.7331929000000002e-05;1.5310061887529965e-09;-1.734443e-05
11:34:14;-275;-275.0291;1.84564565e-05;1.4654769317529206e-09;-1.847003e-05
11:34:34;-300;-300.0058;1.9554753499999997e-05;1.2561658479277708e-09;-1.956635e-05
11:34:54;-325;-325.0394;2.0704705e-05;8.406751750825874e-10;-2.071565e-05
11:35:14;-350;-350.0517;2.1884500499999995e-05;6.710955502013433e-10;-2.189457e-05
11:35:34;-375;-375.0834;2.3091256499999998e-05;1.3351672694835178e-09;-2.309792e-05
11:35:53;-400;-400.0613;2.4290937e-05;9.388932580436888e-10;-2.430402e-05
11:36:13;-425;-425.0314;2.5507937e-05;1.47933229870771e-09;-2.551588e-05
11:36:32;-450;-449.9854;2.6788667000000003e-05;7.634065430686404e-10;-2.678483e-05
11:36:52;-475;-475.0189;2.8103946000000003e-05;6.630981827753971e-10;-2.810939e-05
11:37:12;-500;-500.0515;2.93985415e-05;1.147766151051665e-09;-2.940049e-05
11:37:32;-525;-525.0845;3.0791556999999994e-05;1.2589124473132093e-09;-3.077938e-05
11:37:52;-550;-550.0662;3.2238706499999995e-05;7.315320481700759e-10;-3.224596e-05
11:38:12;-575;-575.0211;3.3645258999999996e-05;1.5939019574615842e-09;-3.366884e-05
11:38:31;-600;-599.9965;3.5009736e-05;1.4015593815460837e-09;-3.500699e-05
11:38:51;-625;-625.024;3.6372832000000006e-05;1.532146957703602e-09;-3.638826e-05
11:39:11;-650;-650.0537;3.7911100000000004e-05;3.0827013316244554e-09;-3.78842e-05
11:39:31;-675;-675.0648;3.9460351499999996e-05;9.089698221063021e-10;-3.946151e-05
11:39:51;-700;-700.0464;4.0954399e-05;9.271259083856746e-10;-4.095404e-05
11:40:11;-725;-725.015;4.2600344e-05;1.9665664956975118e-08;-4.259118e-05
11:40:31;-750;-749.9844;4.4196372500000004e-05;3.916632665632429e-09;-4.417784e-05
11:40:51;-775;-775.0051;4.5977044499999995e-05;1.4219097149606872e-09;-4.600309e-05
11:41:10;-800;-800.0117;4.7838718499999994e-05;1.8937889632955296e-09;-4.78182e-05
11:41:30;-825;-825.0389;4.9840936499999996e-05;3.565781420320296e-09;-4.986794e-05
11:41:50;-850;-850.0166;5.20424545e-05;1.8472767084278497e-09;-5.20558e-05
11:42:10;-875;-874.9839;5.456161000000001e-05;4.267928713088047e-09;-5.452638e-05
11:42:29;-900;-899.9483;5.7184818000000004e-05;2.9222672362396475e-09;-5.720947e-05
