time (24.04.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
12:39:56;-25;-25.04099;4.0399071e-06;8.527327304026868e-10;-4.046095e-06
12:40:15;-50;-50.07401;5.658614949999999e-06;7.814625086176511e-10;-5.664819e-06
12:40:35;-75;-75.10126;6.899658500000001e-06;2.076952811813503e-09;-6.888742e-06
12:40:56;-100;-100.0784;8.006120050000002e-06;1.7577675421894958e-09;-8.01725e-06
12:41:15;-125;-125.0329;8.96842245e-06;1.4013020899773627e-09;-8.986686e-06
12:41:35;-150;-150.0139;9.794358899999998e-06;3.399982894736365e-09;-9.801544e-06
12:41:56;-175;-174.8757;1.0443442500000002e-05;1.691554000763759e-09;-1.046531e-05
12:42:16;-200;-200.0689;1.1018946e-05;4.409662651496174e-09;-1.104548e-05
12:42:36;-225;-225.0828;1.1536721e-05;6.113958410882427e-09;-1.151585e-05
12:42:56;-250;-250.0575;1.1913603e-05;3.6854341060450465e-09;-1.193539e-05
12:43:16;-275;-275.0302;1.2273654500000001e-05;3.1947530010158817e-09;-1.226471e-05
12:43:36;-300;-300.0081;1.26229005e-05;4.028683251075957e-09;-1.266278e-05
12:43:56;-325;-325.0414;1.2932932500000002e-05;2.931643214564158e-09;-1.294574e-05
12:44:16;-350;-350.055;1.32530855e-05;3.4373970148209607e-09;-1.324983e-05
12:44:36;-375;-375.086;1.3492183e-05;2.7099524073311323e-09;-1.351716e-05
12:44:56;-400;-400.0609;1.3805261999999999e-05;3.3923893939228243e-09;-1.383147e-05
12:45:16;-425;-425.0324;1.40970985e-05;4.0821452861822355e-09;-1.414122e-05
12:45:36;-450;-449.9873;1.4413335999999998e-05;6.0786135508025325e-09;-1.442965e-05
12:45:56;-475;-475.0201;1.4688776500000001e-05;6.5091744589847845e-09;-1.467379e-05
12:46:16;-500;-500.0517;1.5078292e-05;9.345040171128225e-09;-1.515673e-05
12:46:36;-525;-525.0846;1.5399939e-05;9.57990419837278e-09;-1.535051e-05
12:46:56;-550;-550.0675;1.57206625e-05;2.8381767805229435e-09;-1.572822e-05
12:47:16;-575;-575.0225;1.60069255e-05;4.300207057514817e-09;-1.603367e-05
12:47:36;-600;-599.9972;1.6383833500000002e-05;3.8155472264801455e-09;-1.639329e-05
12:47:55;-625;-625.0256;1.6748995500000003e-05;2.7036267748157194e-09;-1.677014e-05
12:48:15;-650;-650.0527;1.7096412999999997e-05;1.2618465934890795e-08;-1.707106e-05
12:48:35;-675;-675.0663;1.7500105499999997e-05;2.845588118034553e-09;-1.749946e-05
12:48:54;-700;-700.0462;1.7933497500000004e-05;2.975281992937793e-09;-1.794419e-05
12:49:14;-725;-725.0138;1.8371657500000003e-05;2.916876229376128e-09;-1.840367e-05
12:49:34;-750;-749.9841;1.8903276e-05;5.1423940630798775e-09;-1.887234e-05
12:49:54;-775;-775.0054;1.93593555e-05;3.497323582041003e-09;-1.934174e-05
12:50:14;-800;-800.0126;1.98997475e-05;8.795421845340938e-09;-1.990221e-05
12:50:34;-825;-825.0392;2.0382122e-05;6.732011942948412e-09;-2.036441e-05
12:50:54;-850;-850.0189;2.10318595e-05;2.703538003709256e-09;-2.105271e-05
12:51:14;-875;-874.9822;2.16092245e-05;7.730382282752874e-09;-2.155824e-05
12:51:34;-900;-899.9473;2.22048815e-05;2.4921211121251644e-09;-2.223683e-05
