time (02.04.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
12:04:16;-25;-25.03871;3.7372931e-06;1.9914343951031103e-10;-3.737963e-06
12:04:36;-50;-50.07356;5.2692045e-06;6.287671846558219e-10;-5.276646e-06
12:04:55;-75;-75.10148;6.46198175e-06;6.475665211968453e-10;-6.457625e-06
12:05:15;-100;-100.0772;7.487105550000001e-06;6.036798508936594e-10;-7.493722e-06
12:05:35;-125;-125.0324;8.40169625e-06;4.3057712360855316e-10;-8.399881e-06
12:05:56;-150;-150.0119;9.2063695e-06;4.936084911141612e-10;-9.208006e-06
12:06:16;-175;-175.0475;9.8764819e-06;8.896572314661355e-10;-9.88297e-06
12:06:36;-200;-200.0681;1.04542695e-05;1.0896316980980258e-09;-1.046336e-05
12:06:56;-225;-225.0809;1.09174865e-05;7.454814803199136e-10;-1.092003e-05
12:07:16;-250;-250.059;1.1324297000000001e-05;1.4944544322259855e-09;-1.131958e-05
12:07:36;-275;-275.0304;1.1706310499999999e-05;8.062290229829321e-10;-1.169741e-05
12:07:55;-300;-300.008;1.2066100999999999e-05;1.1944182475163149e-09;-1.207469e-05
12:08:15;-325;-325.0407;1.23501315e-05;4.844348640426405e-10;-1.235114e-05
12:08:35;-350;-350.0533;1.26248945e-05;6.522282863384464e-10;-1.262918e-05
12:08:54;-375;-375.0842;1.29449145e-05;9.674914663706512e-10;-1.295625e-05
12:09:14;-400;-400.0604;1.3227411000000002e-05;7.493186571813201e-10;-1.323979e-05
12:09:34;-425;-425.0336;1.34902775e-05;6.430143369319543e-10;-1.349495e-05
12:09:53;-450;-449.9864;1.3818698000000002e-05;1.2882943374865344e-09;-1.38306e-05
12:10:13;-475;-475.0194;1.4165027500000001e-05;4.922579989192629e-10;-1.416362e-05
12:10:32;-500;-500.051;1.4495924000000002e-05;1.6790956494494447e-09;-1.450789e-05
12:10:52;-525;-525.0861;1.4810908000000003e-05;8.184062560855384e-10;-1.481573e-05
12:11:12;-550;-550.0671;1.5109922499999999e-05;1.3153385258175502e-09;-1.51175e-05
12:11:32;-575;-575.0212;1.5457591999999997e-05;2.402214561607625e-09;-1.544202e-05
12:11:51;-600;-599.9951;1.5795346e-05;1.1501263843595314e-09;-1.579158e-05
12:12:11;-625;-625.0237;1.6130847e-05;5.582974565588412e-10;-1.613709e-05
12:12:31;-650;-650.053;1.65263945e-05;1.1959587106167423e-09;-1.65363e-05
12:12:50;-675;-675.0651;1.6938943e-05;1.1134215508961567e-09;-1.694712e-05
12:13:10;-700;-700.0443;1.72727925e-05;7.826655974936505e-10;-1.728338e-05
12:13:30;-725;-725.0145;1.7605605e-05;1.311770463915109e-09;-1.761586e-05
12:13:50;-750;-749.9835;1.8002205999999998e-05;1.5975774472620113e-09;-1.799262e-05
12:14:09;-775;-775.0068;1.84331285e-05;1.0731237754797036e-09;-1.844507e-05
12:14:29;-800;-800.0112;1.8884348e-05;4.666859757909645e-10;-1.889211e-05
12:14:49;-825;-825.0381;1.93652465e-05;1.2453255146748128e-09;-1.93638e-05
12:15:09;-850;-850.0157;1.9855463000000002e-05;3.8929301303785174e-10;-1.986673e-05
12:15:28;-875;-874.9814;2.04161805e-05;2.0628934139940294e-09;-2.043239e-05
12:15:48;-900;-899.9463;2.0950943e-05;1.1993725651356108e-09;-2.095845e-05
