time (01.04.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:03:11;-25;-25.04301;4.0599535499999995e-06;3.2667504859569395e-10;-4.059875e-06
08:03:30;-50;-50.07976;5.753532699999999e-06;4.293917506194242e-10;-5.755987e-06
08:03:50;-75;-75.11022;7.0353657e-06;7.184017264038196e-10;-7.040401e-06
08:04:10;-100;-100.0836;8.160292800000001e-06;7.295825984767081e-10;-8.169955e-06
08:04:30;-125;-125.0345;9.153223150000001e-06;9.618006297434818e-10;-9.155028e-06
08:04:50;-150;-150.0134;1.00003097e-05;2.004360339484927e-09;-1.000837e-05
08:05:10;-175;-175.041;1.07233965e-05;1.33685400754907e-09;-1.071755e-05
08:05:30;-200;-200.0733;1.1330781999999999e-05;8.993085121358546e-10;-1.133128e-05
08:05:50;-225;-225.0892;1.1834616499999999e-05;1.0632140600556322e-09;-1.183261e-05
08:06:10;-250;-250.0636;1.2242148e-05;1.9511288527414127e-09;-1.224953e-05
08:06:30;-275;-275.0331;1.2632424e-05;1.2682670065881105e-09;-1.264518e-05
08:06:50;-300;-300.0083;1.29998055e-05;1.2664549883434052e-09;-1.301136e-05
08:07:10;-325;-325.044;1.3346476e-05;6.852555727610231e-10;-1.334875e-05
08:07:30;-350;-350.0577;1.3662641499999999e-05;1.426558669491032e-09;-1.367113e-05
08:07:50;-375;-375.0929;1.3978577e-05;1.1814872195669644e-09;-1.397562e-05
08:08:10;-400;-400.0671;1.4309467499999999e-05;1.4347117959715798e-09;-1.429831e-05
08:08:30;-425;-425.0357;1.4650901499999998e-05;6.667234340414114e-10;-1.464744e-05
08:08:50;-450;-449.9889;1.4997701e-05;1.4546169427034906e-09;-1.500879e-05
08:09:10;-475;-475.0218;1.5284623499999997e-05;1.5625398034930814e-09;-1.529358e-05
08:09:30;-500;-500.0564;1.56260975e-05;1.0970767691916764e-09;-1.564213e-05
08:09:50;-525;-525.0916;1.5988226999999998e-05;1.9936007749797408e-09;-1.597742e-05
08:10:10;-550;-550.0716;1.6336666e-05;1.5061738611461603e-09;-1.635368e-05
08:10:30;-575;-575.024;1.66716505e-05;9.078429035355988e-10;-1.668756e-05
08:10:50;-600;-599.9978;1.7050231e-05;1.4860474252189353e-09;-1.705011e-05
08:11:10;-625;-625.0276;1.7390724500000003e-05;1.7446792649367583e-09;-1.739246e-05
08:11:30;-650;-650.0579;1.779198e-05;2.70346694080029e-09;-1.780105e-05
08:11:50;-675;-675.0707;1.8205512499999998e-05;2.2394894367913454e-09;-1.820368e-05
08:12:10;-700;-700.0502;1.8593447e-05;2.412775279631357e-09;-1.858998e-05
08:12:30;-725;-725.0168;1.9029896e-05;4.625226232304711e-09;-1.901193e-05
08:12:50;-750;-749.9837;1.9459039e-05;1.54486810116585e-09;-1.946533e-05
08:13:10;-775;-775.0084;1.99497605e-05;1.994017862883815e-09;-1.994411e-05
08:13:30;-800;-800.0151;2.0441245e-05;1.527393940671517e-09;-2.045149e-05
08:13:50;-825;-825.0432;2.09389695e-05;1.8854180537748004e-09;-2.09491e-05
08:14:10;-850;-850.0206;2.1502415500000002e-05;9.23867543265744e-10;-2.150458e-05
08:14:30;-875;-874.9849;2.2093268e-05;2.4302131182264403e-09;-2.209137e-05
08:14:50;-900;-899.9459;2.2717752000000003e-05;4.279360618129779e-09;-2.274367e-05
