time (02.12.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
13:01:34;-25;-25.03943;5.02500725e-06;3.421564983673395e-10;-5.029153e-06
13:01:54;-50;-50.07455;7.144644899999999e-06;5.528201692232379e-10;-7.148401e-06
13:02:14;-75;-75.10257;8.79504205e-06;7.096637072409568e-10;-8.793835e-06
13:02:34;-100;-100.0836;1.02300175e-05;1.4477981342369622e-09;-1.025029e-05
13:02:54;-125;-125.0209;1.1507270999999998e-05;6.034893951015521e-10;-1.151998e-05
13:03:14;-150;-150.002;1.27340545e-05;8.614793889002279e-10;-1.274996e-05
13:03:33;-175;-175.0367;1.3909125499999997e-05;2.848249242956605e-10;-1.390659e-05
13:03:53;-200;-200.0686;1.50985915e-05;7.453969663877172e-10;-1.510219e-05
13:04:13;-225;-225.0809;1.6243188999999997e-05;2.119105459858059e-09;-1.625197e-05
13:04:33;-250;-250.0577;1.7372953e-05;1.3194341779717441e-09;-1.738354e-05
13:04:52;-275;-275.029;1.8507495999999998e-05;6.748427224175666e-10;-1.851726e-05
13:05:12;-300;-300.0067;1.9684722e-05;6.80080362898334e-10;-1.968562e-05
13:05:32;-325;-325.0403;2.0909624000000003e-05;1.3750700709417577e-09;-2.089568e-05
13:05:52;-350;-350.0521;2.21248825e-05;4.5302642031122026e-10;-2.212983e-05
13:06:11;-375;-375.085;2.3337523e-05;9.536551001279445e-10;-2.334395e-05
13:06:31;-400;-400.0602;2.4574087000000004e-05;1.99009862820916e-09;-2.459316e-05
13:06:51;-425;-425.0317;2.5756148e-05;1.2082211304227845e-09;-2.576911e-05
13:07:10;-450;-449.9857;2.6969685999999995e-05;8.941975173304843e-10;-2.696733e-05
13:07:30;-475;-475.02;2.8224713999999992e-05;2.6786067647193087e-09;-2.825914e-05
13:07:49;-500;-500.0502;2.9530018e-05;1.281168724251462e-09;-2.953855e-05
13:08:09;-525;-525.084;3.0904297999999996e-05;8.196250972244249e-10;-3.091508e-05
13:08:29;-550;-550.0668;3.223372149999999e-05;2.5260474337390875e-09;-3.219182e-05
13:08:49;-575;-575.021;3.3692145999999995e-05;1.1937806067280684e-08;-3.355532e-05
13:09:08;-600;-599.9956;3.4846907e-05;1.3136348617482447e-09;-3.486927e-05
13:09:28;-625;-625.0247;3.6175364500000006e-05;1.3504050272048557e-09;-3.61924e-05
13:09:48;-650;-650.0539;3.7557290999999996e-05;8.709385454783638e-10;-3.755251e-05
13:10:08;-675;-675.0663;3.90242845e-05;2.0311366860700753e-09;-3.902334e-05
13:10:28;-700;-700.0471;4.0463376e-05;1.6680502690266384e-09;-4.046612e-05
13:10:48;-725;-725.0155;4.20263345e-05;2.64276724996747e-09;-4.199234e-05
13:11:07;-750;-749.9855;4.3715110000000005e-05;7.302249653358365e-10;-4.372342e-05
13:11:27;-775;-775.0067;4.54708545e-05;2.5007184442676156e-09;-4.547022e-05
13:11:46;-800;-800.0131;4.7322268999999994e-05;8.855608110120241e-10;-4.73298e-05
13:12:06;-825;-825.039;4.9452127500000006e-05;1.1399861750806601e-08;-4.943035e-05
13:12:26;-850;-850.0195;5.16568905e-05;1.8382564395372147e-09;-5.166344e-05
13:12:46;-875;-874.9831;5.415964450000001e-05;6.78303941828583e-10;-5.418932e-05
13:13:05;-900;-899.9492;5.6863051999999996e-05;1.5135431278956075e-09;-5.6884e-05
