time (28.10.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
07:17:33;-25;-25.04513;6.540528849999999e-06;1.0713259057704965e-09;-6.5367e-06
07:17:53;-50;-50.0839;9.5723022e-06;1.8153900360528267e-09;-9.55791e-06
07:18:13;-75;-75.10235;1.18361405e-05;3.6836630885570563e-10;-1.187978e-05
07:18:33;-100;-100.0758;1.3813204499999999e-05;6.018415385298721e-10;-1.381515e-05
07:18:52;-125;-125.0266;1.5615549e-05;5.911116222846432e-10;-1.561789e-05
07:19:12;-150;-150.0055;1.736191e-05;2.7010595143387764e-09;-1.734265e-05
07:19:32;-175;-175.0409;1.89702265e-05;3.1384766428157377e-09;-1.896589e-05
07:19:52;-200;-200.0738;2.0493119e-05;2.1624393517506885e-09;-2.050743e-05
07:20:11;-225;-225.0884;2.1970187e-05;1.8466304584295857e-09;-2.199492e-05
07:20:31;-250;-250.0641;2.3516631e-05;9.565536838045718e-10;-2.351691e-05
07:20:50;-275;-275.034;2.5099823e-05;3.927992241591097e-09;-2.508723e-05
07:21:10;-300;-300.0107;2.6616712499999996e-05;2.9307658448774393e-09;-2.664849e-05
07:21:30;-325;-325.045;2.8123264999999996e-05;3.186478895269904e-09;-2.813005e-05
07:21:50;-350;-350.0594;2.9658677499999993e-05;2.4735823086163533e-09;-2.969348e-05
07:22:10;-375;-375.0933;3.1165315e-05;1.790117384419282e-09;-3.118906e-05
07:22:29;-400;-400.0677;3.27682265e-05;3.0407884894380837e-09;-3.273868e-05
07:22:49;-425;-425.0371;3.43823045e-05;4.236429302785689e-09;-3.442876e-05
07:23:08;-450;-449.9903;3.6107882e-05;1.2437904968280133e-09;-3.611981e-05
07:23:28;-475;-475.0251;3.7763761000000006e-05;1.129177111882846e-09;-3.779033e-05
07:23:48;-500;-500.0565;3.943356649999999e-05;2.4704614219817526e-09;-3.944669e-05
07:24:08;-525;-525.0926;4.11190495e-05;3.0140795008594066e-09;-4.115343e-05
07:24:27;-550;-550.0712;4.28008335e-05;5.271591708156003e-09;-4.280655e-05
07:24:47;-575;-575.027;4.4615149999999996e-05;3.839963932122247e-09;-4.460923e-05
07:25:07;-600;-600.0004;4.65663975e-05;3.8995349642619305e-09;-4.65716e-05
07:25:26;-625;-625.0299;4.8378783999999995e-05;6.196677432301734e-09;-4.83772e-05
07:25:46;-650;-650.0594;5.0428897999999995e-05;8.314239369900277e-09;-5.041135e-05
07:26:06;-675;-675.0725;5.2608381000000004e-05;2.048956185476004e-09;-5.263025e-05
07:26:26;-700;-700.0533;5.4902678499999996e-05;8.57461661752292e-09;-5.488066e-05
07:26:46;-725;-725.0201;5.727598450000001e-05;1.9789932383664167e-09;-5.727395e-05
07:27:06;-750;-749.9888;6.0119985500000004e-05;1.0492941424476519e-08;-6.004668e-05
07:27:25;-775;-775.0108;6.30357215e-05;2.1907225149478068e-09;-6.30375e-05
07:27:45;-800;-800.019;6.621250750000001e-05;3.2744384155916167e-09;-6.627294e-05
07:28:04;-825;-825.0479;6.966292900000001e-05;3.781923776333939e-09;-6.963792e-05
07:28:24;-850;-850.0261;7.340800299999999e-05;4.4259177635828885e-09;-7.341966e-05
07:28:44;-875;-874.9901;7.7713531e-05;6.603492973419352e-09;-7.770242e-05
07:29:04;-900;-899.955;8.23386935e-05;2.8403085461791994e-09;-8.238677e-05
