Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.795351e-05,1698.1796088888887,1698.1796088888887,561.44,3.5800145595951953,1.0033075285275186,1.0033075285275186
1,-850.0,-1.703596e-05,1652.0161955555557,1652.0161955555557,548.2,2.7822500797327403,1.0365715736021384,1.0365715736021384
2,-800.0,-1.619949e-05,1558.1799822222226,1558.1799822222226,522.2,2.721554965841911,0.5449450144739433,0.5449450144739433
3,-750.0,-1.533907e-05,1459.703022222222,1459.703022222222,495.76,2.83757151429976,0.5020674058331254,0.5020674058331254
4,-700.0,-1.466449e-05,1353.773564444444,1353.773564444444,464.92,2.871811498679991,0.5669500154334626,0.5669500154334626
5,-650.0,-1.39011e-05,1253.703591111111,1253.703591111111,435.76,3.031236971971494,0.5105730114293178,0.5105730114293178
6,-600.0,-1.308721e-05,1152.966791111111,1152.966791111111,404.64,3.1703024430244686,0.5669937565793848,0.5669937565793848
7,-550.0,-1.217594e-05,1056.2315022222224,1056.2315022222224,374.16,3.270815475771021,0.5185234420930283,0.5185234420930283
8,-500.0,-1.128329e-05,971.7761955555554,971.7761955555554,345.68,3.186654106592325,0.4832582746316923,0.4832582746316923
9,-450.0,-1.055654e-05,885.922951111111,885.922951111111,317.8,3.274958968737407,0.5717114908762984,0.5717114908762984
10,-400.0,-1.049981e-05,803.1380977777777,803.1380977777777,288.84,3.1974202255514417,0.5736612073340848,0.5736612073340848
11,-350.0,-9.266273e-06,728.4990222222222,728.4990222222222,262.68,3.0107985077585298,0.4406445315671128,0.4406445315671128
12,-300.0,-8.343762e-06,639.7826311111111,639.7826311111111,230.24,2.967648867785597,0.4794374837244151,0.4794374837244151
13,-250.0,-7.424453e-06,547.5363199999999,547.5363199999999,196.84,3.1360076530518866,0.4374810222169627,0.4374810222169627
14,-200.0,-6.497608e-06,463.6114311111112,463.6114311111112,166.2,3.0449181383307833,0.40036973312177365,0.40036973312177365
15,-150.0,-5.435106e-06,373.8878755555556,373.8878755555556,133.08,2.801976119248611,0.4008961321838854,0.4008961321838854
16,-100.0,-4.273936e-06,283.32666666666665,283.32666666666665,98.12,2.5967257160594466,0.40115998205204734,0.40115998205204734
