Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.0001049862,1124.639213847013,1124.639213847013,321.4070351758794,1.3909769175243525,1.0346759823573588,1.0346759823573588
1,-800.0,-9.505943e-06,1096.861998883306,1096.861998883306,312.56281407035175,1.456763502788868,0.7330382672163824,0.7330382672163824
2,-700.0,-8.563189e-06,1077.7389704075936,1077.7389704075936,306.8542713567839,1.5080211975623907,0.7673145326443097,0.7673145326443097
3,-600.0,-7.841126e-06,1066.4765248464548,1066.4765248464548,303.43718592964825,1.3996048880392558,0.6347129785119939,0.6347129785119939
4,-500.0,-7.214272e-06,1026.067903964266,1026.067903964266,289.2462311557789,1.459020957217352,0.9711126661474367,0.9711126661474367
5,-400.0,-6.639994e-06,967.1609067560023,967.1609067560023,268.66331658291455,1.650522208917839,0.6392672300848665,0.6392672300848665
6,-350.0,-6.327684e-06,944.3758168620883,944.3758168620883,259.4170854271357,1.67893928122767,0.6281149253769619,0.6281149253769619
7,-300.0,-6.004092e-06,901.185661641541,901.185661641541,243.53768844221105,1.8720314768727062,0.5815403230190094,0.5815403230190094
8,-250.0,-5.628634e-06,840.045900614182,840.045900614182,219.41708542713567,1.9604931188479426,0.5605950794618842,0.5605950794618842
9,-200.0,-5.26243e-06,746.7308274706868,746.7308274706868,184.9246231155779,2.009238361996062,0.5714422706435959,0.5714422706435959
10,-150.0,-4.757935e-06,607.1544388609714,607.1544388609714,142.4321608040201,2.013142791299699,0.517011719990816,0.517011719990816
11,-100.0,-3.990522e-06,433.05126521496373,433.05126521496373,95.75879396984925,1.886646242931234,0.4792221191271131,0.4792221191271131
