Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-6.438675e-06,1382.7603260748183,1382.7603260748183,398.83417085427135,2.789284470944591,0.7730606544289234,0.7730606544289234
1,-800.0,-5.816196e-06,1360.982351758794,1360.982351758794,389.9899497487437,2.825305084119581,0.7124204958906794,0.7124204958906794
2,-700.0,-5.356421e-06,1329.8191580122834,1329.8191580122834,380.34170854271355,2.740610803934069,0.6738239308603559,0.6738239308603559
3,-600.0,-4.948585e-06,1303.9235466219989,1303.9235466219989,369.96984924623115,2.7096960657679485,0.7131028236147858,0.7131028236147858
4,-500.0,-4.616525e-06,1270.2381596873254,1270.2381596873254,358.19095477386935,2.5589148959409713,0.7076927639500208,0.7076927639500208
5,-400.0,-4.259773e-06,1232.2027738693469,1232.2027738693469,344.20100502512565,2.5063723628173977,0.8007054566275444,0.8007054566275444
6,-300.0,-4.048448e-06,1180.6791468453378,1180.6791468453378,323.65829145728645,2.4286505168033257,0.6007377226765125,0.6007377226765125
7,-200.0,-3.718278e-06,1080.8015901730878,1080.8015901730878,286.7537688442211,2.494600964836831,0.627504004334907,0.627504004334907
8,-100.0,-3.22644e-06,783.2752205471803,783.2752205471803,183.27638190954775,2.422449604668571,0.5960159247188465,0.5960159247188465
9,-50.0,-2.581399e-06,448.6824879955331,448.6824879955331,98.37185929648241,2.313007375827951,0.4143017258133473,0.4143017258133473
