Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.0001049864,1117.1692953657177,1117.1692953657177,330.61306532663315,3.0946424041210077,0.8188853727061685,0.8188853727061685
1,-850.0,-9.739751e-06,1115.3641273031828,1115.3641273031828,330.25125628140705,2.9215877383386664,0.6976110390995924,0.6976110390995924
2,-800.0,-9.261873e-06,1087.708783919598,1087.708783919598,322.5326633165829,3.146107226279441,0.9965505105468471,0.9965505105468471
3,-750.0,-8.866925e-06,1061.1496772752653,1061.1496772752653,311.75879396984925,3.573485615023489,0.6797091042583983,0.6797091042583983
4,-700.0,-8.432395e-06,1029.57825572306,1029.57825572306,302.3115577889447,3.8607486617905904,0.8359581143452613,0.8359581143452613
5,-650.0,-8.10402e-06,1020.2141552205471,1020.2141552205471,299.53768844221105,3.6450820159446664,1.0570071704688118,1.0570071704688118
6,-600.0,-7.807579e-06,1042.4133646007815,1042.4133646007815,306.8140703517588,2.9690891899161196,1.0215333219153768,1.0215333219153768
7,-550.0,-7.421986e-06,1015.9641228364044,1015.9641228364044,298.1708542713568,3.220115156288022,0.7559131409257345,0.7559131409257345
8,-500.0,-7.127523e-06,997.2677788944724,997.2677788944724,290.6934673366834,3.245641017210123,0.6236154807323884,0.6236154807323884
9,-450.0,-6.962272e-06,985.3875600223337,985.3875600223337,287.75879396984925,3.210208362240854,0.6421860695690189,0.6421860695690189
10,-400.0,-6.583676e-06,964.1333780011169,964.1333780011169,278.35175879396985,3.2706725820784985,0.6413960158887,0.6413960158887
11,-350.0,-6.313162e-06,938.8524489112227,938.8524489112227,269.9899497487437,3.0059585970713236,1.0600411760577382,1.0600411760577382
12,-300.0,-6.004699e-06,932.326843104411,932.326843104411,264.72361809045225,2.50867187776421,0.6291883356059301,0.6291883356059301
13,-250.0,-5.694086e-06,880.7352138470126,880.7352138470126,243.85929648241205,2.5162883131394107,0.5702493053761597,0.5702493053761597
14,-200.0,-5.3145e-06,780.9200491345614,780.9200491345614,207.31658291457288,2.962565762493425,0.5350529384707426,0.5350529384707426
15,-150.0,-4.810349e-06,659.5835175879396,659.5835175879396,165.30653266331657,2.8670575744688587,0.6542319941521957,0.6542319941521957
16,-100.0,-4.161134e-06,473.9923082077051,473.9923082077051,112.64321608040201,2.830525313395036,0.5369589532108618,0.5369589532108618
