Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-7.049684e-06,1277.5122188721384,1277.5122188721384,398.2713567839196,4.826377018463547,0.6561930850707879,0.6561930850707879
1,-800.0,-6.330336e-06,1244.2220524846452,1244.2220524846452,388.8643216080402,4.773672626807423,0.5626115570678901,0.5626115570678901
2,-700.0,-5.767712e-06,1222.7878056951427,1222.7878056951427,380.90452261306535,4.860196163949986,0.6413348110276238,0.6413348110276238
3,-600.0,-5.390642e-06,1290.613565605807,1290.613565605807,381.90954773869345,3.2448162216357717,5.255043049423596,5.255043049423596
4,-500.0,-4.925459e-06,1307.4029525404799,1307.4029525404799,374.99497487437185,2.50007960702277,0.7605943450332721,0.7605943450332721
5,-400.0,-4.599895e-06,1271.4688285873813,1271.4688285873813,361.1256281407035,2.404266198511945,0.6659734170969998,0.6659734170969998
6,-300.0,-4.288866e-06,1213.7750619765493,1213.7750619765493,339.85929648241205,2.3848623876391,0.8290796473602613,0.8290796473602613
7,-200.0,-3.966906e-06,1118.6563394751536,1118.6563394751536,303.79899497487435,2.653168299478429,0.6726693417325172,0.6726693417325172
8,-100.0,-3.44431e-06,821.371801228364,821.371801228364,198.83417085427135,2.7230095040339592,0.607123427319905,0.607123427319905
9,-75.0,-3.222335e-06,677.5557252931322,677.5557252931322,153.28643216080403,2.381064479378778,0.6307181448121154,0.6307181448121154
10,-50.0,-2.791581e-06,480.086048017867,480.086048017867,105.8894472361809,2.774474417715762,0.4812138347560736,0.4812138347560736
