Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.0001012816,929.9825777777776,929.9825777777776,277.28,2.7236333757376556,0.46226317698903874,0.46226317698903874
1,-850.0,-9.168606e-05,873.6620444444443,873.6620444444443,261.44,2.7669372469203313,0.4827973951876718,0.4827973951876718
2,-800.0,-8.14655e-05,814.1173866666666,814.1173866666666,243.56,2.8819082412719372,0.38530152763777037,0.38530152763777037
3,-750.0,-7.470665e-05,753.5205155555554,753.5205155555554,225.52,3.0143965593935964,0.45030691755734836,0.45030691755734836
4,-700.0,-6.80751e-05,702.3945422222222,702.3945422222222,210.64,2.9241402324042927,0.4146179504073577,0.4146179504073577
5,-650.0,-6.24566e-05,662.2516444444444,662.2516444444444,198.96,2.8692704368020405,0.5052391117085058,0.5052391117085058
6,-600.0,-5.710186e-05,613.2168533333332,613.2168533333332,183.92,2.7799139874783494,0.45438061930500495,0.45438061930500495
7,-550.0,-5.204944e-05,555.3397511111111,555.3397511111111,167.16,2.8124616782025713,0.39739155904472706,0.39739155904472706
8,-500.0,-4.728275e-05,497.08346666666665,497.08346666666665,151.68,2.6895910469809343,0.4845434964995389,0.4845434964995389
9,-450.0,-4.327242e-05,446.7030399999999,446.7030399999999,136.64,2.554384117986608,0.4137451350771379,0.4137451350771379
10,-400.0,-3.866942e-05,401.74922666666663,401.74922666666663,123.36,2.4883868938196354,0.4514336416351793,0.4514336416351793
11,-350.0,-3.445664e-05,368.88627555555547,368.88627555555547,111.96,2.2422833490181278,0.6620967808409872,0.6620967808409872
12,-300.0,-3.100621e-05,330.6723022222222,330.6723022222222,100.84,2.2091849902141862,0.41000965452047605,0.41000965452047605
13,-250.0,-2.70483e-05,280.0652444444445,280.0652444444445,85.44,2.202359228836092,0.457292749997198,0.457292749997198
14,-200.0,-2.329875e-05,231.53368888888886,231.53368888888886,71.6,2.320853823302063,0.40600861468692995,0.40600861468692995
15,-150.0,-1.957158e-05,183.08590222222222,183.08590222222222,56.2,2.261150761323114,0.43792194372970167,0.43792194372970167
16,-100.0,-1.526832e-05,130.86860444444443,130.86860444444443,40.88,2.3325808204541634,0.3773812925941083,0.3773812925941083
