Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-2.424996e-05,1044.8485628140704,1044.8485628140704,299.7788944723618,3.131005121862093,0.5877081859081796,0.5877081859081796
1,-850.0,-2.309001e-05,1020.658617532105,1020.658617532105,292.30150753768845,3.134812683033581,0.7346005970317185,0.7346005970317185
2,-800.0,-2.186849e-05,1009.0131725293135,1009.0131725293135,288.72361809045225,3.1055949282488484,0.5954210839855756,0.5954210839855756
3,-750.0,-2.074671e-05,978.8618112786155,978.8618112786155,279.95979899497485,3.096217378555117,1.0289545919827834,1.0289545919827834
4,-700.0,-1.975268e-05,965.5863495254048,965.5863495254048,276.30150753768845,3.1457663339100743,0.6693673455644168,0.6693673455644168
5,-650.0,-1.899409e-05,944.2795667225014,944.2795667225014,270.19095477386935,3.1809848463792414,0.6135965518436981,0.6135965518436981
6,-600.0,-1.804995e-05,929.3780725851481,929.3780725851481,264.964824120603,3.103697615164739,0.6490815116643359,0.6490815116643359
7,-550.0,-1.740069e-05,909.3526834170851,909.3526834170851,258.3718592964824,3.0823755590641784,0.6030044843055334,0.6030044843055334
8,-500.0,-1.658073e-05,881.5801139028474,881.5801139028474,249.68844221105527,3.07215203352748,0.5644694756388284,0.5644694756388284
9,-450.0,-1.57226e-05,843.8562233389168,843.8562233389168,238.67336683417085,3.0412698886322973,0.507702141493917,0.507702141493917
10,-400.0,-1.499014e-05,809.3796806253488,809.3796806253488,227.97989949748742,3.043297893202431,0.6005743942353372,0.6005743942353372
11,-350.0,-1.419232e-05,754.8332417643774,754.8332417643774,210.61306532663318,2.9838688696772726,0.5736152695893733,0.5736152695893733
12,-300.0,-1.328986e-05,680.8553165829145,680.8553165829145,188.0603015075377,2.9541380446798717,0.4888240989241253,0.4888240989241253
13,-250.0,-1.243911e-05,584.0196538246788,584.0196538246788,159.55778894472363,3.04498759010582,0.5280530463407697,0.5280530463407697
14,-200.0,-1.114634e-05,467.921170295924,467.921170295924,126.91457286432161,3.0208162645490537,0.4871430583786357,0.4871430583786357
15,-150.0,-1.008666e-05,357.59876716917927,357.59876716917927,96.72361809045226,2.9720523231649025,0.489511160245111,0.489511160245111
16,-100.0,-7.815416e-06,253.03732886655487,253.03732886655487,70.67336683417085,3.061822692565062,0.5209897365980186,0.5209897365980186
