Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.780843e-05,1454.2509346733668,1454.2509346733668,413.4673366834171,1.9367284726090304,0.652060682620999,0.652060682620999
1,-800.0,-1.61265e-05,1406.5173512004467,1406.5173512004467,400.1206030150754,1.8994984196570097,0.6228950608921054,0.6228950608921054
2,-700.0,-1.469296e-05,1351.4115466219985,1351.4115466219985,382.8743718592965,1.9391667520930942,0.6314331168627093,0.6314331168627093
3,-600.0,-1.341569e-05,1295.569241764377,1295.569241764377,366.67336683417085,1.8949253407404623,0.5641409805559044,0.5641409805559044
4,-500.0,-1.237555e-05,1235.2662155220544,1235.2662155220544,346.6532663316583,1.8985944504853267,0.5218076538413736,0.5218076538413736
5,-400.0,-1.140186e-05,1143.9471490787266,1143.9471490787266,319.43718592964825,1.8653203758149923,0.5430124349755135,0.5430124349755135
6,-300.0,-1.041301e-05,1019.1227247347853,1019.1227247347853,280.88442211055275,1.8676325486496792,0.48084970442210523,0.48084970442210523
7,-200.0,-9.723382e-06,784.4928464544946,784.4928464544946,209.5678391959799,1.7792569791198927,0.45022363708411933,0.45022363708411933
8,-150.0,-8.573414e-06,600.6594751535453,600.6594751535453,158.87437185929647,1.8409278378585703,0.4975741028896163,0.4975741028896163
9,-100.0,-7.05937e-06,427.54694360692343,427.54694360692343,112.321608040201,1.8280605631847633,0.4260173115332346,0.4260173115332346
10,-50.0,-4.871762e-06,251.09124288107193,251.09124288107193,66.57286432160804,1.8708493447565442,0.41200737705047696,0.41200737705047696
