Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.0001049916,990.9141728395065,990.9141728395065,292.64646464646466,3.3633471431762976,1.0624567591467227,1.0624567591467227
1,-850.0,-9.064547e-05,927.9423288888888,927.9423288888888,274.64,3.585420573845978,0.6600707259074574,0.6600707259074574
2,-800.0,-8.125027e-05,887.1522666666665,887.1522666666665,262.68,3.375290275582893,0.48914749023173,0.48914749023173
3,-750.0,-7.420803e-05,832.6372088888888,832.6372088888888,246.0,3.4094857582636227,0.6599114510296054,0.6599114510296054
4,-700.0,-6.835732e-05,764.4167822222221,764.4167822222221,226.12,3.848671818359173,0.5398257615193994,0.5398257615193994
5,-650.0,-6.261221e-05,710.5525333333333,710.5525333333333,210.56,3.8315427702167177,0.5018121273943061,0.5018121273943061
6,-600.0,-5.748984e-05,649.6447644444445,649.6447644444445,192.64,4.042409231517973,0.5096976233022854,0.5096976233022854
7,-550.0,-5.338329e-05,594.3419377777778,594.3419377777778,177.08,3.913913541441168,0.3968327567124474,0.3968327567124474
8,-500.0,-4.891172e-05,542.6054577777778,542.6054577777778,162.52,3.7426622267057277,0.5877817281950829,0.5877817281950829
9,-400.0,-4.02871e-05,416.27868444444437,416.27868444444437,128.0,4.369799633794,0.3647410303215152,0.3647410303215152
10,-300.0,-3.238994e-05,319.0722844444444,319.0722844444444,97.52,4.370813546895863,0.4214352011875613,0.4214352011875613
11,-200.0,-2.468378e-05,226.4444977777777,226.4444977777777,71.76,4.434130315441911,0.4481976135590192,0.4481976135590192
12,-100.0,-1.644029e-05,129.9417422222222,129.9417422222222,41.52,4.344422796194998,0.4077990250110951,0.4077990250110951
