time (20.03.2024);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
10:46:19;-25;-25.03884;1.27863086620992e-10;6.1165936817064624e+19;9.674000506604309e-11;2000.0;353006.9;3.941383006001828;-622364.7;15.683765491743362;-1.073748e-06
10:46:34;-50;-50.068;1.1986032852676487e-10;6.960638391634996e+19;9.911085473857672e-11;2000.0;303778.9;3.041299064544623;-663918.35;10.294482745626414;-1.578034e-06
10:46:48;-75;-75.09669;1.1433838822284033e-10;7.649197391618369e+19;9.921022098882942e-11;2000.0;271777.2;6.264822423660545;-695982.1;19.676369075619615;-1.925646e-06
10:47:02;-100;-100.0712;1.1014576236209913e-10;8.242603584390524e+19;9.852784542645298e-11;2000.0;248088.7;10.633931540121933;-722474.2;37.91309800055912;-2.232021e-06
10:47:16;-125;-125.0279;1.0673412252112943e-10;8.777956653826782e+19;9.748431845818641e-11;2000.0;229660.2;5.317706272444916;-745567.3;18.432864671558782;-2.522763e-06
10:47:30;-150;-150.0088;1.0390663975899848e-10;9.262183891585135e+19;9.635545035651978e-11;2000.0;214395.85;3.7304657886113897;-765855.5;5.5836815811792135;-2.788267e-06
10:47:45;-175;-175.0422;1.0146818151134083e-10;9.71270606159975e+19;9.519245510838037e-11;2000.0;201368.25;5.603068355820764;-784260.35;14.347870050986659;-3.112678e-06
10:47:59;-200;-200.0711;9.932961804369942e-11;1.0135436780073419e+20;9.403971307645425e-11;2000.0;190011.4;4.520176987685327;-801145.45;12.383956354897245;-3.42622e-06
10:48:13;-225;-225.0842;9.739727742331792e-11;1.054159594434201e+20;9.28860403526316e-11;2000.0;180059.45;4.42632748449547;-817040.0;5.8579006478430475;-3.735379e-06
10:48:27;-250;-250.062;9.570129801077689e-11;1.0918534320503467e+20;9.181151062895099e-11;2000.0;171153.85;3.6662480821679266;-831519.25;10.375662629442035;-4.085671e-06
10:48:41;-275;-275.0376;9.415774129007029e-11;1.1279450334125675e+20;9.077240326708806e-11;2000.0;163214.3;6.18389036125318;-845150.6;8.755683868208123;-4.51896e-06
10:48:55;-300;-300.0149;9.274141524184209e-11;1.162659546830402e+20;8.97708356868629e-11;2000.0;156087.95;6.890745605520493;-858057.55;14.615826182600829;-5.023307e-06
10:49:09;-325;-325.0473;9.14605366460014e-11;1.1954530088517912e+20;8.883279852402046e-11;2000.0;149644.5;6.330679268451371;-870074.4;14.069541570356867;-5.784214e-06
10:49:23;-350;-350.0611;9.025416467184336e-11;1.227624360759843e+20;8.791173311695623e-11;2000.0;143923.9;6.502653304613434;-881704.15;22.361940322789536;-8.327906e-06
10:49:38;-375;-375.0886;8.914550794355926e-11;1.2583488953720898e+20;8.704279982708894e-11;2000.0;138743.85;7.247163238122901;-892669.45;22.144578907714635;-7.189039e-06
10:49:52;-400;-400.0614;8.810656111473917e-11;1.288200604837293e+20;8.621123405896863e-11;2000.0;133918.95;25.241085059878074;-903195.75;68.8399547864465;-3.29386e-05
10:50:06;-425;-425.0399;8.712211134954573e-11;1.3174775288650038e+20;8.539500691584183e-11;2000.0;129898.7;6.167698111937711;-913401.55;9.637290853761755;-6.204923e-06
10:50:20;-450;-449.9922;8.622747216312319e-11;1.3449579020996264e+20;8.465218540774214e-11;2000.0;125894.05;29.638697255446292;-922878.4;92.622902135487;-6.248884e-05
10:50:35;-475;-475.0287;8.531052204499364e-11;1.3740255258542639e+20;8.386405542383975e-11;2000.0;122505.0;6.961321713582845;-932797.85;7.264046737184445;-6.999081e-06
10:50:49;-500;-500.0565;8.446093525356033e-11;1.4018070108967123e+20;8.313691510561686e-11;2000.0;118900.75;40.929932506663135;-942180.8;107.09079325506931;-9.476077e-05
10:51:04;-525;-525.0882;8.357856552962319e-11;1.4315620402069681e+20;8.236237151192516e-11;2000.0;115699.7;8.451065021640764;-952127.75;10.64750557642493;-7.865311e-06
10:51:18;-550;-550.0661;8.272125564205911e-11;1.4613887640120338e+20;8.161580423773165e-11;2000.0;111958.15;23.09927217468117;-961995.45;67.84922530876824;-9.99992e-05
10:51:33;-575;-575.0314;8.180536288913862e-11;1.4942953636542323e+20;8.080202397524215e-11;2000.0;108397.95;6.136560518727083;-972765.95;5.916703051531316;-8.846621e-06
10:51:47;-600;-597.5797;8.093245072930273e-11;1.5267032036659744e+20;8.003195054697196e-11;2000.0;104298.4;153.43704572234176;-983257.9;245.82782491003738;-9.999908e-05
10:52:03;-625;-625.0256;7.988625990065467e-11;1.5669524658272774e+20;7.910168735776923e-11;2000.0;99206.86500000002;6.080490420187763;-996134.65;8.060172144563662;-9.8849e-06
10:52:17;-650;-650.0527;7.885418156553778e-11;1.6082388272940656e+20;7.817779668020503e-11;2000.0;93868.66500000001;7.615885618232846;-1009172.5;9.079509898667439;-1.045295e-05
10:52:32;-675;-675.0643;7.775307343096354e-11;1.6541118398199267e+20;7.718880957162712e-11;2000.0;87505.735;8.500312567782705;-1023464.0;11.054410884348382;-1.101087e-05
10:52:46;-700;-700.0441;7.660869316410568e-11;1.7038991728562936e+20;7.616274340775994e-11;2000.0;79484.74000000002;9.543255209832555;-1038752.5;11.4646194877981;-1.160291e-05
10:53:00;-725;-725.0146;7.548397555177492e-11;1.755053943030477e+20;7.515879446537423e-11;2000.0;69343.875;8.43549309465684;-1054230.0;8.717797887081346;-1.217972e-05
10:53:14;-750;-749.9852;7.452016083114221e-11;1.8007458929818544e+20;7.430086232221526e-11;2000.0;58014.59500000001;8.976373084380876;-1067865.0;9.5524865872714;-1.27661e-05
10:53:28;-775;-775.0065;7.379415020057816e-11;1.8363528286380274e+20;7.365203197230308e-11;2000.0;47369.71;7.975734762390167;-1078371.0;6.438167441127948;-1.335143e-05
10:53:43;-800;-800.0096;7.333541748369662e-11;1.8593984416585236e+20;7.323820729950493e-11;2000.0;39533.33;7.729201446462872;-1085116.5;8.132496541653122;-1.3992e-05
10:53:58;-825;-825.0356;7.309194975246198e-11;1.8718063058484822e+20;7.301628777874477e-11;2000.0;35046.89499999999;7.885383551229507;-1088731.0;6.960603422117941;-1.455288e-05
10:54:12;-850;-850.016;7.298147850054675e-11;1.877477259385981e+20;7.291307976030709e-11;2000.0;33396.335;8.528828392575235;-1090379.0;6.438167441127948;-1.509724e-05
10:54:26;-875;-874.9835;7.292733706957842e-11;1.8802659814719508e+20;7.285976010944036e-11;2000.0;33231.905000000006;7.022472766056015;-1091188.5;10.350724612315796;-1.565416e-05
10:54:40;-900;-899.9478;7.289951177023526e-11;1.881701627539347e+20;7.282946053530007e-11;2000.0;33854.770000000004;11.849533957080428;-1091605.0;11.67261752992875;-1.620654e-05
