time (02.07.2024);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
09:20:31;-25;-25.04508;1.0811662149678576e-10;8.554902569550324e+19;8.455900415813266e-11;2000.0;388493.2;25.14026650614508;-736033.65;144.0896296580708;-4.10246e-06
09:20:45;-50;-50.06965;9.982265367092937e-11;1.0035563844584977e+20;8.506510782921198e-11;2000.0;332041.5;40.004218527550314;-797188.5;156.51390513305836;-1.577248e-05
09:21:00;-75;-75.10374;9.463119926850265e-11;1.1166866188328021e+20;8.439096592320598e-11;2000.0;292929.25;23.73087387771466;-840922.15;81.65434082153868;-7.71692e-06
09:21:16;-100;-100.0822;9.105550511230621e-11;1.2061118495571496e+20;8.345729277630905e-11;2000.0;263698.4;209.503250571441;-873944.65;237.07300853323648;-9.999926e-05
09:21:30;-125;-125.0267;8.808044502287633e-11;1.2889646280642588e+20;8.22912451534225e-11;2000.0;239631.05;28.32626652066947;-903463.55;68.03971174983032;-1.037219e-05
09:21:44;-150;-150.0065;8.590609634845138e-11;1.3550397347490144e+20;8.12743693389087e-11;2000.0;221136.7;33.63912156998157;-926330.9;73.05819255908266;-1.174004e-05
09:21:59;-175;-175.0421;8.373341638821476e-11;1.4262720701575302e+20;8.005689270501437e-11;2000.0;203662.3;36.219614851624236;-950366.95;66.18105752403777;-1.284657e-05
09:22:13;-200;-200.071;8.192906933367165e-11;1.4897862337311398e+20;7.896077031212157e-11;2000.0;188321.65;52.57258197007258;-971297.15;86.79009952177724;-1.414906e-05
09:22:27;-225;-225.0849;8.00447809817975e-11;1.5607522105552942e+20;7.774103377298979e-11;2000.0;171139.15;38.332510679578505;-994161.9;49.77895639725686;-1.516847e-05
09:22:41;-250;-250.0618;7.824865292202584e-11;1.6332259077823565e+20;7.655240476306114e-11;2000.0;151383.5;51.62957001564123;-1016982.0;53.16295702836703;-1.621558e-05
09:22:56;-275;-275.0337;7.667638228403988e-11;1.7008921314814565e+20;7.550944227025452e-11;2000.0;129018.55;59.063164281978665;-1037835.5;51.906044927349264;-1.719007e-05
09:23:10;-300;-300.0117;7.547509806568541e-11;1.755466831086618e+20;7.470831036012404e-11;2000.0;106816.8;37.90149073585365;-1054354.0;25.41062769787476;-1.813604e-05
09:23:25;-325;-325.0454;7.459791174138664e-11;1.7969941346456915e+20;7.411525328304742e-11;2000.0;86085.42500000002;25.61079350098288;-1066752.0;16.786899654194634;-1.904506e-05
09:23:39;-350;-350.0572;7.400153024362109e-11;1.8260749513278282e+20;7.370171808051773e-11;2000.0;68585.96499999998;19.397304290802374;-1075349.0;12.142899159591172;-1.97475e-05
09:23:54;-375;-375.0877;7.363477687800803e-11;1.8443105459924376e+20;7.343888164760377e-11;2000.0;55815.66000000001;31.203014597951793;-1080705.0;12.913171570144959;-2.042332e-05
09:24:08;-400;-400.0648;7.341935013409991e-11;1.8551495608625824e+20;7.327922792005045e-11;2000.0;47396.105;30.385844134234667;-1083876.0;11.009087155618307;-2.133152e-05
09:24:23;-425;-425.0381;7.328699247715942e-11;1.8618564802941475e+20;7.317898715759188e-11;2000.0;41715.03499999999;19.5752742956517;-1085833.5;12.026533166295264;-2.200939e-05
09:24:37;-450;-449.9924;7.319464253559492e-11;1.866557666100281e+20;7.310831374044347e-11;2000.0;37359.865000000005;24.599154736494555;-1087203.5;11.47333865969274;-2.240911e-05
09:24:52;-475;-475.0249;7.313097601061222e-11;1.8698090644969174e+20;7.305769961076041e-11;2000.0;34461.79;17.28085197552486;-1088150.0;8.74642784226795;-2.291785e-05
09:25:06;-500;-500.0556;7.30916140790308e-11;1.8718234984387913e+20;7.302516518381664e-11;2000.0;32842.045;24.321510515385334;-1088736.0;7.429670248402684;-2.36688e-05
09:25:20;-525;-525.0896;7.306235520739394e-11;1.873322995943838e+20;7.300004284689476e-11;2000.0;31821.599999999995;18.921245994912603;-1089172.0;8.324662155306964;-2.471953e-05
09:25:34;-550;-550.0718;7.303630367101935e-11;1.8746596365882864e+20;7.297762623039393e-11;2000.0;30895.275000000005;13.453562492886437;-1089560.5;10.711559176889235;-2.544548e-05
09:25:48;-575;-575.0269;7.301047166185084e-11;1.8759864268614294e+20;7.295509292948185e-11;2000.0;30029.539999999997;17.703990228194336;-1089946.0;6.870225614927067;-2.573842e-05
09:26:03;-600;-600.0021;7.299121843710332e-11;1.876976232284094e+20;7.293727568712679e-11;2000.0;29649.085000000003;11.270550729667091;-1090233.5;7.819047256539636;-2.652256e-05
09:26:17;-625;-625.0303;7.297990562746113e-11;1.8775581875605753e+20;7.292598896040547e-11;2000.0;29648.805;12.965931271991266;-1090402.5;8.912771734987944;-2.734455e-05
09:26:31;-650;-650.0589;7.296689019495531e-11;1.8782280643030306e+20;7.291261705489807e-11;2000.0;29754.689999999995;23.591425243083595;-1090597.0;15.70191071175734;-2.794165e-05
09:26:46;-675;-675.0699;7.295214052391685e-11;1.878987632053756e+20;7.289749714656368e-11;2000.0;29865.140000000003;18.795492012714192;-1090817.5;19.33746363926769;-2.866102e-05
09:27:00;-700;-700.0514;7.294495180323824e-11;1.8793579985422926e+20;7.288854360500056e-11;2000.0;30348.439999999995;20.03610291448911;-1090925.0;9.733961166965893;-2.952613e-05
09:27:14;-725;-725.0186;7.293622693432889e-11;1.8798076552794348e+20;7.287866122136928e-11;2000.0;30663.985000000004;19.09229199834316;-1091055.5;10.617791672471258;-3.01924e-05
09:27:28;-750;-749.9909;7.29267689940017e-11;1.880295274894839e+20;7.286773326681273e-11;2000.0;31059.395000000008;9.546864603104074;-1091197.0;10.249390225764651;-3.079823e-05
09:27:43;-775;-775.0095;7.292038710606705e-11;1.88062441080069e+20;7.285855433003568e-11;2000.0;31791.445;14.546435087333178;-1091292.5;7.310095758606723;-3.164855e-05
09:27:57;-800;-800.0172;7.291390612237675e-11;1.880958745866884e+20;7.284963533570337e-11;2000.0;32417.004999999997;27.209414248564755;-1091389.5;14.132851799972997;-3.244047e-05
09:28:11;-825;-825.0436;7.290732609607039e-11;1.8812982814720098e+20;7.283939999100311e-11;2000.0;33331.445;27.22435901449278;-1091488.0;9.96493853468249;-3.346272e-05
09:28:26;-850;-850.0231;7.290034655418359e-11;1.881658532948038e+20;7.282899832182614e-11;2000.0;34166.46000000001;16.99081869716693;-1091592.5;11.637761812307382;-3.428576e-05
09:28:40;-875;-874.9872;7.289897751854152e-11;1.8817292083367628e+20;7.282266450602404e-11;2000.0;35337.41000000001;16.770341230875147;-1091613.0;17.162459031269382;-3.542962e-05
09:28:55;-900;-899.9531;7.289760853431823e-11;1.8817998850527517e+20;7.281465103365238e-11;2000.0;36846.42;22.23923177630037;-1091633.5;14.022749373785441;-3.682086e-05
