time (14.02.2024);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
08:23:22;-25;-25.05133;8.135314217424222e-11;1.5109543263299568e+20;6.82315608270994e-11;2000.0;428959.45;24.41326227688549;-978173.3;95.28544222492751;-5.250918e-07
08:23:36;-50;-44.31297;7.964627796548205e-11;1.576409450323199e+20;6.96938863185292e-11;2000.0;377564.4;991.7912290396602;-999136.1;527.1451313443007;-9.999942e-05
08:23:51;-75;-75.1006;7.86192988413191e-11;1.61786271865564e+20;7.050978873341421e-11;2000.0;343268.2;10.611220476457927;-1012187.5;49.87922914400341;-9.263475e-07
08:24:05;-100;-100.0743;7.784845730911229e-11;1.650060919601615e+20;7.096290986876591e-11;2000.0;318415.1;15.116696067593605;-1022210.0;51.92783453986888;-1.114735e-06
08:24:19;-125;-125.0279;7.718100145089732e-11;1.6787235431478572e+20;7.121872451383985e-11;2000.0;298324.35;10.559657901655715;-1031050.0;46.94677837722201;-1.27072e-06
08:24:33;-150;-150.0065;7.656947789171076e-11;1.705644933249939e+20;7.133738981765878e-11;2000.0;281457.85;11.693432986082401;-1039284.5;44.74078117333223;-1.412054e-06
08:24:47;-175;-175.0432;7.596731482707787e-11;1.732792055615479e+20;7.133801603126285e-11;2000.0;266845.85;12.225644154808366;-1047522.5;33.83692509670464;-1.539871e-06
08:25:02;-200;-200.0735;7.548376074923445e-11;1.7550639316844148e+20;7.134107248693933e-11;2000.0;254043.4;10.545472962366365;-1054233.0;33.51939736928455;-1.664929e-06
08:25:16;-225;-225.0873;7.49771368488794e-11;1.7788621563185817e+20;7.125427344425657e-11;2000.0;242602.0;10.282023147221562;-1061356.5;26.592057084776272;-1.790811e-06
08:25:31;-250;-250.0631;7.443654853935163e-11;1.8047936102991695e+20;7.108097773958772e-11;2000.0;232279.25;16.09780652759872;-1069064.5;13.81077477913531;-1.90048e-06
08:25:46;-275;-275.035;7.399946581246953e-11;1.8261768401335943e+20;7.094929552965486e-11;2000.0;222971.6;11.887262090153477;-1075379.0;33.62960005709256;-2.03415e-06
08:26:00;-300;-300.01;7.358486713611662e-11;1.8468132420913604e+20;7.08022374602686e-11;2000.0;214390.65;11.31509500622951;-1081438.0;31.66701754191575;-2.161538e-06
08:26:14;-325;-325.0464;7.31724660731653e-11;1.8676892370527555e+20;7.062693171421014e-11;2000.0;206465.15;11.951208097928845;-1087533.0;22.406472279232176;-2.28403e-06
08:26:28;-350;-350.0585;7.279151861849755e-11;1.887289136485535e+20;7.045214306425572e-11;2000.0;199210.5;9.509863300805117;-1093224.5;43.37899837478961;-2.403997e-06
