time (07.11.2024);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
10:20:47;-25;-25.03742;6.927952105761942e-11;2.0834843694675306e+20;6.361080803240262e-11;2000.0;342895.7;46.54369452460772;-1148643.5;61.1443987622742;-1.560431e-06
10:21:02;-50;-50.07082;6.883911960112844e-11;2.110228019098048e+20;6.441278465293228e-11;2000.0;303033.7;40.75095704397627;-1155992.0;68.27005199939428;-2.248162e-06
10:21:16;-75;-75.09597;6.825481653979428e-11;2.146512355548138e+20;6.466870563646217e-11;2000.0;274550.1;48.501025762348576;-1165888.0;80.09868912785026;-2.792175e-06
10:21:30;-100;-100.072;6.765500254921375e-11;2.1847420642601225e+20;6.468602684778358e-11;2000.0;251992.9;62.599077469240704;-1176224.5;112.2530066412477;-3.220537e-06
10:21:44;-125;-125.0287;6.715168936922213e-11;2.2176148144458813e+20;6.46291675007134e-11;2000.0;234118.85;37.4686051915467;-1185040.5;53.378249315615435;-3.668974e-06
10:21:58;-150;-150.0094;6.673596946212243e-11;2.245329345579592e+20;6.454607256916026e-11;2000.0;219637.8;29.471901872800814;-1192422.5;44.60871551614101;-4.203113e-06
10:22:13;-175;-175.0438;6.629627289968156e-11;2.275211493220581e+20;6.43881747986213e-11;2000.0;206632.35;34.92393699169668;-1200331.0;52.268059080092115;-4.541225e-06
10:22:27;-200;-200.0722;6.588916271484534e-11;2.303414107605022e+20;6.421023167923887e-11;2000.0;195294.7;24.106752166146318;-1207747.5;39.19741700673655;-5.649258e-06
10:22:42;-225;-225.0856;6.552260967929926e-11;2.3292581677257903e+20;6.403074624128347e-11;2000.0;185382.7;15.523868718847119;-1214504.0;20.885401600160815;-6.913945e-06
10:22:56;-250;-250.0567;6.516648900163675e-11;2.354785506090983e+20;6.383939711789216e-11;2000.0;176064.55;45.09575783818252;-1221141.0;58.07710392228593;-1.387116e-05
10:23:11;-275;-275.0367;6.486937799551302e-11;2.376405411240659e+20;6.366428781368677e-11;2000.0;168776.6;38.92964166287688;-1226734.0;52.978297443387135;-5.723793e-06
10:23:25;-300;-300.0096;6.452383500569622e-11;2.4019261811729147e+20;6.344718921601686e-11;2000.0;160657.2;33.14865004792803;-1233303.5;49.3825627119533;-3.022109e-05
10:23:40;-325;-325.0465;6.42299757583847e-11;2.4239546136128537e+20;6.32480870673168e-11;2000.0;154368.9;19.56602923436434;-1238946.0;21.764650238402638;-6.359599e-06
10:23:54;-350;-350.0543;6.391849494065395e-11;2.4476364914861955e+20;6.303461731577545e-11;2000.0;147424.65;19.059023453472104;-1244983.5;33.153242676999184;-4.674021e-05
10:24:08;-375;-375.0892;6.367580762217368e-11;2.4663293776361003e+20;6.285953010895831e-11;2000.0;142412.8;20.159067438748252;-1249728.5;34.549059321492386;-6.970531e-06
10:24:23;-400;-400.0639;6.339137214733559e-11;2.4885117465011723e+20;6.265367670235667e-11;2000.0;136215.1;34.56341273659186;-1255336.0;36.32079294288603;-6.252695e-05
10:24:38;-425;-425.0413;6.312108007735924e-11;2.5098695914848908e+20;6.244386450942571e-11;2000.0;131290.8;27.252302655005128;-1260711.5;23.089770462263154;-7.529693e-06
10:24:52;-450;-449.9863;6.28636838878037e-11;2.5304650583772463e+20;6.22493443218576e-11;2000.0;125755.55;49.616150344419104;-1265873.5;50.94249208666572;-0.0001175594
10:25:06;-475;-475.0257;6.261231927156197e-11;2.5508235492902768e+20;6.204970017708593e-11;2000.0;121022.95;25.115978479844262;-1270955.5;29.499788134832425;-8.094144e-06
10:25:21;-500;-500.05;6.232715397633928e-11;2.5742185017097765e+20;6.182615288149786e-11;2000.0;114933.35;69.92825877283089;-1276770.5;85.99556674619919;-0.0001424052
10:25:36;-525;-525.0894;6.207949637867019e-11;2.5947984505137765e+20;6.162630883085702e-11;2000.0;109925.35;29.056950545437484;-1281864.0;28.595454184188085;-8.626827e-06
10:25:51;-550;-550.0629;6.180037684512772e-11;2.6182900380084725e+20;6.140430330098446e-11;2000.0;103415.95;16.35366549125914;-1287653.5;26.676534632519267;-0.0001639846
10:26:05;-575;-575.0206;6.155947492999895e-11;2.6388225474428633e+20;6.12106755895202e-11;2000.0;97581.94500000002;32.12929930375035;-1292692.5;30.388114452858048;-9.208126e-06
10:26:21;-600;-599.9969;6.132741429144293e-11;2.6588307424429946e+20;6.102329138540197e-11;2000.0;91603.535;27.020497104050484;-1297584.0;35.05994865940337;-9.423176e-06
10:26:35;-625;-625.0383;6.110678480862839e-11;2.678065119092989e+20;6.084321103917064e-11;2000.0;85712.81000000001;38.84468811819701;-1302269.0;41.115082390772365;-9.762793e-06
10:26:50;-650;-650.0518;6.087152895501398e-11;2.6988054545227252e+20;6.065069681150303e-11;2000.0;78884.045;409.68490748836524;-1307302.0;132.58506703245277;-0.000206456
