time (24.06.2024);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
13:50:12;-25;-25.04585;7.079572235945288e-11;1.9951978363810562e+20;6.246922927900443e-11;2000.0;410375.2;17.734655339193942;-1124043.5;20.040895688566415;-2.698071e-06
13:50:24;-50;-50.08194;7.050252724413687e-11;2.011826988553494e+20;6.341049397818671e-11;2000.0;377476.8;30.44590284422519;-1128718.0;30.713189349203056;-7.964944e-06
13:50:36;-75;-75.10202;7.011635609451266e-11;2.0340485935689646e+20;6.394628199542689e-11;2000.0;352539.95;56.94060392198171;-1134934.5;28.438310428012418;-4.230827e-05
13:50:49;-100;-100.0816;6.977392158114913e-11;2.0540628804525274e+20;6.429113898281051e-11;2000.0;333059.6;13.631104137229674;-1140504.5;15.866237739300391;-6.226203e-06
13:51:01;-125;-125.0294;6.939046548019647e-11;2.076827368920626e+20;6.449349722304077e-11;2000.0;316006.5;21.587554284818836;-1146807.0;15.47740288291288;-9.9745e-05
13:51:14;-150;-150.0171;6.906300836840417e-11;2.0965683029790022e+20;6.462427262559422e-11;2000.0;301978.8;13.746017605110218;-1152244.5;14.044126886353597;-8.049104e-06
13:51:27;-175;-173.7789;6.869445022705168e-11;2.1191255888037305e+20;6.467236732454364e-11;2000.0;288891.4;240.11710059885354;-1158426.5;112.02293292000526;-9.999977e-05
13:51:40;-200;-200.0738;6.835701011982844e-11;2.1400990905261487e+20;6.469320433542406e-11;2000.0;277040.95;11.940576828612597;-1164145.0;10.943034314119645;-9.713945e-06
13:51:52;-225;-225.0885;6.802923652831935e-11;2.1607713156548415e+20;6.467328964021591e-11;2000.0;266464.65;15.982689854964965;-1169754.0;16.51363073342746;-1.052532e-05
13:52:04;-250;-250.0646;6.772199191867288e-11;2.18042198732315e+20;6.463369342190346e-11;2000.0;256856.5;10.59186008215743;-1175061.0;14.506894912420092;-1.132881e-05
13:52:16;-275;-275.038;6.742045167202837e-11;2.1999696254477844e+20;6.457208433518929e-11;2000.0;247898.6;17.810025266686175;-1180316.5;17.90635362099163;-1.210267e-05
13:52:29;-300;-300.0152;6.713588323312632e-11;2.218659145617273e+20;6.449884513039343e-11;2000.0;239672.2;15.262306509830031;-1185319.5;17.485351011632567;-1.289736e-05
13:52:41;-325;-325.0487;6.686586870912985e-11;2.2366138891321308e+20;6.441664977861935e-11;2000.0;232060.05;10.387366124287718;-1190106.0;12.949903474543738;-1.368692e-05
13:52:54;-350;-350.0604;6.66117033282197e-11;2.2537146184899356e+20;6.433033165533252e-11;2000.0;224972.65;9.3835694168051;-1194647.0;15.363918770938616;-1.448394e-05
13:53:06;-375;-375.0913;6.635749845291364e-11;2.2710149269931173e+20;6.423035854523153e-11;2000.0;218236.8;18.34606224779585;-1199223.5;19.186909600037207;-1.526772e-05
13:53:19;-400;-400.0691;6.612401225962823e-11;2.287081308290304e+20;6.413252744218104e-11;2000.0;212070.5;14.119932719386448;-1203458.0;20.218803129760175;-1.607017e-05
13:53:31;-425;-425.041;6.589251804355411e-11;2.3031795281736958e+20;6.402631413295078e-11;2000.0;206183.7;13.466087033730329;-1207686.0;19.395875850293535;-1.686759e-05
13:53:43;-450;-449.9956;6.567065881197168e-11;2.3187677616390232e+20;6.391790080300303e-11;2000.0;200663.55;13.757811417518413;-1211766.0;10.183319694480774;-1.765439e-05
13:53:56;-475;-475.0285;6.545884882041815e-11;2.3337980530285884e+20;6.38092771946705e-11;2000.0;195463.4;14.069363880431833;-1215687.0;12.944110629935144;-1.849266e-05
13:54:08;-500;-500.0594;6.52563463944048e-11;2.3483049347542162e+20;6.370043666661772e-11;2000.0;190584.85;14.095615453040706;-1219459.5;10.160585613044162;-1.935485e-05
