time (08.02.2024);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
09:38:56;-25;-25.03781;7.623235757919386e-11;1.720763945477505e+20;6.435739700907921e-11;2000.0;448402.1;29.441034288896855;-1043880.5;52.832163499141316;-9.825969e-07
09:39:10;-50;-50.06875;7.612912662628354e-11;1.7254338148642485e+20;6.58184526055981e-11;2000.0;413722.35;16.691206517205398;-1045296.0;44.45447109121871;-1.414099e-06
09:39:24;-75;-75.09549;7.591216645682936e-11;1.7353106339560246e+20;6.674654343296319e-11;2000.0;388459.15;17.81912946807447;-1048283.5;39.403521416238924;-1.723187e-06
09:39:38;-100;-100.0716;7.560305665891676e-11;1.7495295850330826e+20;6.735738348169596e-11;2000.0;368274.15;12.038744743535347;-1052569.5;27.9237801882195;-1.993337e-06
09:39:52;-125;-125.0271;7.52940673485557e-11;1.7639183723143912e+20;6.77990549780146e-11;2000.0;351401.6;7.4887916248217214;-1056889.0;15.57080601638849;-2.250008e-06
09:40:06;-150;-150.006;7.496760129115276e-11;1.7793147123897962e+20;6.811610234043483e-11;2000.0;336654.5;12.034845242046114;-1061491.5;26.6296357466639;-2.504468e-06
09:40:20;-175;-175.0419;7.461711245286251e-11;1.796069437200676e+20;6.833172627633792e-11;2000.0;323449.5;9.430668056930006;-1066477.5;26.78502380062411;-2.752665e-06
09:40:34;-200;-200.0717;7.428610913529517e-11;1.8121109136995834e+20;6.849284411285175e-11;2000.0;311545.6;8.55377109817652;-1071229.5;20.969918931650643;-2.993524e-06
09:40:48;-225;-225.0844;7.396005727574063e-11;1.8281234619454374e+20;6.860245515188904e-11;2000.0;300682.6;9.885443844360251;-1075952.0;15.74166446091391;-3.233816e-06
09:41:02;-250;-250.0607;7.360729431499953e-11;1.845688013907268e+20;6.864719792222698e-11;2000.0;290604.9;9.845785900576955;-1081108.5;20.040895688566415;-3.483528e-06
09:41:17;-275;-275.0342;7.331430387980022e-11;1.8604695629295023e+20;6.869677492250359e-11;2000.0;281409.05;8.852534947685887;-1085429.0;19.221082175569613;-3.75663e-06
09:41:31;-300;-300.0124;7.302531194439299e-11;1.8752240243731926e+20;6.871844087397507e-11;2000.0;272810.45;9.508279287021391;-1089724.5;18.91394987833054;-4.072941e-06
09:41:46;-325;-325.0464;7.276995171768573e-11;1.8884079776621268e+20;6.873961319688411e-11;2000.0;264792.25;8.263133485548929;-1093548.5;14.837031374233863;-4.411659e-06
09:42:00;-350;-350.057;7.24633132994599e-11;1.9044239060343043e+20;6.869606412238618e-11;2000.0;257168.75;7.544493024716769;-1098176.0;16.813684902483452;-4.841891e-06
09:42:14;-375;-375.0864;7.216193110116428e-11;1.920364666404233e+20;6.863524498391478e-11;2000.0;249972.25;10.88367470112921;-1102762.5;29.60468712889903;-5.368887e-06
09:42:28;-400;-400.0656;7.186122842170975e-11;1.9364697901007752e+20;6.855575926970936e-11;2000.0;243158.85;9.895775613866759;-1107377.0;43.110903493199956;-6.175215e-06
09:42:42;-425;-425.0409;7.157267609272336e-11;1.9521154043932004e+20;6.846835844957333e-11;2000.0;236745.1;8.12646909795392;-1111841.5;29.097035931517148;-9.251429e-06
09:42:56;-450;-449.9859;7.125362327496614e-11;1.969636544007071e+20;6.834897094222842e-11;2000.0;230231.25;11.37406589571205;-1116820.0;48.79549159502341;-1.808881e-05
09:43:11;-475;-475.0267;7.097599694069969e-11;1.985075353197081e+20;6.8232346311123e-11;2000.0;224826.7;12.528986391564166;-1121188.5;19.624920382004102;-5.702247e-06
09:43:25;-500;-500.0521;7.068083900053132e-11;2.0016890244706222e+20;6.810606951261384e-11;2000.0;218909.55;11.05383983057472;-1125870.5;43.666205468302365;-4.18748e-05
09:43:40;-525;-525.0899;7.04085529431964e-11;2.0172009437386414e+20;6.797016534119845e-11;2000.0;214070.55;9.369491715135885;-1130224.5;12.737248525486185;-6.324819e-06
09:43:54;-550;-550.0695;7.011172289390327e-11;2.0343174349604753e+20;6.781921817169125e-11;2000.0;208678.75;25.06240960083447;-1135009.5;63.3303837032431;-6.698873e-05
09:44:09;-575;-575.0248;6.985921625436979e-11;2.04905012262695e+20;6.768073020190955e-11;2000.0;204367.25;10.5557744860337;-1139112.0;30.859358386071474;-7.033349e-06
09:44:24;-600;-599.996;6.958919518294868e-11;2.0649824852264478e+20;6.753497573884503e-11;2000.0;199437.75;10.27688547177597;-1143532.0;53.61716143176548;-9.599989e-05
09:44:38;-625;-625.0283;6.932922544122569e-11;2.080498004525051e+20;6.737369372720269e-11;2000.0;195551.45;8.579182653376717;-1147820.0;12.90348790056394;-7.847647e-06
09:44:53;-650;-650.0616;6.906145002058776e-11;2.09666292072877e+20;6.721211829165477e-11;2000.0;191134.05;65.15172580216121;-1152270.5;101.81472143064578;-9.999864e-05
