time (16.05.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
10:03:33;-25;-25.03755;9.362874452129744e-11;1.140726682511551e+20;7.306654783947063e-11;2000.0;450875.25;27.695836781003745;-849925.65;188.62329223879004;-1.647649e-06
10:03:52;-50;-50.07371;9.227505419905153e-11;1.1744414811717527e+20;7.532675999289207e-11;2000.0;409066.75;18.693565069295904;-862394.2;175.15018698248653;-2.409231e-06
10:04:12;-75;-75.10001;9.057666209380865e-11;1.2188980316380565e+20;7.62502622257045e-11;2000.0;380821.7;5.520009057963581;-878564.85;39.96300007506944;-2.956709e-06
10:04:32;-100;-100.0753;8.933746948118314e-11;1.2529470170070591e+20;7.692956531115404e-11;2000.0;357733.05;10.452146908649915;-890751.35;83.76429057181824;-3.466463e-06
10:04:51;-125;-125.0286;8.82761896154125e-11;1.2832546371390418e+20;7.739638143572144e-11;2000.0;337984.55;18.04833441068732;-901460.2;356.98598431871244;-3.941608e-06
10:05:10;-150;-150.0076;8.694574524114273e-11;1.3228278550727664e+20;7.742433552088838e-11;2000.0;320962.05;6.750731441851319;-915254.35;58.910282421662174;-4.397228e-06
10:05:30;-175;-175.0434;8.593607045852927e-11;1.354094636221808e+20;7.74712119960369e-11;2000.0;306093.65;6.348336396253745;-926007.8;86.37741602988598;-4.858352e-06
10:05:49;-200;-200.0759;8.496413391292681e-11;1.3852518233456706e+20;7.740002491048724e-11;2000.0;292794.45;8.619012414424287;-936600.75;81.6094625334587;-5.279762e-06
10:06:08;-225;-225.0873;8.410923063234138e-11;1.413554896148308e+20;7.730103809169743e-11;2000.0;280782.3;6.351810765443188;-946120.55;178.87166453913264;-5.716563e-06
10:06:27;-250;-250.0631;8.319035808581004e-11;1.4449539702177289e+20;7.706248113954706e-11;2000.0;269743.3;5.158536614195929;-956570.85;84.82497494841954;-6.147045e-06
10:06:47;-275;-275.0386;8.233001505580931e-11;1.4753111011891785e+20;7.679050224044363e-11;2000.0;259605.55;7.545354531100576;-966566.95;60.46744888781069;-6.593234e-06
10:07:06;-300;-300.0131;8.157014870875383e-11;1.502925634032264e+20;7.653452695323754e-11;2000.0;250240.0;6.555532015023647;-975571.0;98.00908121189586;-7.975158e-06
10:07:26;-325;-325.0402;8.074011302549215e-11;1.5339856394399728e+20;7.618031791951593e-11;2000.0;241130.45;12.4129921856094;-985600.2;133.74953457862946;-1.765903e-05
10:07:45;-350;-350.0619;8.016120948145208e-11;1.5562217381604436e+20;7.596283349063063e-11;2000.0;233381.25;8.96210773200144;-992717.95;58.085302573026155;-8.009672e-06
10:08:05;-375;-375.0886;7.93740358919566e-11;1.587241732219951e+20;7.555464261316836e-11;2000.0;225412.65;41.08054740385042;-1002563.0;66.13282089855232;-5.34893e-05
10:08:25;-400;-400.0617;7.878614352042849e-11;1.6110177086556763e+20;7.527117621175134e-11;2000.0;218266.25;6.293597937587052;-1010044.0;24.09771773425857;-8.949301e-06
10:08:45;-425;-425.0424;7.816226556561662e-11;1.6368380865268525e+20;7.491637236219054e-11;2000.0;211919.9;7.4127929958956775;-1018106.0;50.7119315348962;-9.489931e-06
10:09:04;-450;-449.986;7.749389323844558e-11;1.665194776233737e+20;7.451577394223275e-11;2000.0;205290.85;128.53490333368597;-1026887.0;169.47875973112383;-0.0001761263
10:09:24;-475;-475.0194;7.692531737868282e-11;1.689901558681489e+20;7.417463412521868e-11;2000.0;199211.05;12.46845519701619;-1034477.0;67.90839417921764;-1.046158e-05
10:09:43;-500;-500.0514;7.64011326563272e-11;1.7131697835348636e+20;7.384974564597173e-11;2000.0;193599.4;13.318858809973175;-1041574.5;98.23562235767635;-1.108842e-05
10:10:03;-525;-525.0858;7.5766023833968e-11;1.7420114588859485e+20;7.341188240004678e-11;2000.0;188082.65;10.030522169857361;-1050305.5;49.038122924924444;-1.161906e-05
10:10:23;-550;-550.0663;7.52191605546693e-11;1.7674333081194958e+20;7.30355442878807e-11;2000.0;182929.05;7.931416960417602;-1057941.5;34.31672332842983;-1.219132e-05
10:10:42;-575;-575.0203;7.475762329899179e-11;1.7893241701223468e+20;7.272163364737912e-11;2000.0;178110.95;9.703987582432285;-1064473.0;28.81058833137567;-1.282128e-05
10:11:01;-600;-599.996;7.4213747182108e-11;1.8156464261367896e+20;7.232485153406282e-11;2000.0;173287.0;13.275918047351752;-1072274.0;54.7968977224076;-1.344869e-05
