time (25.10.2023);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
15:40:23;-25;-25.04208;7.895079957432648e-11;1.604304991133929e+20;6.849310980305951e-11;2000.0;393847.45;82.7433524520248;-1007937.5;141.068910465772;-4.113495e-06
15:40:38;-50;-50.06668;7.731060853770923e-11;1.6730996812706467e+20;6.944152320726603e-11;2000.0;346500.25;64.20272093143716;-1029321.5;122.68715295417039;-1.598521e-05
15:40:52;-75;-75.10091;7.593715809271982e-11;1.7341686076764222e+20;6.965027942838797e-11;2000.0;314841.45;61.61280203821281;-1047938.5;117.318530079438;-7.673231e-06
15:41:07;-100;-100.0862;7.480685160214959e-11;1.7869699363178745e+20;6.959123471922716e-11;2000.0;291222.1;440.57620169500757;-1063772.5;327.98618492247505;-9.999985e-05
15:41:21;-125;-125.0245;7.397583628300762e-11;1.8273436695584984e+20;6.95156936452087e-11;2000.0;272479.1;40.09662704018881;-1075722.5;72.72508164313052;-1.023676e-05
15:41:35;-150;-150.0044;7.307755213272626e-11;1.8725439389355953e+20;6.92624147340004e-11;2000.0;255571.5;41.44632070522063;-1088945.5;67.89504768390695;-1.128437e-05
15:41:49;-175;-175.0388;7.243669806868568e-11;1.9058236383507032e+20;6.907888558311954e-11;2000.0;242207.2;40.09311661619734;-1098579.5;70.0516773532226;-1.240937e-05
15:42:04;-200;-200.0677;7.17818221020237e-11;1.9407564739746356e+20;6.882508131222027e-11;2000.0;229778.25;57.87520518322159;-1108602.0;94.8251021618221;-1.353973e-05
15:42:18;-225;-225.0804;7.124497936215693e-11;1.970114511704438e+20;6.860236939043193e-11;2000.0;219221.35;23.0289247469351;-1116955.5;33.78960639013127;-1.44464e-05
15:42:32;-250;-250.0587;7.06691640658774e-11;2.0023504591786564e+20;6.831880622920112e-11;2000.0;208860.85;28.146160928268706;-1126056.5;41.68497930909886;-1.534667e-05
15:42:46;-275;-275.0313;7.01755295373565e-11;2.030619737006586e+20;6.806238580505902e-11;2000.0;199809.15;25.680174746290174;-1133977.5;37.99917762268021;-1.613077e-05
15:43:00;-300;-300.0098;6.975193497730464e-11;2.0553580125404368e+20;6.783180245294282e-11;2000.0;191947.65;33.710997834534645;-1140864.0;49.91693099540475;-1.702391e-05
15:43:14;-325;-325.0426;6.932690008912045e-11;2.0806375743469938e+20;6.758301755939382e-11;2000.0;184386.1;23.913374918651698;-1147858.5;33.95051546000443;-1.786749e-05
15:43:28;-350;-350.0532;6.897106646016957e-11;2.1021616910902244e+20;6.736923990479024e-11;2000.0;177909.9;34.495572179629086;-1153780.5;43.430835819726056;-1.87567e-05
15:43:42;-375;-375.0853;6.866697576642104e-11;2.1208217019506773e+20;6.71819788331628e-11;2000.0;172297.35;36.23791350229756;-1158890.0;46.856162881738406;-1.97776e-05
15:43:57;-400;-400.0622;6.834726421544388e-11;2.1407094642815353e+20;6.697476842721755e-11;2000.0;166674.4;35.775438501854865;-1164311.0;42.076715651295785;-2.072677e-05
