time (02.07.2024);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:20:03;-25;-25.05074;9.13294985e-06;3.7071037409782493e-09;-9.16053e-06
11:20:18;-50;-50.07341;1.3600638499999998e-05;7.1644153032540075e-09;-1.372103e-05
11:20:33;-75;-75.09993;1.7076932e-05;8.469766631968085e-09;-1.719876e-05
11:20:48;-100;-100.0754;1.99142085e-05;9.856062303856434e-09;-1.980315e-05
11:21:03;-125;-125.0286;2.26071165e-05;1.3218886966666254e-08;-2.251782e-05
11:21:18;-150;-150.0088;2.5193816999999996e-05;1.0406600239751772e-08;-2.522722e-05
11:21:33;-175;-175.0444;2.7459421000000004e-05;8.029055732151832e-09;-2.746731e-05
11:21:48;-200;-200.0754;2.9800848e-05;1.7096290001049966e-08;-2.98809e-05
11:22:03;-225;-225.0893;3.16761145e-05;8.494638764391286e-09;-3.170475e-05
11:22:18;-250;-250.065;3.41846365e-05;1.06573110181462e-08;-3.415195e-05
11:22:33;-275;-275.0374;3.6234387999999994e-05;1.3980275848494562e-08;-3.634664e-05
11:22:48;-300;-300.0138;3.8569018e-05;2.699167710239585e-08;-3.84495e-05
11:23:02;-325;-325.0489;4.0660473e-05;1.954978375967354e-08;-4.067417e-05
11:23:17;-350;-350.062;4.32120335e-05;1.7477774633445004e-08;-4.327901e-05
11:23:32;-375;-375.0944;4.4887632e-05;4.2784383860235737e-08;-4.490241e-05
11:23:47;-400;-400.0694;4.7574448e-05;1.9241230165974363e-08;-4.75391e-05
11:24:01;-425;-425.042;4.9526451500000005e-05;2.5732545825034506e-08;-4.946342e-05
11:24:16;-450;-449.996;5.184671199999999e-05;1.5036653410915677e-08;-5.192657e-05
11:24:31;-475;-475.0298;5.477513700000001e-05;4.8394744183123966e-08;-5.48362e-05
11:24:45;-500;-500.0616;5.67740215e-05;1.648983428168705e-08;-5.66616e-05
11:25:00;-525;-525.0952;5.9220241499999996e-05;2.9326403864734318e-08;-5.917722e-05
11:25:15;-550;-550.0774;6.206393949999999e-05;3.3379079177495284e-08;-6.241936e-05
11:25:30;-575;-575.0325;6.48013875e-05;2.3590270736842175e-08;-6.493639e-05
11:25:45;-600;-600.0072;6.777383449999999e-05;3.1896310566231814e-08;-6.795811e-05
11:26:00;-625;-625.0359;7.026213849999999e-05;2.853529208957739e-08;-6.996077e-05
11:26:15;-650;-650.0655;7.292015700000001e-05;2.946319827428768e-08;-7.295243e-05
11:26:30;-675;-675.0782;7.581147200000001e-05;4.17002888215416e-08;-7.611817e-05
11:26:45;-700;-700.0603;7.8716404e-05;2.1841612456501187e-08;-7.859288e-05
11:26:59;-725;-725.0265;8.114471999999999e-05;3.877499555770464e-08;-8.071789e-05
11:27:14;-750;-749.9982;8.54692485e-05;2.3207273442554348e-08;-8.552172e-05
11:27:29;-775;-775.0201;8.94509725e-05;2.8069784509994067e-08;-8.943463e-05
11:27:44;-800;-800.0264;9.2872257e-05;4.6366547796336965e-08;-9.243468e-05
11:27:55;-825;-825.054;nan;nan;-9.733176e-05
11:28:06;-850;-838.611;nan;nan;-9.999841e-05
11:28:20;-875;-831.0212;nan;nan;-9.99984e-05
11:28:40;-900;-835.2309;nan;nan;-9.999828e-05
