time (20.05.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
15:03:43;-25;-25.0388;3.4120277500000006e-06;7.014423065192225e-10;-3.409316e-06
15:04:03;-50;-50.07143;4.86530845e-06;1.3400546882030408e-09;-4.865624e-06
15:04:23;-75;-75.10162;6.01797945e-06;1.3192157906783015e-09;-6.022824e-06
15:04:43;-100;-100.0769;7.0042783500000005e-06;5.884467234805822e-10;-7.007354e-06
15:05:03;-125;-125.0314;7.9099236e-06;3.0680404637162095e-09;-7.903828e-06
15:05:23;-150;-150.0125;8.744148900000002e-06;9.182175311439303e-10;-8.753079e-06
15:05:43;-175;-175.0475;9.53842845e-06;3.6598785085539586e-09;-9.549537e-06
15:06:03;-200;-200.0793;1.0246130999999998e-05;3.6132324101834423e-09;-1.022891e-05
15:06:24;-225;-225.0817;1.0931844e-05;3.5002193074148775e-09;-1.089954e-05
15:06:43;-250;-250.0585;1.15273525e-05;1.2531268640883613e-09;-1.152717e-05
15:07:03;-275;-275.0316;1.2150955500000001e-05;4.7870215413657725e-09;-1.212565e-05
15:07:23;-300;-300.0079;1.2685707000000002e-05;2.088427769878599e-09;-1.270476e-05
15:07:43;-325;-325.0418;1.3171237999999997e-05;2.3599526054562797e-09;-1.316861e-05
15:08:03;-350;-350.054;1.3646159000000003e-05;3.6313471949126418e-09;-1.365821e-05
15:08:23;-375;-375.0872;1.4034990999999997e-05;2.326152929194471e-09;-1.40256e-05
15:08:43;-400;-400.0617;1.4334016e-05;2.301544199010759e-09;-1.434039e-05
15:09:03;-425;-425.0338;1.4676073e-05;2.9872102453627636e-09;-1.465675e-05
15:09:24;-450;-449.9878;1.5052019e-05;3.857698400601044e-09;-1.50881e-05
15:09:44;-475;-475.0201;1.5460315499999997e-05;5.824122701102735e-09;-1.543175e-05
15:10:04;-500;-500.0518;1.5808971500000003e-05;6.34945408184836e-09;-1.579545e-05
15:10:24;-525;-525.0861;1.611917e-05;5.3649582943393255e-09;-1.615183e-05
15:10:44;-550;-550.0661;1.64755945e-05;5.02751889479293e-09;-1.64641e-05
15:11:03;-575;-575.023;1.6885717499999998e-05;5.02178020601259e-09;-1.686689e-05
15:11:23;-600;-599.9965;1.7224504000000002e-05;2.1746089763449426e-09;-1.72301e-05
15:11:42;-625;-625.0253;1.762286e-05;5.230760030817656e-09;-1.76541e-05
15:12:02;-650;-650.0536;1.79076465e-05;3.0463960900545764e-09;-1.789095e-05
15:12:22;-675;-675.0663;1.8275375999999995e-05;2.1988231397726147e-09;-1.828918e-05
15:12:42;-700;-700.0476;1.8750073500000003e-05;5.174781168078489e-09;-1.872486e-05
15:13:01;-725;-725.015;1.93082075e-05;6.800791787542125e-09;-1.927054e-05
15:13:21;-750;-749.9861;1.9701435e-05;6.400777823827345e-09;-1.967806e-05
15:13:41;-775;-775.006;2.02109495e-05;1.4683020337706462e-08;-2.0126e-05
15:14:01;-800;-800.0127;2.0665973999999997e-05;4.195251208211505e-09;-2.069148e-05
15:14:21;-825;-825.0397;2.1166693e-05;2.332778182768312e-09;-2.119763e-05
15:14:40;-850;-850.0184;2.17810425e-05;1.4861828412077122e-09;-2.178126e-05
15:15:00;-875;-874.9826;2.24437365e-05;7.631020255345924e-09;-2.249243e-05
15:15:20;-900;-899.9484;2.30512955e-05;3.261303993420429e-09;-2.308301e-05
