time (19.05.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:03:06;-25;-25.03942;1.8473541500000002e-06;1.5199176416832662e-10;-1.848384e-06
11:03:26;-50;-50.07079;2.5206078e-06;2.0919938575435603e-10;-2.518904e-06
11:03:46;-75;-75.09839;3.0510299e-06;2.2219927880171537e-10;-3.050586e-06
11:04:06;-100;-100.0744;3.5128002000000004e-06;2.903967940594364e-10;-3.515671e-06
11:04:26;-125;-125.0279;3.92595025e-06;2.475153517966024e-10;-3.926109e-06
11:04:46;-150;-150.0081;4.315380250000001e-06;7.860185935300789e-10;-4.309317e-06
11:05:05;-175;-175.0417;4.6794565e-06;6.448573621352333e-10;-4.683309e-06
11:05:26;-200;-200.0742;5.02351725e-06;2.713193770724931e-10;-5.029066e-06
11:05:45;-225;-225.0869;5.35998175e-06;4.881702514236138e-10;-5.358561e-06
11:06:05;-250;-250.0638;5.680196000000001e-06;2.8804532629431304e-10;-5.683085e-06
11:06:25;-275;-275.0368;6.003395549999999e-06;8.581591532897707e-10;-5.994637e-06
11:06:44;-300;-300.0133;6.30493665e-06;8.800598822665317e-10;-6.302757e-06
11:07:04;-325;-325.0466;6.582795649999999e-06;5.895237157019176e-10;-6.586259e-06
11:07:24;-350;-350.0597;6.867700700000001e-06;3.4362948141857674e-10;-6.871835e-06
11:07:44;-375;-375.0921;7.155747499999999e-06;2.0961675147753035e-10;-7.155527e-06
11:08:04;-400;-400.0683;7.441983449999999e-06;1.3139056082440066e-09;-7.431572e-06
11:08:24;-425;-425.0411;7.711356549999999e-06;3.3845384083356546e-10;-7.717984e-06
11:08:44;-450;-449.9946;7.982109950000001e-06;4.3109227825954947e-10;-7.980052e-06
11:09:04;-475;-475.0277;8.23498195e-06;4.6012783264548443e-10;-8.242087e-06
11:09:23;-500;-500.0582;8.492215499999999e-06;6.089128570657674e-10;-8.493307e-06
11:09:43;-525;-525.0936;8.729910700000001e-06;1.0418596932888637e-09;-8.727637e-06
11:10:03;-550;-550.074;8.968981599999998e-06;1.8181708684829653e-09;-8.95956e-06
11:10:23;-575;-575.0288;9.186794399999998e-06;6.221410467088612e-10;-9.19244e-06
11:10:43;-600;-600.0052;9.383093e-06;4.343524317878373e-10;-9.389968e-06
11:11:03;-625;-625.0336;9.562075100000001e-06;1.105846625667439e-09;-9.572936e-06
11:11:23;-650;-650.0616;9.761046550000002e-06;2.972085923640145e-10;-9.76795e-06
11:11:42;-675;-675.0742;9.957517e-06;5.294679074316157e-10;-9.965041e-06
11:12:02;-700;-700.0568;1.0163607000000001e-05;5.992061832124377e-10;-1.016976e-05
11:12:22;-725;-725.026;1.0353862e-05;5.190489379625079e-10;-1.03583e-05
11:12:41;-750;-749.9827;1.0547529000000001e-05;8.066315453786753e-10;-1.054622e-05
11:13:01;-775;-775.0034;1.0747604e-05;8.89693879938455e-10;-1.075304e-05
11:13:21;-800;-800.009;1.0927971e-05;6.984289154953513e-10;-1.093292e-05
11:13:41;-825;-825.0381;1.10870685e-05;1.0718764562672647e-09;-1.109342e-05
11:14:00;-850;-850.016;1.12690615e-05;7.79652574869091e-10;-1.127161e-05
11:14:20;-875;-874.98;1.1428006e-05;4.3955340972401847e-10;-1.143735e-05
11:14:40;-900;-899.9452;1.16270355e-05;1.7329200032026879e-09;-1.162286e-05
