time (29.08.2023);set voltage (V);real voltage (V);current (A);delta current;input current (A)
16:45:12;-25;-25.03334;3.0665176e-06;4.782040066749701e-10;-3.069747e-06
16:45:32;-50;-50.06538;4.8601768e-06;5.944803722579813e-10;-4.864298e-06
16:45:52;-75;-75.09239;6.364970250000001e-06;7.491838521851638e-10;-6.371868e-06
16:46:12;-100;-100.0716;7.749325150000001e-06;9.124437003864633e-10;-7.757839e-06
16:46:31;-125;-125.0298;9.1352285e-06;8.821317999596337e-10;-9.140176e-06
16:46:51;-150;-150.0028;1.0382882e-05;1.0952021731169186e-09;-1.039776e-05
16:47:11;-175;-175.0342;1.1609264e-05;1.0709548076366267e-09;-1.161386e-05
16:47:30;-200;-200.062;1.2716989e-05;3.338575736747662e-09;-1.273905e-05
16:47:50;-225;-225.0725;1.3816040000000002e-05;3.532782543548337e-09;-1.386255e-05
16:48:10;-250;-250.0523;1.47206035e-05;5.575042926964777e-09;-1.475824e-05
16:48:30;-275;-275.0272;1.5527845e-05;2.6206721943043677e-09;-1.555742e-05
16:48:49;-300;-300.0066;1.6378207500000002e-05;3.278697445251706e-09;-1.641115e-05
16:49:09;-325;-325.0381;1.71908975e-05;2.4710788003420898e-09;-1.718266e-05
16:49:28;-350;-350.048;1.80122765e-05;4.850403399460678e-09;-1.804926e-05
16:49:47;-375;-375.076;1.8145805000000002e-05;1.0713291125979958e-08;-1.822778e-05
16:50:07;-400;-400.0556;1.79637925e-05;1.6811501135755246e-08;-1.810033e-05
16:50:26;-425;-425.0303;1.7571461e-05;1.4876354508077544e-08;-1.770844e-05
16:50:45;-450;-449.9876;1.7492329000000005e-05;9.87495144038693e-09;-1.756215e-05
16:51:05;-475;-475.0163;1.7565983999999997e-05;6.750012348136857e-09;-1.763314e-05
16:51:25;-500;-500.0453;1.7873828500000003e-05;4.841271489753533e-09;-1.79193e-05
16:51:44;-525;-525.075;1.8340143999999994e-05;3.319570559575424e-09;-1.837707e-05
16:52:04;-550;-550.0598;1.887134e-05;3.833171858917912e-09;-1.890566e-05
16:52:23;-575;-575.0182;1.94658e-05;2.3293065491686994e-09;-1.948114e-05
