time (19.03.2024);set voltage (V);real voltage (V);current (A);delta current;input current (A)
10:02:12;-25;-25.05018;8.210857649999999e-07;1.2432343087185847e-10;-8.20635e-07
10:02:27;-50;-50.06441;1.1548147000000003e-06;1.0097135980068918e-10;-1.160696e-06
10:02:43;-75;-75.09316;1.41467995e-06;1.664112747832953e-10;-1.415644e-06
10:02:58;-100;-100.069;1.6458800499999996e-06;4.5227119906095504e-11;-1.648518e-06
10:03:12;-125;-125.0253;1.8596840500000001e-06;9.253614091262023e-11;-1.861085e-06
10:03:27;-150;-150.0062;2.0696212e-06;1.8619167006072377e-10;-2.073834e-06
10:03:42;-175;-175.0402;2.28005345e-06;1.4211555993275473e-10;-2.28202e-06
10:03:57;-200;-200.0684;2.4898537000000003e-06;1.3878863606217811e-10;-2.491717e-06
10:04:12;-225;-225.0797;2.7023173e-06;8.267956518995039e-11;-2.704851e-06
10:04:27;-250;-250.0578;2.9085863000000003e-06;1.5495455946826508e-10;-2.911917e-06
10:04:42;-275;-275.0331;3.1079070499999995e-06;2.9593991345373163e-10;-3.112379e-06
10:04:57;-300;-300.0116;3.3277429500000005e-06;1.79633953847808e-10;-3.331358e-06
10:05:12;-325;-325.0435;3.5602055999999994e-06;9.160358617433858e-11;-3.56293e-06
10:05:27;-350;-350.0538;3.7948408500000002e-06;1.744874246901518e-10;-3.797167e-06
10:05:42;-375;-375.0831;4.0283504e-06;1.9457750897778283e-10;-4.033047e-06
10:05:57;-400;-400.0622;4.28298155e-06;1.1758993313629627e-10;-4.286201e-06
10:06:12;-425;-425.0371;4.543786450000001e-06;2.270661740000107e-10;-4.549856e-06
10:06:26;-450;-449.9919;4.8232889e-06;5.166132591213533e-10;-4.823065e-06
10:06:41;-475;-475.024;5.120309400000002e-06;4.2076289879220065e-10;-5.129337e-06
10:06:56;-500;-500.053;5.422583500000001e-06;2.5143103925332103e-10;-5.426843e-06
10:07:10;-525;-525.0858;5.7605131e-06;2.6284733116394236e-10;-5.762697e-06
10:07:25;-550;-550.0687;6.12731445e-06;4.674129623523297e-10;-6.130724e-06
10:07:40;-575;-575.0264;6.5072225e-06;5.394264847966053e-10;-6.514996e-06
10:07:55;-600;-600.0034;6.937136700000001e-06;1.4973903617627648e-09;-6.936823e-06
10:08:10;-625;-625.0315;7.388234999999999e-06;4.0944309738958786e-10;-7.392062e-06
10:08:26;-650;-650.0584;7.885103950000002e-06;9.707266311248832e-10;-7.888237e-06
10:08:40;-675;-675.0704;8.435972549999999e-06;9.83156730829251e-10;-8.435649e-06
10:08:55;-700;-700.0536;9.051141349999998e-06;5.13155080238906e-10;-9.05354e-06
10:09:10;-725;-725.0238;9.686780999999998e-06;7.225530188159447e-10;-9.696603e-06
10:09:24;-750;-749.9857;1.03650685e-05;7.752303770492725e-10;-1.037343e-05
10:09:39;-775;-775.005;1.1084535499999999e-05;1.1773114445633968e-09;-1.110345e-05
10:09:54;-800;-800.0093;1.1807712000000002e-05;4.735966638395877e-10;-1.181988e-05
10:10:09;-825;-825.0353;1.2585993999999998e-05;4.4056123297444447e-10;-1.25967e-05
10:10:24;-850;-850.0166;1.3502008499999997e-05;9.288752001748963e-10;-1.349268e-05
10:10:38;-875;-874.9819;1.442607e-05;6.3515431195889e-10;-1.443072e-05
10:10:53;-900;-899.948;1.5394637e-05;2.5187981360164545e-09;-1.539866e-05
